id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
A-admiration-01,admiration,love,love,false,0,a,zero
A-admiration-02,admiration,trust,trust,false,0,a,zero
A-admiration-03,admiration,trust,trust,false,0,a,zero
A-admiration-04,admiration,trust,trust,false,0,a,zero
A-admiration-05,admiration,trust,trust,false,0,a,zero
A-admiration-06,admiration,trust,trust,false,0,a,zero
A-admiration-07,admiration,trust,trust,false,0,a,zero
A-admiration-08,admiration,trust,trust,false,0,a,zero
A-admiration-09,admiration,anger,anger,false,0,a,zero
A-admiration-10,admiration,trust,trust,false,0,a,zero
A-amazement-01,amazement,surprise,surprise,false,0,a,zero
A-amazement-02,amazement,surprise,surprise,false,0,a,zero
A-amazement-03,amazement,surprise,surprise,false,0,a,zero
A-amazement-04,amazement,surprise,surprise,false,0,a,zero
A-amazement-05,amazement,surprise,surprise,false,0,a,zero
A-amazement-06,amazement,fear,fear,false,0,a,zero
A-amazement-07,amazement,surprise,surprise,false,0,a,zero
A-amazement-08,amazement,joy,joy,false,0,a,zero
A-amazement-09,amazement,surprise,surprise,false,0,a,zero
A-amazement-10,amazement,surprise,surprise,false,0,a,zero
A-ecstasy-01,ecstasy,joy,joy,false,0,a,zero
A-ecstasy-02,ecstasy,joy,joy,false,0,a,zero
A-ecstasy-03,ecstasy,happiness,happiness,false,0,a,zero
A-ecstasy-04,ecstasy,joy,joy,false,0,a,zero
A-ecstasy-05,ecstasy,joy,joy,false,0,a,zero
A-ecstasy-06,ecstasy,joy,joy,false,0,a,zero
A-ecstasy-07,ecstasy,joy,joy,false,0,a,zero
A-ecstasy-08,ecstasy,joy,joy,false,0,a,zero
A-ecstasy-09,ecstasy,joy,joy,false,0,a,zero
A-ecstasy-10,ecstasy,joy,joy,false,0,a,zero
A-grief-01,grief,sadness,sadness,false,0,a,zero
A-grief-02,grief,anger,anger,false,0,a,zero
A-grief-03,grief,sadness,sadness,false,0,a,zero
A-grief-04,grief,sadness,sadness,false,0,a,zero
