source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
B-rage-d1-v2,B-grief-d3-v1,rage,grief,anxiety,anxiety,false,5,0.1875,m,setb,within_set
B-rage-d1-v2,B-terror-d3-v1,rage,terror,fear,fear,false,5,0.1875,m,setb,within_set
B-rage-d1-v2,B-ecstasy-d3-v1,rage,ecstasy,excitement,excitement,false,5,0.1875,m,setb,within_set
B-rage-d1-v2,B-loathing-d3-v1,rage,loathing,shame,shame,false,5,0.1875,m,setb,within_set
B-rage-d1-v2,B-amazement-d3-v1,rage,amazement,surprise,surprise,false,5,0.1875,m,setb,within_set
B-rage-d1-v2,B-admiration-d3-v1,rage,admiration,pride,pride,false,5,0.1875,m,setb,within_set
B-rage-d1-v2,B-vigilance-d3-v1,rage,vigilance,focus,focus,false,5,0.1875,m,setb,within_set
B-grief-d1-v2,B-rage-d3-v1,grief,rage,shock,shock,false,5,0.1875,m,setb,within_set
B-grief-d1-v2,B-terror-d3-v1,grief,terror,fear,fear,false,5,0.1875,m,setb,within_set
B-grief-d1-v2,B-ecstasy-d3-v1,grief,ecstasy,excitement,excitement,false,5,0.1875,m,setb,within_set
B-grief-d1-v2,B-loathing-d3-v1,grief,loathing,shame,shame,false,5,0.1875,m,setb,within_set
B-grief-d1-v2,B-amazement-d3-v1,grief,amazement,surprise,surprise,false,5,0.1875,m,setb,within_set
B-grief-d1-v2,B-admiration-d3-v1,grief,admiration,pride,pride,false,5,0.1875,m,setb,within_set
B-grief-d1-v2,B-vigilance-d3-v1,grief,vigilance,focus,focus,false,5,0.1875,m,setb,within_set
B-terror-d1-v2,B-rage-d3-v1,terror,rage,shock,shock,false,5,0.1875,m,setb,within_set
B-terror-d1-v2,B-grief-d3-v1,terror,grief,anxiety,anxiety,true,5,0.1875,m,setb,within_set
B-terror-d1-v2,B-ecstasy-d3-v1,terror,ecstasy,excitement,excitement,false,5,0.1875,m,setb,within_set
B-terror-d1-v2,B-loathing-d3-v1,terror,loathing,shame,shame,false,5,0.1875,m,setb,within_set
B-terror-d1-v2,B-amazement-d3-v1,terror,amazement,surprise,surprise,false,5,0.1875,m,setb,within_set
B-terror-d1-v2,B-admiration-d3-v1,terror,admiration,pride,pride,false,5,0.1875,m,setb,within_set
B-terror-d1-v2,B-vigilance-d3-v1,terror,vigilance,focus,focus,false,5,0.1875,m,setb,within_set
B-ecstasy-d1-v2,B-rage-d3-v1,ecstasy,rage,shock,shock,false,5,0.1875,m,setb,within_set
B-ecstasy-d1-v2,B-grief-d3-v1,ecstasy,grief,anxiety,anxiety,false,5,0.1875,m,setb,within_set
