id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
A-admiration-01,admiration,surprise,surprise,false,0,m,random
A-admiration-02,admiration,relief,relief,false,0,m,random
A-admiration-03,admiration,relief,relief,false,0,m,random
A-admiration-04,admiration,gratitude,gratitude,false,0,m,random
A-admiration-05,admiration,relief,relief,false,0,m,random
A-admiration-06,admiration,relief,relief,false,0,m,random
A-admiration-07,admiration,relief,relief,false,0,m,random
A-admiration-08,admiration,trust,trust,false,0,m,random
A-admiration-09,admiration,shock,shock,false,0,m,random
A-admiration-10,admiration,relief,relief,false,0,m,random
A-amazement-01,amazement,gratitude,gratitude,false,0,m,random
A-amazement-02,amazement,surprise,surprise,false,0,m,random
A-amazement-03,amazement,surprise,surprise,false,0,m,random
A-amazement-04,amazement,surprise,surprise,false,0,m,random
A-amazement-05,amazement,surprise,surprise,false,0,m,random
A-amazement-06,amazement,surprise,surprise,false,0,m,random
A-amazement-07,amazement,surprise,surprise,false,0,m,random
A-amazement-08,amazement,happiness,happiness,false,0,m,random
A-amazement-09,amazement,surprise,surprise,false,0,m,random
A-amazement-10,amazement,relief,relief,false,0,m,random
A-ecstasy-01,ecstasy,relief,relief,false,0,m,random
A-ecstasy-02,ecstasy,relief,relief,false,0,m,random
A-ecstasy-03,ecstasy,relief,relief,false,0,m,random
A-ecstasy-04,ecstasy,joy,joy,false,0,m,random
A-ecstasy-05,ecstasy,joy,joy,false,0,m,random
A-ecstasy-06,ecstasy,joy,joy,false,0,m,random
A-ecstasy-07,ecstasy,joy,joy,false,0,m,random
A-ecstasy-08,ecstasy,happiness,happiness,false,0,m,random
A-ecstasy-09,ecstasy,wonder,wonder,false,0,m,random
A-ecstasy-10,ecstasy,joy,joy,false,0,m,random
A-grief-01,grief,shame,shame,false,0,m,random
A-grief-02,grief,anger,anger,false,0,m,random
A-grief-03,grief,grief,grief,false,0,m,random
A-grief-04,grief,sadness,sadness,false,0,m,random
A-grief-05,grief,sadness,sadness,false,0,m,random
A-grief-06,grief,concern,concern,false,0,m,random
A-grief-07,grief,grief,grief,false,0,m,random
A-grief-08,grief,sadness,sadness,false,0,m,random
A-grief-09,grief,sadness,sadness,false,0,m,random
A-grief-10,grief,longing,longing,false,0,m,random
A-loathing-01,loathing,disgust,disgust,false,0,m,random
A-loathing-02,loathing,disappointment,frustration,true,0,m,random
A-loathing-03,loathing,anger,anger,false,0,m,random
A-loathing-04,loathing,disgust,disgust,false,0,m,random
A-loathing-05,loathing,disgust,disgust,false,0,m,random
A-loathing-06,loathing,disgust,disgust,false,0,m,random
A-loathing-07,loathing,anger,anger,false,0,m,random
A-loathing-08,loathing,disgust,disgust,false,0,m,random
A-loathing-09,loathing,disgust,disgust,false,0,m,random
A-loathing-10,loathing,frustration,frustration,false,0,m,random
A-rage-01,rage,anger,anger,false,0,m,random
A-rage-02,rage,anger,anger,false,0,m,random
A-rage-03,rage,anger,anger,false,0,m,random
A-rage-04,rage,anger,anger,false,0,m,random
A-rage-05,rage,anger,anger,false,0,m,random
A-rage-06,rage,anger,anger,false,0,m,random
A-rage-07,rage,anger,anger,false,0,m,random
A-rage-08,rage,anger,anger,false,0,m,random
A-rage-09,rage,frustration,anger,true,0,m,random
A-rage-10,rage,anger,anger,false,0,m,random
A-terror-01,terror,fear,fear,false,0,m,random
A-terror-02,terror,shock,shock,false,0,m,random
A-terror-03,terror,fear,fear,false,0,m,random
A-terror-04,terror,relief,relief,false,0,m,random
A-terror-05,terror,fear,fear,false,0,m,random
A-terror-06,terror,fear,fear,false,0,m,random
A-terror-07,terror,fear,fear,false,0,m,random
A-terror-08,terror,fear,fear,false,0,m,random
A-terror-09,terror,anxiety,anxiety,false,0,m,random
A-terror-10,terror,fear,fear,false,0,m,random
A-vigilance-01,vigilance,fear,fear,false,0,m,random
A-vigilance-02,vigilance,anxiety,anxiety,false,0,m,random
A-vigilance-03,vigilance,anxiety,anxiety,false,0,m,random
A-vigilance-04,vigilance,anxiety,anxiety,false,0,m,random
A-vigilance-05,vigilance,anxiety,anxiety,false,0,m,random
A-vigilance-06,vigilance,anxiety,anxiety,false,0,m,random
A-vigilance-07,vigilance,anxiety,anxiety,false,0,m,random
A-vigilance-08,vigilance,anxiety,anxiety,false,0,m,random
A-vigilance-09,vigilance,anxiety,anxiety,false,0,m,random
A-vigilance-10,vigilance,anxiety,anxiety,false,0,m,random
A-admiration-01,admiration,surprise,surprise,false,1,m,random
A-admiration-02,admiration,relief,relief,false,1,m,random
A-admiration-03,admiration,relief,relief,false,1,m,random
A-admiration-04,admiration,gratitude,gratitude,false,1,m,random
A-admiration-05,admiration,relief,relief,false,1,m,random
A-admiration-06,admiration,relief,relief,false,1,m,random
A-admiration-07,admiration,relief,relief,false,1,m,random
A-admiration-08,admiration,trust,trust,false,1,m,random
A-admiration-09,admiration,shock,shock,false,1,m,random
A-admiration-10,admiration,relief,relief,false,1,m,random
A-amazement-01,amazement,gratitude,gratitude,false,1,m,random
A-amazement-02,amazement,surprise,happiness,true,1,m,random
A-amazement-03,amazement,surprise,surprise,false,1,m,random
A-amazement-04,amazement,surprise,surprise,false,1,m,random
A-amazement-05,amazement,surprise,surprise,false,1,m,random
A-amazement-06,amazement,surprise,surprise,false,1,m,random
A-amazement-07,amazement,surprise,surprise,false,1,m,random
A-amazement-08,amazement,happiness,happiness,false,1,m,random
A-amazement-09,amazement,surprise,surprise,false,1,m,random
A-amazement-10,amazement,relief,relief,false,1,m,random
A-ecstasy-01,ecstasy,relief,relief,false,1,m,random
A-ecstasy-02,ecstasy,relief,relief,false,1,m,random
A-ecstasy-03,ecstasy,relief,relief,false,1,m,random
A-ecstasy-04,ecstasy,joy,joy,false,1,m,random
A-ecstasy-05,ecstasy,joy,joy,false,1,m,random
A-ecstasy-06,ecstasy,joy,joy,false,1,m,random
A-ecstasy-07,ecstasy,joy,joy,false,1,m,random
A-ecstasy-08,ecstasy,happiness,happiness,false,1,m,random
A-ecstasy-09,ecstasy,wonder,wonder,false,1,m,random
A-ecstasy-10,ecstasy,joy,joy,false,1,m,random
A-grief-01,grief,shame,shame,false,1,m,random
A-grief-02,grief,anger,anger,false,1,m,random
