id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-admiration-01,admiration,A_standard,,163,162,gemma9b_inst,"['surprise', 'relief', '', 'trust', 'joy']",false,:
A-admiration-02,admiration,A_standard,,191,190,gemma9b_inst,"['relief', 'trust', 'Trust', 'Relief', '']",false,:
A-admiration-03,admiration,A_standard,,157,156,gemma9b_inst,"['relief', 'Relief', 'trust', '', '**']",false,:
A-admiration-04,admiration,A_standard,,202,201,gemma9b_inst,"['trust', 'Trust', 'relief', 'gratitude', '']",false,:
A-admiration-05,admiration,A_standard,,142,141,gemma9b_inst,"['relief', 'Relief', '', 'gratitude', 'joy']",false,:
A-admiration-06,admiration,A_standard,,179,178,gemma9b_inst,"['relief', 'Relief', '', 'worry', 'anxiety']",false,:
A-admiration-07,admiration,A_standard,,134,133,gemma9b_inst,"['relief', 'trust', 'Relief', '', 'Trust']",false,:
A-admiration-08,admiration,A_standard,,158,157,gemma9b_inst,"['trust', 'relief', 'Trust', '', 'Relief']",false,:
A-admiration-09,admiration,A_standard,,174,173,gemma9b_inst,"['betrayal', 'Bet', 'hurt', 'anger', '']",false,:
A-admiration-10,admiration,A_standard,,131,130,gemma9b_inst,"['relief', 'gratitude', 'Relief', '', 'Gratitude']",false,:
A-amazement-01,amazement,A_standard,,162,161,gemma9b_inst,"['surprise', 'Surprise', '', 'joy', 'surprised']",true,:
A-amazement-02,amazement,A_standard,,127,126,gemma9b_inst,"['surprise', 'joy', 'Surprise', '', 'Joy']",true,:
A-amazement-03,amazement,A_standard,,133,132,gemma9b_inst,"['surprise', 'joy', 'Surprise', 'Joy', '']",true,:
A-amazement-04,amazement,A_standard,,139,138,gemma9b_inst,"['surprise', 'Surprise', 'shock', '', 'surprised']",true,:
A-amazement-05,amazement,A_standard,,146,145,gemma9b_inst,"['surprise', 'Surprise', '', 'embarrassment', 'surprised']",true,:
A-amazement-06,amazement,A_standard,,125,124,gemma9b_inst,"['confusion', 'fear', 'Confusion', 'surprise', '']",true,:
A-amazement-07,amazement,A_standard,,158,157,gemma9b_inst,"['surprise', 'Surprise', 'surprised', '', 'astonishment']",true,:
A-amazement-08,amazement,A_standard,,205,204,gemma9b_inst,"['surprise', 'joy', 'Surprise', 'Joy', '']",true,:
A-amazement-09,amazement,A_standard,,129,128,gemma9b_inst,"['surprise', 'Surprise', 'astonishment', '', 'surprised']",true,:
A-amazement-10,amazement,A_standard,,151,150,gemma9b_inst,"['surprise', 'Surprise', '', 'initial', 'anxiety']",true,:
A-ecstasy-01,ecstasy,A_standard,,134,133,gemma9b_inst,"['pride', 'joy', 'relief', 'Joy', 'Pride']",true,:
