source_id,target_id,source_emotion,target_emotion,patched_pred,success,layer,norm_depth,act_type,condition
A-rage-04,B-rage-d3-v4,rage,rage,anger,true,2,0.1875,h,crossset_same_emotion
A-grief-04,B-grief-d3-v4,grief,grief,sadness,true,2,0.1875,h,crossset_same_emotion
A-terror-04,B-terror-d3-v4,terror,terror,confusion,false,2,0.1875,h,crossset_same_emotion
A-ecstasy-04,B-ecstasy-d3-v4,ecstasy,ecstasy,curiosity,false,2,0.1875,h,crossset_same_emotion
A-loathing-04,B-loathing-d3-v4,loathing,loathing,sadness,false,2,0.1875,h,crossset_same_emotion
A-amazement-04,B-amazement-d3-v4,amazement,amazement,surprise,true,2,0.1875,h,crossset_same_emotion
A-admiration-04,B-admiration-d3-v4,admiration,admiration,joy,false,2,0.1875,h,crossset_same_emotion
A-vigilance-04,B-vigilance-d3-v4,vigilance,vigilance,fear,false,2,0.1875,h,crossset_same_emotion
A-rage-03,B-grief-d3-v4,rage,grief,sadness,false,2,0.1875,h,crossset_diff_emotion
A-rage-03,B-terror-d3-v4,rage,terror,confusion,false,2,0.1875,h,crossset_diff_emotion
A-rage-03,B-ecstasy-d3-v4,rage,ecstasy,curiosity,false,2,0.1875,h,crossset_diff_emotion
A-rage-03,B-loathing-d3-v4,rage,loathing,sadness,false,2,0.1875,h,crossset_diff_emotion
A-rage-03,B-amazement-d3-v4,rage,amazement,surprise,false,2,0.1875,h,crossset_diff_emotion
A-rage-03,B-admiration-d3-v4,rage,admiration,joy,false,2,0.1875,h,crossset_diff_emotion
A-rage-03,B-vigilance-d3-v4,rage,vigilance,fear,false,2,0.1875,h,crossset_diff_emotion
A-grief-03,B-rage-d3-v4,grief,rage,anger,false,2,0.1875,h,crossset_diff_emotion
A-grief-03,B-terror-d3-v4,grief,terror,confusion,false,2,0.1875,h,crossset_diff_emotion
A-grief-03,B-ecstasy-d3-v4,grief,ecstasy,curiosity,false,2,0.1875,h,crossset_diff_emotion
A-grief-03,B-loathing-d3-v4,grief,loathing,sadness,true,2,0.1875,h,crossset_diff_emotion
A-grief-03,B-amazement-d3-v4,grief,amazement,surprise,false,2,0.1875,h,crossset_diff_emotion
A-grief-03,B-admiration-d3-v4,grief,admiration,joy,false,2,0.1875,h,crossset_diff_emotion
A-grief-03,B-vigilance-d3-v4,grief,vigilance,fear,false,2,0.1875,h,crossset_diff_emotion
A-terror-03,B-rage-d3-v4,terror,rage,anger,false,2,0.1875,h,crossset_diff_emotion
A-terror-03,B-grief-d3-v4,terror,grief,sadness,false,2,0.1875,h,crossset_diff_emotion
A-terror-03,B-ecstasy-d3-v4,terror,ecstasy,curiosity,false,2,0.1875,h,crossset_diff_emotion
A-rage-08,B-rage-d3-v3,rage,rage,surprise,false,5,0.375,h,crossset_same_emotion
A-grief-08,B-grief-d3-v3,grief,grief,sadness,true,5,0.375,h,crossset_same_emotion
A-terror-08,B-terror-d3-v3,terror,terror,surprise,false,5,0.375,h,crossset_same_emotion
A-ecstasy-08,B-ecstasy-d3-v3,ecstasy,ecstasy,confusion,false,5,0.375,h,crossset_same_emotion
A-loathing-08,B-loathing-d3-v3,loathing,loathing,anger,false,5,0.375,h,crossset_same_emotion
A-amazement-08,B-amazement-d3-v3,amazement,amazement,surprise,true,5,0.375,h,crossset_same_emotion
A-admiration-08,B-admiration-d3-v3,admiration,admiration,joy,false,5,0.375,h,crossset_same_emotion
A-vigilance-08,B-vigilance-d3-v3,vigilance,vigilance,fear,false,5,0.375,h,crossset_same_emotion
A-rage-08,B-grief-d2-v3,rage,grief,sadness,false,5,0.375,h,crossset_diff_emotion
A-rage-08,B-terror-d2-v3,rage,terror,fear,false,5,0.375,h,crossset_diff_emotion
A-rage-08,B-ecstasy-d2-v3,rage,ecstasy,sadness,false,5,0.375,h,crossset_diff_emotion
A-rage-08,B-loathing-d2-v3,rage,loathing,fear,false,5,0.375,h,crossset_diff_emotion
A-rage-08,B-amazement-d2-v3,rage,amazement,joy,false,5,0.375,h,crossset_diff_emotion
A-rage-08,B-admiration-d2-v3,rage,admiration,surprise,false,5,0.375,h,crossset_diff_emotion
A-rage-08,B-vigilance-d2-v3,rage,vigilance,fear,false,5,0.375,h,crossset_diff_emotion
A-grief-08,B-rage-d2-v3,grief,rage,anger,false,5,0.375,h,crossset_diff_emotion
A-grief-08,B-terror-d2-v3,grief,terror,fear,false,5,0.375,h,crossset_diff_emotion
A-grief-08,B-ecstasy-d2-v3,grief,ecstasy,sadness,true,5,0.375,h,crossset_diff_emotion
A-grief-08,B-loathing-d2-v3,grief,loathing,fear,false,5,0.375,h,crossset_diff_emotion
A-grief-08,B-amazement-d2-v3,grief,amazement,joy,false,5,0.375,h,crossset_diff_emotion
A-grief-08,B-admiration-d2-v3,grief,admiration,anger,false,5,0.375,h,crossset_diff_emotion
A-grief-08,B-vigilance-d2-v3,grief,vigilance,fear,false,5,0.375,h,crossset_diff_emotion
A-terror-08,B-rage-d2-v3,terror,rage,anger,false,5,0.375,h,crossset_diff_emotion
A-terror-08,B-grief-d2-v3,terror,grief,sadness,false,5,0.375,h,crossset_diff_emotion
A-terror-08,B-ecstasy-d2-v3,terror,ecstasy,sadness,false,5,0.375,h,crossset_diff_emotion
