id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
B-admiration-d1-v1,admiration,frustration,frustration,false,0,a,zero
B-admiration-d1-v2,admiration,pride,pride,false,0,a,zero
B-admiration-d1-v3,admiration,admiration,admiration,false,0,a,zero
B-admiration-d1-v4,admiration,awe,awe,false,0,a,zero
B-admiration-d2-v1,admiration,"","",false,0,a,zero
B-admiration-d2-v2,admiration,sadness,sadness,false,0,a,zero
B-admiration-d2-v3,admiration,"","",false,0,a,zero
B-admiration-d2-v4,admiration,contentment,contentment,false,0,a,zero
B-admiration-d3-v1,admiration,pride,pride,false,0,a,zero
B-admiration-d3-v2,admiration,perseverance,perseverance,false,0,a,zero
B-admiration-d3-v3,admiration,determination,determination,false,0,a,zero
B-admiration-d3-v4,admiration,"",admiration,true,0,a,zero
B-amazement-d1-v1,amazement,awe,awe,false,0,a,zero
B-amazement-d1-v2,amazement,awe,awe,false,0,a,zero
B-amazement-d1-v3,amazement,awe,awe,false,0,a,zero
B-amazement-d1-v4,amazement,fear,fear,false,0,a,zero
B-amazement-d2-v1,amazement,relief,relief,false,0,a,zero
B-amazement-d2-v2,amazement,awe,awe,false,0,a,zero
B-amazement-d2-v3,amazement,relief,relief,false,0,a,zero
B-amazement-d2-v4,amazement,relief,relief,false,0,a,zero
B-amazement-d3-v1,amazement,pride,pride,false,0,a,zero
B-amazement-d3-v2,amazement,awe,awe,false,0,a,zero
B-amazement-d3-v3,amazement,relief,relief,false,0,a,zero
B-amazement-d3-v4,amazement,"","",false,0,a,zero
B-ecstasy-d1-v1,ecstasy,overwhelming,overwhelming,false,0,a,zero
B-ecstasy-d1-v2,ecstasy,despair,despair,false,0,a,zero
B-ecstasy-d1-v3,ecstasy,relief,relief,false,0,a,zero
B-ecstasy-d1-v4,ecstasy,pride,pride,false,0,a,zero
B-ecstasy-d2-v1,ecstasy,anticipation,anticipation,false,0,a,zero
B-ecstasy-d2-v2,ecstasy,relief,relief,false,0,a,zero
B-ecstasy-d2-v3,ecstasy,complex,complex,false,0,a,zero
B-ecstasy-d2-v4,ecstasy,loneliness,loneliness,false,0,a,zero
B-ecstasy-d3-v1,ecstasy,el,el,false,0,a,zero
B-ecstasy-d3-v2,ecstasy,awe,awe,false,0,a,zero
B-ecstasy-d3-v3,ecstasy,excitement,excitement,false,0,a,zero
B-ecstasy-d3-v4,ecstasy,excitement,excitement,false,0,a,zero
B-grief-d1-v1,grief,grief,grief,false,0,a,zero
B-grief-d1-v2,grief,loneliness,loneliness,false,0,a,zero
