source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
A-rage-01,A-grief-04,rage,grief,fear,fear,false,7,0.1905,m,seta,within_set
A-rage-01,A-terror-04,rage,terror,fear,fear,false,7,0.1905,m,seta,within_set
A-rage-01,A-ecstasy-04,rage,ecstasy,joy,joy,false,7,0.1905,m,seta,within_set
A-rage-01,A-loathing-04,rage,loathing,disgust,disgust,false,7,0.1905,m,seta,within_set
A-rage-01,A-amazement-04,rage,amazement,surprise,surprise,false,7,0.1905,m,seta,within_set
A-rage-01,A-admiration-04,rage,admiration,trust,trust,false,7,0.1905,m,seta,within_set
A-rage-01,A-vigilance-04,rage,vigilance,anxiety,anxiety,false,7,0.1905,m,seta,within_set
A-grief-01,A-rage-04,grief,rage,anger,anger,false,7,0.1905,m,seta,within_set
A-grief-01,A-terror-04,grief,terror,fear,fear,false,7,0.1905,m,seta,within_set
A-grief-01,A-ecstasy-04,grief,ecstasy,joy,joy,false,7,0.1905,m,seta,within_set
A-grief-01,A-loathing-04,grief,loathing,disgust,disgust,false,7,0.1905,m,seta,within_set
A-grief-01,A-amazement-04,grief,amazement,surprise,surprise,false,7,0.1905,m,seta,within_set
A-grief-01,A-admiration-04,grief,admiration,trust,trust,false,7,0.1905,m,seta,within_set
A-grief-01,A-vigilance-04,grief,vigilance,anxiety,anxiety,false,7,0.1905,m,seta,within_set
A-terror-01,A-rage-04,terror,rage,anger,anger,false,7,0.1905,m,seta,within_set
A-terror-01,A-grief-04,terror,grief,fear,fear,true,7,0.1905,m,seta,within_set
A-terror-01,A-ecstasy-04,terror,ecstasy,joy,joy,false,7,0.1905,m,seta,within_set
A-terror-01,A-loathing-04,terror,loathing,disgust,disgust,false,7,0.1905,m,seta,within_set
A-terror-01,A-amazement-04,terror,amazement,surprise,surprise,false,7,0.1905,m,seta,within_set
A-terror-01,A-admiration-04,terror,admiration,trust,trust,false,7,0.1905,m,seta,within_set
A-terror-01,A-vigilance-04,terror,vigilance,anxiety,anxiety,true,7,0.1905,m,seta,within_set
A-ecstasy-01,A-rage-04,ecstasy,rage,anger,anger,false,7,0.1905,m,seta,within_set
A-ecstasy-01,A-grief-04,ecstasy,grief,fear,fear,false,7,0.1905,m,seta,within_set
A-ecstasy-01,A-terror-04,ecstasy,terror,fear,fear,false,7,0.1905,m,seta,within_set
A-ecstasy-01,A-loathing-04,ecstasy,loathing,disgust,disgust,false,7,0.1905,m,seta,within_set
A-ecstasy-01,A-amazement-04,ecstasy,amazement,surprise,surprise,false,7,0.1905,m,seta,within_set
A-ecstasy-01,A-admiration-04,ecstasy,admiration,trust,trust,false,7,0.1905,m,seta,within_set
A-ecstasy-01,A-vigilance-04,ecstasy,vigilance,anxiety,anxiety,false,7,0.1905,m,seta,within_set
A-loathing-01,A-rage-04,loathing,rage,anger,anger,false,7,0.1905,m,seta,within_set
A-loathing-01,A-grief-04,loathing,grief,fear,fear,false,7,0.1905,m,seta,within_set
A-loathing-01,A-terror-04,loathing,terror,fear,fear,false,7,0.1905,m,seta,within_set
A-loathing-01,A-ecstasy-04,loathing,ecstasy,joy,joy,false,7,0.1905,m,seta,within_set
A-loathing-01,A-amazement-04,loathing,amazement,surprise,surprise,false,7,0.1905,m,seta,within_set
A-loathing-01,A-admiration-04,loathing,admiration,trust,trust,false,7,0.1905,m,seta,within_set
A-loathing-01,A-vigilance-04,loathing,vigilance,anxiety,anxiety,false,7,0.1905,m,seta,within_set
A-amazement-01,A-rage-04,amazement,rage,anger,anger,false,7,0.1905,m,seta,within_set
A-amazement-01,A-grief-04,amazement,grief,fear,fear,false,7,0.1905,m,seta,within_set
A-amazement-01,A-terror-04,amazement,terror,fear,fear,false,7,0.1905,m,seta,within_set
A-amazement-01,A-ecstasy-04,amazement,ecstasy,joy,joy,false,7,0.1905,m,seta,within_set
A-amazement-01,A-loathing-04,amazement,loathing,disgust,disgust,false,7,0.1905,m,seta,within_set
A-amazement-01,A-admiration-04,amazement,admiration,trust,trust,false,7,0.1905,m,seta,within_set
A-amazement-01,A-vigilance-04,amazement,vigilance,anxiety,anxiety,false,7,0.1905,m,seta,within_set
A-admiration-01,A-rage-04,admiration,rage,anger,anger,false,7,0.1905,m,seta,within_set
A-admiration-01,A-grief-04,admiration,grief,fear,fear,false,7,0.1905,m,seta,within_set
A-admiration-01,A-terror-04,admiration,terror,fear,fear,false,7,0.1905,m,seta,within_set
A-admiration-01,A-ecstasy-04,admiration,ecstasy,joy,joy,false,7,0.1905,m,seta,within_set
A-admiration-01,A-loathing-04,admiration,loathing,disgust,disgust,false,7,0.1905,m,seta,within_set
A-admiration-01,A-amazement-04,admiration,amazement,surprise,surprise,false,7,0.1905,m,seta,within_set
A-admiration-01,A-vigilance-04,admiration,vigilance,anxiety,anxiety,false,7,0.1905,m,seta,within_set
A-vigilance-01,A-rage-04,vigilance,rage,anger,anger,false,7,0.1905,m,seta,within_set
A-vigilance-01,A-grief-04,vigilance,grief,fear,fear,false,7,0.1905,m,seta,within_set
A-vigilance-01,A-terror-04,vigilance,terror,fear,fear,false,7,0.1905,m,seta,within_set
A-vigilance-01,A-ecstasy-04,vigilance,ecstasy,joy,joy,false,7,0.1905,m,seta,within_set
A-vigilance-01,A-loathing-04,vigilance,loathing,disgust,disgust,false,7,0.1905,m,seta,within_set
A-vigilance-01,A-amazement-04,vigilance,amazement,surprise,surprise,false,7,0.1905,m,seta,within_set
A-vigilance-01,A-admiration-04,vigilance,admiration,trust,trust,false,7,0.1905,m,seta,within_set
A-rage-01,A-grief-07,rage,grief,sadness,sadness,false,15,0.381,m,seta,within_set
A-rage-01,A-terror-07,rage,terror,fear,fear,false,15,0.381,m,seta,within_set
A-rage-01,A-ecstasy-07,rage,ecstasy,pride,pride,false,15,0.381,m,seta,within_set
