id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
B-admiration-d1-v1,admiration,awe,awe,false,0,a,random
B-admiration-d1-v2,admiration,pride,pride,false,0,a,random
B-admiration-d1-v3,admiration,love,admiration,true,0,a,random
B-admiration-d1-v4,admiration,awe,awe,false,0,a,random
B-admiration-d2-v1,admiration,guilt,guilt,false,0,a,random
B-admiration-d2-v2,admiration,sadness,sadness,false,0,a,random
B-admiration-d2-v3,admiration,guilt,guilt,false,0,a,random
B-admiration-d2-v4,admiration,pride,loyalty,true,0,a,random
B-admiration-d3-v1,admiration,pride,pride,false,0,a,random
B-admiration-d3-v2,admiration,relief,pride,true,0,a,random
B-admiration-d3-v3,admiration,determination,determination,false,0,a,random
B-admiration-d3-v4,admiration,empathy,compassion,true,0,a,random
B-amazement-d1-v1,amazement,awe,awe,false,0,a,random
B-amazement-d1-v2,amazement,awe,awe,false,0,a,random
B-amazement-d1-v3,amazement,awe,awe,false,0,a,random
B-amazement-d1-v4,amazement,fear,fear,false,0,a,random
B-amazement-d2-v1,amazement,relief,relief,false,0,a,random
B-amazement-d2-v2,amazement,awe,awe,false,0,a,random
B-amazement-d2-v3,amazement,compassion,compassion,false,0,a,random
B-amazement-d2-v4,amazement,relief,relief,false,0,a,random
B-amazement-d3-v1,amazement,surprise,surprise,false,0,a,random
B-amazement-d3-v2,amazement,surprise,surprise,false,0,a,random
B-amazement-d3-v3,amazement,surprise,surprise,false,0,a,random
B-amazement-d3-v4,amazement,surprise,surprise,false,0,a,random
B-ecstasy-d1-v1,ecstasy,joy,joy,false,0,a,random
B-ecstasy-d1-v2,ecstasy,fear,shock,true,0,a,random
B-ecstasy-d1-v3,ecstasy,joy,joy,false,0,a,random
B-ecstasy-d1-v4,ecstasy,pride,pride,false,0,a,random
B-ecstasy-d2-v1,ecstasy,joy,joy,false,0,a,random
B-ecstasy-d2-v2,ecstasy,joy,joy,false,0,a,random
B-ecstasy-d2-v3,ecstasy,relief,surprise,true,0,a,random
B-ecstasy-d2-v4,ecstasy,happiness,happiness,false,0,a,random
B-ecstasy-d3-v1,ecstasy,joy,joy,false,0,a,random
B-ecstasy-d3-v2,ecstasy,awe,awe,false,0,a,random
B-ecstasy-d3-v3,ecstasy,surprise,surprise,false,0,a,random
B-ecstasy-d3-v4,ecstasy,excitement,excitement,false,0,a,random
B-grief-d1-v1,grief,sadness,sadness,false,0,a,random
B-grief-d1-v2,grief,sadness,sadness,false,0,a,random
B-grief-d1-v3,grief,sadness,sadness,false,0,a,random
B-grief-d1-v4,grief,sadness,sadness,false,0,a,random
B-grief-d2-v1,grief,sadness,sadness,false,0,a,random
B-grief-d2-v2,grief,sadness,sadness,false,0,a,random
B-grief-d2-v3,grief,sadness,sadness,false,0,a,random
B-grief-d2-v4,grief,sadness,sadness,false,0,a,random
B-grief-d3-v1,grief,fear,anger,true,0,a,random
