source_id,target_id,source_emotion,target_emotion,patched_pred,success,layer,norm_depth,act_type,condition
A-rage-08,B-rage-d3-v3,rage,rage,anger,true,5,0.1875,h,crossset_same_emotion
A-grief-08,B-grief-d3-v3,grief,grief,sadness,true,5,0.1875,h,crossset_same_emotion
A-terror-08,B-terror-d3-v3,terror,terror,fear,true,5,0.1875,h,crossset_same_emotion
A-ecstasy-08,B-ecstasy-d3-v3,ecstasy,ecstasy,excitement,false,5,0.1875,h,crossset_same_emotion
A-loathing-08,B-loathing-d3-v3,loathing,loathing,embarrassment,false,5,0.1875,h,crossset_same_emotion
A-amazement-08,B-amazement-d3-v3,amazement,amazement,relief,false,5,0.1875,h,crossset_same_emotion
A-admiration-08,B-admiration-d3-v3,admiration,admiration,determination,false,5,0.1875,h,crossset_same_emotion
A-vigilance-08,B-vigilance-d3-v3,vigilance,vigilance,concern,false,5,0.1875,h,crossset_same_emotion
A-rage-08,B-grief-d2-v3,rage,grief,melanch,false,5,0.1875,h,crossset_diff_emotion
A-rage-08,B-terror-d2-v3,rage,terror,anxiety,false,5,0.1875,h,crossset_diff_emotion
A-rage-08,B-ecstasy-d2-v3,rage,ecstasy,nostalgia,false,5,0.1875,h,crossset_diff_emotion
A-rage-08,B-loathing-d2-v3,rage,loathing,disgust,false,5,0.1875,h,crossset_diff_emotion
A-rage-08,B-amazement-d2-v3,rage,amazement,relief,false,5,0.1875,h,crossset_diff_emotion
A-rage-08,B-admiration-d2-v3,rage,admiration,guilt,false,5,0.1875,h,crossset_diff_emotion
A-rage-08,B-vigilance-d2-v3,rage,vigilance,focus,false,5,0.1875,h,crossset_diff_emotion
A-grief-08,B-rage-d2-v3,grief,rage,anger,false,5,0.1875,h,crossset_diff_emotion
A-grief-08,B-terror-d2-v3,grief,terror,anxiety,false,5,0.1875,h,crossset_diff_emotion
A-grief-08,B-ecstasy-d2-v3,grief,ecstasy,nostalgia,false,5,0.1875,h,crossset_diff_emotion
A-grief-08,B-loathing-d2-v3,grief,loathing,disgust,false,5,0.1875,h,crossset_diff_emotion
A-grief-08,B-amazement-d2-v3,grief,amazement,relief,false,5,0.1875,h,crossset_diff_emotion
A-grief-08,B-admiration-d2-v3,grief,admiration,guilt,false,5,0.1875,h,crossset_diff_emotion
A-grief-08,B-vigilance-d2-v3,grief,vigilance,focus,false,5,0.1875,h,crossset_diff_emotion
A-terror-08,B-rage-d2-v3,terror,rage,anger,false,5,0.1875,h,crossset_diff_emotion
A-terror-08,B-grief-d2-v3,terror,grief,melanch,false,5,0.1875,h,crossset_diff_emotion
A-terror-08,B-ecstasy-d2-v3,terror,ecstasy,nostalgia,false,5,0.1875,h,crossset_diff_emotion
A-rage-06,B-rage-d3-v4,rage,rage,fear,false,11,0.375,h,crossset_same_emotion
A-grief-06,B-grief-d3-v4,grief,grief,longing,false,11,0.375,h,crossset_same_emotion
A-terror-06,B-terror-d3-v4,terror,terror,anxiety,true,11,0.375,h,crossset_same_emotion
A-ecstasy-06,B-ecstasy-d3-v4,ecstasy,ecstasy,excitement,false,11,0.375,h,crossset_same_emotion
A-loathing-06,B-loathing-d3-v4,loathing,loathing,irony,false,11,0.375,h,crossset_same_emotion
A-amazement-06,B-amazement-d3-v4,amazement,amazement,surprise,true,11,0.375,h,crossset_same_emotion
A-admiration-06,B-admiration-d3-v4,admiration,admiration,empathy,false,11,0.375,h,crossset_same_emotion
A-vigilance-06,B-vigilance-d3-v4,vigilance,vigilance,alert,false,11,0.375,h,crossset_same_emotion
A-rage-03,B-grief-d3-v1,rage,grief,anxiety,false,11,0.375,h,crossset_diff_emotion
A-rage-03,B-terror-d3-v1,rage,terror,fear,false,11,0.375,h,crossset_diff_emotion
A-rage-03,B-ecstasy-d3-v1,rage,ecstasy,excitement,false,11,0.375,h,crossset_diff_emotion
A-rage-03,B-loathing-d3-v1,rage,loathing,shame,false,11,0.375,h,crossset_diff_emotion
A-rage-03,B-amazement-d3-v1,rage,amazement,surprise,false,11,0.375,h,crossset_diff_emotion
A-rage-03,B-admiration-d3-v1,rage,admiration,pride,false,11,0.375,h,crossset_diff_emotion
A-rage-03,B-vigilance-d3-v1,rage,vigilance,focus,false,11,0.375,h,crossset_diff_emotion
A-grief-03,B-rage-d3-v1,grief,rage,shock,false,11,0.375,h,crossset_diff_emotion
