source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
B-rage-d3-v4,B-grief-d2-v3,rage,grief,nostalgia,nostalgia,false,3,0.25,a,setb,within_set
B-rage-d3-v4,B-terror-d2-v3,rage,terror,anxiety,anxiety,false,3,0.25,a,setb,within_set
B-rage-d3-v4,B-ecstasy-d2-v3,rage,ecstasy,nostalgia,nostalgia,false,3,0.25,a,setb,within_set
B-rage-d3-v4,B-loathing-d2-v3,rage,loathing,concern,concern,false,3,0.25,a,setb,within_set
B-rage-d3-v4,B-amazement-d2-v3,rage,amazement,relief,relief,false,3,0.25,a,setb,within_set
B-rage-d3-v4,B-admiration-d2-v3,rage,admiration,guilt,anger,true,3,0.25,a,setb,within_set
B-rage-d3-v4,B-vigilance-d2-v3,rage,vigilance,excitement,excitement,false,3,0.25,a,setb,within_set
B-grief-d3-v4,B-rage-d2-v3,grief,rage,frustration,frustration,false,3,0.25,a,setb,within_set
B-grief-d3-v4,B-terror-d2-v3,grief,terror,anxiety,anxiety,false,3,0.25,a,setb,within_set
B-grief-d3-v4,B-ecstasy-d2-v3,grief,ecstasy,nostalgia,nostalgia,false,3,0.25,a,setb,within_set
B-grief-d3-v4,B-loathing-d2-v3,grief,loathing,concern,concern,false,3,0.25,a,setb,within_set
B-grief-d3-v4,B-amazement-d2-v3,grief,amazement,relief,relief,false,3,0.25,a,setb,within_set
B-grief-d3-v4,B-admiration-d2-v3,grief,admiration,guilt,anger,false,3,0.25,a,setb,within_set
B-grief-d3-v4,B-vigilance-d2-v3,grief,vigilance,excitement,excitement,false,3,0.25,a,setb,within_set
B-terror-d3-v4,B-rage-d2-v3,terror,rage,frustration,frustration,false,3,0.25,a,setb,within_set
B-terror-d3-v4,B-grief-d2-v3,terror,grief,nostalgia,nostalgia,false,3,0.25,a,setb,within_set
B-terror-d3-v4,B-ecstasy-d2-v3,terror,ecstasy,nostalgia,nostalgia,false,3,0.25,a,setb,within_set
B-terror-d3-v4,B-loathing-d2-v3,terror,loathing,concern,concern,false,3,0.25,a,setb,within_set
B-terror-d3-v4,B-amazement-d2-v3,terror,amazement,relief,relief,false,3,0.25,a,setb,within_set
B-terror-d3-v4,B-admiration-d2-v3,terror,admiration,guilt,guilt,false,3,0.25,a,setb,within_set
B-terror-d3-v4,B-vigilance-d2-v3,terror,vigilance,excitement,excitement,false,3,0.25,a,setb,within_set
B-ecstasy-d3-v4,B-rage-d2-v3,ecstasy,rage,frustration,frustration,false,3,0.25,a,setb,within_set
B-ecstasy-d3-v4,B-grief-d2-v3,ecstasy,grief,nostalgia,nostalgia,false,3,0.25,a,setb,within_set
B-ecstasy-d3-v4,B-terror-d2-v3,ecstasy,terror,anxiety,anxiety,false,3,0.25,a,setb,within_set
B-ecstasy-d3-v4,B-loathing-d2-v3,ecstasy,loathing,concern,concern,false,3,0.25,a,setb,within_set
B-ecstasy-d3-v4,B-amazement-d2-v3,ecstasy,amazement,relief,relief,false,3,0.25,a,setb,within_set
B-ecstasy-d3-v4,B-admiration-d2-v3,ecstasy,admiration,guilt,anger,false,3,0.25,a,setb,within_set
B-ecstasy-d3-v4,B-vigilance-d2-v3,ecstasy,vigilance,excitement,excitement,false,3,0.25,a,setb,within_set
B-loathing-d3-v4,B-rage-d2-v3,loathing,rage,frustration,frustration,false,3,0.25,a,setb,within_set
B-loathing-d3-v4,B-grief-d2-v3,loathing,grief,nostalgia,nostalgia,false,3,0.25,a,setb,within_set
B-loathing-d3-v4,B-terror-d2-v3,loathing,terror,anxiety,anxiety,false,3,0.25,a,setb,within_set
B-loathing-d3-v4,B-ecstasy-d2-v3,loathing,ecstasy,nostalgia,nostalgia,false,3,0.25,a,setb,within_set
