id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
B-admiration-d1-v1,admiration,pride,curiosity,true,0,a,random
B-admiration-d1-v2,admiration,empathy,gratitude,true,0,a,random
B-admiration-d1-v3,admiration,nostalgia,nostalgia,false,0,a,random
B-admiration-d1-v4,admiration,calm,none,true,0,a,random
B-admiration-d2-v1,admiration,guilt,empathy,true,0,a,random
B-admiration-d2-v2,admiration,sadness,sadness,false,0,a,random
B-admiration-d2-v3,admiration,guilt,None,true,0,a,random
B-admiration-d2-v4,admiration,regret,none,true,0,a,random
B-admiration-d3-v1,admiration,pride,pride,false,0,a,random
B-admiration-d3-v2,admiration,disappointment,happiness,true,0,a,random
B-admiration-d3-v3,admiration,disappointment,I,true,0,a,random
B-admiration-d3-v4,admiration,curiosity,curiosity,false,0,a,random
B-amazement-d1-v1,amazement,awe,:,true,0,a,random
B-amazement-d1-v2,amazement,surprise,none,true,0,a,random
B-amazement-d1-v3,amazement,wonder,none,true,0,a,random
B-amazement-d1-v4,amazement,relief,sadness,true,0,a,random
B-amazement-d2-v1,amazement,relief,"",true,0,a,random
B-amazement-d2-v2,amazement,awe,The,true,0,a,random
B-amazement-d2-v3,amazement,relief,none,true,0,a,random
B-amazement-d2-v4,amazement,relief,relief,false,0,a,random
B-amazement-d3-v1,amazement,understanding,none,true,0,a,random
B-amazement-d3-v2,amazement,curiosity,curiosity,false,0,a,random
B-amazement-d3-v3,amazement,confusion,confusion,false,0,a,random
B-amazement-d3-v4,amazement,polit,polit,false,0,a,random
B-ecstasy-d1-v1,ecstasy,grief,grief,false,0,a,random
B-ecstasy-d1-v2,ecstasy,sadness,:,true,0,a,random
B-ecstasy-d1-v3,ecstasy,frustration,frustration,false,0,a,random
B-ecstasy-d1-v4,ecstasy,pride,The,true,0,a,random
B-ecstasy-d2-v1,ecstasy,nostalgia,The,true,0,a,random
B-ecstasy-d2-v2,ecstasy,anxiety,anxiety,false,0,a,random
B-ecstasy-d2-v3,ecstasy,nostalgia,nostalgia,false,0,a,random
B-ecstasy-d2-v4,ecstasy,curiosity,indifference,true,0,a,random
B-ecstasy-d3-v1,ecstasy,surprise,surprise,false,0,a,random
B-ecstasy-d3-v2,ecstasy,wonder,"",true,0,a,random
B-ecstasy-d3-v3,ecstasy,confusion,(,true,0,a,random
B-ecstasy-d3-v4,ecstasy,curiosity,curiosity,false,0,a,random
B-grief-d1-v1,grief,nostalgia,nostalgia,false,0,a,random
B-grief-d1-v2,grief,indifference,:,true,0,a,random
B-grief-d1-v3,grief,sadness,sadness,false,0,a,random
B-grief-d1-v4,grief,grief,relief,true,0,a,random
B-grief-d2-v1,grief,sadness,melanch,true,0,a,random
B-grief-d2-v2,grief,nostalgia,calm,true,0,a,random
B-grief-d2-v3,grief,nostalgia,nostalgia,false,0,a,random
B-grief-d2-v4,grief,nostalgia,nostalgia,false,0,a,random
B-grief-d3-v1,grief,sadness,nostalgia,true,0,a,random
B-grief-d3-v2,grief,sadness,(,true,0,a,random
B-grief-d3-v3,grief,nostalgia,none,true,0,a,random
B-grief-d3-v4,grief,sadness,sadness,false,0,a,random
B-loathing-d1-v1,loathing,satisfaction,none,true,0,a,random
B-loathing-d1-v2,loathing,relief,relief,false,0,a,random
B-loathing-d1-v3,loathing,surprise,none,true,0,a,random
B-loathing-d1-v4,loathing,pride,none,true,0,a,random
B-loathing-d2-v1,loathing,fear,"",true,0,a,random
B-loathing-d2-v2,loathing,confusion,confusion,false,0,a,random
B-loathing-d2-v3,loathing,concern,fear,true,0,a,random
B-loathing-d2-v4,loathing,guilt,fear,true,0,a,random
B-loathing-d3-v1,loathing,anger,anger,false,0,a,random
B-loathing-d3-v2,loathing,anger,anger,false,0,a,random
B-loathing-d3-v3,loathing,anger,none,true,0,a,random
B-loathing-d3-v4,loathing,anger,anger,false,0,a,random
B-rage-d1-v1,rage,anger,anger,false,0,a,random
B-rage-d1-v2,rage,satisfaction,curiosity,true,0,a,random
B-rage-d1-v3,rage,anger,surprise,true,0,a,random
B-rage-d1-v4,rage,guilt,anger,true,0,a,random
B-rage-d2-v1,rage,relief,None,true,0,a,random
B-rage-d2-v2,rage,anger,none,true,0,a,random
B-rage-d2-v3,rage,frustration,frustration,false,0,a,random
B-rage-d2-v4,rage,concern,"",true,0,a,random
B-rage-d3-v1,rage,guilt,guilt,false,0,a,random
B-rage-d3-v2,rage,fear,fear,false,0,a,random
B-rage-d3-v3,rage,indifference,none,true,0,a,random
B-rage-d3-v4,rage,anger,anger,false,0,a,random
B-terror-d1-v1,terror,surprise,surprise,false,0,a,random
B-terror-d1-v2,terror,confusion,confusion,false,0,a,random
B-terror-d1-v3,terror,fear,The,true,0,a,random
B-terror-d1-v4,terror,fear,fear,false,0,a,random
B-terror-d2-v1,terror,sadness,sadness,false,0,a,random
B-terror-d2-v2,terror,anxiety,anxiety,false,0,a,random
B-terror-d2-v3,terror,anxiety,fear,true,0,a,random
