id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
B-admiration-d1-v1,admiration,frustration,frustration,false,0,m,random
B-admiration-d1-v2,admiration,pride,pride,false,0,m,random
B-admiration-d1-v3,admiration,admiration,admiration,false,0,m,random
B-admiration-d1-v4,admiration,awe,awe,false,0,m,random
B-admiration-d2-v1,admiration,"","",false,0,m,random
B-admiration-d2-v2,admiration,sadness,sadness,false,0,m,random
B-admiration-d2-v3,admiration,"","",false,0,m,random
B-admiration-d2-v4,admiration,contentment,contentment,false,0,m,random
B-admiration-d3-v1,admiration,pride,pride,false,0,m,random
B-admiration-d3-v2,admiration,perseverance,perseverance,false,0,m,random
B-admiration-d3-v3,admiration,determination,determination,false,0,m,random
B-admiration-d3-v4,admiration,"",admiration,true,0,m,random
B-amazement-d1-v1,amazement,awe,awe,false,0,m,random
B-amazement-d1-v2,amazement,awe,awe,false,0,m,random
B-amazement-d1-v3,amazement,awe,awe,false,0,m,random
B-amazement-d1-v4,amazement,fear,fear,false,0,m,random
B-amazement-d2-v1,amazement,relief,relief,false,0,m,random
B-amazement-d2-v2,amazement,awe,awe,false,0,m,random
B-amazement-d2-v3,amazement,relief,relief,false,0,m,random
B-amazement-d2-v4,amazement,relief,relief,false,0,m,random
B-amazement-d3-v1,amazement,pride,pride,false,0,m,random
B-amazement-d3-v2,amazement,awe,awe,false,0,m,random
B-amazement-d3-v3,amazement,relief,relief,false,0,m,random
B-amazement-d3-v4,amazement,"","",false,0,m,random
B-ecstasy-d1-v1,ecstasy,overwhelming,overwhelming,false,0,m,random
B-ecstasy-d1-v2,ecstasy,despair,despair,false,0,m,random
B-ecstasy-d1-v3,ecstasy,relief,relief,false,0,m,random
B-ecstasy-d1-v4,ecstasy,pride,pride,false,0,m,random
B-ecstasy-d2-v1,ecstasy,anticipation,anticipation,false,0,m,random
B-ecstasy-d2-v2,ecstasy,relief,relief,false,0,m,random
B-ecstasy-d2-v3,ecstasy,complex,complex,false,0,m,random
B-ecstasy-d2-v4,ecstasy,loneliness,loneliness,false,0,m,random
B-ecstasy-d3-v1,ecstasy,el,el,false,0,m,random
B-ecstasy-d3-v2,ecstasy,awe,awe,false,0,m,random
B-ecstasy-d3-v3,ecstasy,excitement,excitement,false,0,m,random
B-ecstasy-d3-v4,ecstasy,excitement,excitement,false,0,m,random
B-grief-d1-v1,grief,grief,grief,false,0,m,random
B-grief-d1-v2,grief,loneliness,loneliness,false,0,m,random
B-grief-d1-v3,grief,worry,worry,false,0,m,random
B-grief-d1-v4,grief,grief,grief,false,0,m,random
B-grief-d2-v1,grief,grief,grief,false,0,m,random
B-grief-d2-v2,grief,sadness,sadness,false,0,m,random
B-grief-d2-v3,grief,sadness,sadness,false,0,m,random
B-grief-d2-v4,grief,sadness,sadness,false,0,m,random
B-grief-d3-v1,grief,anxiety,anxiety,false,0,m,random
B-grief-d3-v2,grief,grief,grief,false,0,m,random
B-grief-d3-v3,grief,sadness,sadness,false,0,m,random
B-grief-d3-v4,grief,grief,grief,false,0,m,random
B-loathing-d1-v1,loathing,anger,anger,false,0,m,random
B-loathing-d1-v2,loathing,anger,anger,false,0,m,random
B-loathing-d1-v3,loathing,anger,anger,false,0,m,random
B-loathing-d1-v4,loathing,anger,anger,false,0,m,random
B-loathing-d2-v1,loathing,disgust,disgust,false,0,m,random
B-loathing-d2-v2,loathing,disgust,disgust,false,0,m,random
B-loathing-d2-v3,loathing,fear,fear,false,0,m,random
B-loathing-d2-v4,loathing,disgust,disgust,false,0,m,random
B-loathing-d3-v1,loathing,betrayal,betrayal,false,0,m,random
B-loathing-d3-v2,loathing,anger,anger,false,0,m,random
B-loathing-d3-v3,loathing,anger,anger,false,0,m,random
B-loathing-d3-v4,loathing,anger,anger,false,0,m,random
B-rage-d1-v1,rage,anger,anger,false,0,m,random
B-rage-d1-v2,rage,anger,anger,false,0,m,random
B-rage-d1-v3,rage,anger,anger,false,0,m,random
B-rage-d1-v4,rage,anger,anger,false,0,m,random
B-rage-d2-v1,rage,anger,anger,false,0,m,random
B-rage-d2-v2,rage,anger,anger,false,0,m,random
B-rage-d2-v3,rage,anger,anger,false,0,m,random
B-rage-d2-v4,rage,fear,fear,false,0,m,random
B-rage-d3-v1,rage,betrayal,betrayal,false,0,m,random
B-rage-d3-v2,rage,anger,anger,false,0,m,random
B-rage-d3-v3,rage,anger,anger,false,0,m,random
B-rage-d3-v4,rage,fear,fear,false,0,m,random
B-terror-d1-v1,terror,fear,fear,false,0,m,random
B-terror-d1-v2,terror,fear,fear,false,0,m,random
B-terror-d1-v3,terror,fear,fear,false,0,m,random
B-terror-d1-v4,terror,fear,fear,false,0,m,random
B-terror-d2-v1,terror,anxiety,anxiety,false,0,m,random
B-terror-d2-v2,terror,anxiety,anxiety,false,0,m,random
B-terror-d2-v3,terror,fear,fear,false,0,m,random
B-terror-d2-v4,terror,fear,fear,false,0,m,random
B-terror-d3-v1,terror,fear,fear,false,0,m,random
B-terror-d3-v2,terror,fear,fear,false,0,m,random
B-terror-d3-v3,terror,fear,fear,false,0,m,random
B-terror-d3-v4,terror,fear,fear,false,0,m,random
B-vigilance-d1-v1,vigilance,anxiety,anxiety,false,0,m,random
B-vigilance-d1-v2,vigilance,anxiety,anxiety,false,0,m,random
B-vigilance-d1-v3,vigilance,anxiety,anxiety,false,0,m,random
B-vigilance-d1-v4,vigilance,concern,concern,false,0,m,random
B-vigilance-d2-v1,vigilance,anxiety,anxiety,false,0,m,random
B-vigilance-d2-v2,vigilance,anticipation,anticipation,false,0,m,random
B-vigilance-d2-v3,vigilance,anticipation,anticipation,false,0,m,random
B-vigilance-d2-v4,vigilance,tension,tension,false,0,m,random
B-vigilance-d3-v1,vigilance,anticipation,anticipation,false,0,m,random
B-vigilance-d3-v2,vigilance,tension,tension,false,0,m,random
B-vigilance-d3-v3,vigilance,fear,fear,false,0,m,random
B-vigilance-d3-v4,vigilance,anxiety,anxiety,false,0,m,random
B-admiration-d1-v1,admiration,frustration,frustration,false,1,m,random
B-admiration-d1-v2,admiration,pride,pride,false,1,m,random
B-admiration-d1-v3,admiration,admiration,admiration,false,1,m,random
B-admiration-d1-v4,admiration,awe,awe,false,1,m,random
B-admiration-d2-v1,admiration,"","",false,1,m,random
B-admiration-d2-v2,admiration,sadness,sadness,false,1,m,random
B-admiration-d2-v3,admiration,"","",false,1,m,random
B-admiration-d2-v4,admiration,contentment,contentment,false,1,m,random
B-admiration-d3-v1,admiration,pride,pride,false,1,m,random
B-admiration-d3-v2,admiration,perseverance,perseverance,false,1,m,random
B-admiration-d3-v3,admiration,determination,determination,false,1,m,random
B-admiration-d3-v4,admiration,"","",false,1,m,random
B-amazement-d1-v1,amazement,awe,awe,false,1,m,random
B-amazement-d1-v2,amazement,awe,awe,false,1,m,random
B-amazement-d1-v3,amazement,awe,awe,false,1,m,random
B-amazement-d1-v4,amazement,fear,fear,false,1,m,random
B-amazement-d2-v1,amazement,relief,relief,false,1,m,random
B-amazement-d2-v2,amazement,awe,awe,false,1,m,random
B-amazement-d2-v3,amazement,relief,relief,false,1,m,random
B-amazement-d2-v4,amazement,relief,relief,false,1,m,random
B-amazement-d3-v1,amazement,pride,pride,false,1,m,random
B-amazement-d3-v2,amazement,awe,awe,false,1,m,random
B-amazement-d3-v3,amazement,relief,relief,false,1,m,random
B-amazement-d3-v4,amazement,"","",false,1,m,random
B-ecstasy-d1-v1,ecstasy,overwhelming,overwhelming,false,1,m,random
B-ecstasy-d1-v2,ecstasy,despair,despair,false,1,m,random
B-ecstasy-d1-v3,ecstasy,relief,relief,false,1,m,random
B-ecstasy-d1-v4,ecstasy,pride,pride,false,1,m,random
B-ecstasy-d2-v1,ecstasy,anticipation,anticipation,false,1,m,random
B-ecstasy-d2-v2,ecstasy,relief,relief,false,1,m,random
B-ecstasy-d2-v3,ecstasy,complex,complex,false,1,m,random
B-ecstasy-d2-v4,ecstasy,loneliness,loneliness,false,1,m,random
B-ecstasy-d3-v1,ecstasy,el,el,false,1,m,random
B-ecstasy-d3-v2,ecstasy,awe,awe,false,1,m,random
B-ecstasy-d3-v3,ecstasy,excitement,excitement,false,1,m,random
B-ecstasy-d3-v4,ecstasy,excitement,excitement,false,1,m,random
B-grief-d1-v1,grief,grief,grief,false,1,m,random
B-grief-d1-v2,grief,loneliness,loneliness,false,1,m,random
B-grief-d1-v3,grief,worry,worry,false,1,m,random
B-grief-d1-v4,grief,grief,grief,false,1,m,random
B-grief-d2-v1,grief,grief,grief,false,1,m,random
B-grief-d2-v2,grief,sadness,sadness,false,1,m,random
B-grief-d2-v3,grief,sadness,sadness,false,1,m,random
B-grief-d2-v4,grief,sadness,sadness,false,1,m,random
B-grief-d3-v1,grief,anxiety,anxiety,false,1,m,random
B-grief-d3-v2,grief,grief,grief,false,1,m,random
B-grief-d3-v3,grief,sadness,sadness,false,1,m,random
B-grief-d3-v4,grief,grief,grief,false,1,m,random
B-loathing-d1-v1,loathing,anger,anger,false,1,m,random
B-loathing-d1-v2,loathing,anger,anger,false,1,m,random
B-loathing-d1-v3,loathing,anger,anger,false,1,m,random
B-loathing-d1-v4,loathing,anger,anger,false,1,m,random
B-loathing-d2-v1,loathing,disgust,disgust,false,1,m,random
B-loathing-d2-v2,loathing,disgust,disgust,false,1,m,random
B-loathing-d2-v3,loathing,fear,fear,false,1,m,random
B-loathing-d2-v4,loathing,disgust,disgust,false,1,m,random
B-loathing-d3-v1,loathing,betrayal,betrayal,false,1,m,random
B-loathing-d3-v2,loathing,anger,anger,false,1,m,random
B-loathing-d3-v3,loathing,anger,anger,false,1,m,random
B-loathing-d3-v4,loathing,anger,anger,false,1,m,random
B-rage-d1-v1,rage,anger,anger,false,1,m,random
B-rage-d1-v2,rage,anger,anger,false,1,m,random
B-rage-d1-v3,rage,anger,anger,false,1,m,random
B-rage-d1-v4,rage,anger,anger,false,1,m,random
B-rage-d2-v1,rage,anger,anger,false,1,m,random
B-rage-d2-v2,rage,anger,anger,false,1,m,random
B-rage-d2-v3,rage,anger,anger,false,1,m,random
B-rage-d2-v4,rage,fear,fear,false,1,m,random
B-rage-d3-v1,rage,betrayal,betrayal,false,1,m,random
B-rage-d3-v2,rage,anger,anger,false,1,m,random
B-rage-d3-v3,rage,anger,anger,false,1,m,random
B-rage-d3-v4,rage,fear,fear,false,1,m,random
B-terror-d1-v1,terror,fear,fear,false,1,m,random
B-terror-d1-v2,terror,fear,fear,false,1,m,random
B-terror-d1-v3,terror,fear,fear,false,1,m,random
B-terror-d1-v4,terror,fear,fear,false,1,m,random
B-terror-d2-v1,terror,anxiety,anxiety,false,1,m,random
B-terror-d2-v2,terror,anxiety,anxiety,false,1,m,random
B-terror-d2-v3,terror,fear,fear,false,1,m,random
