source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
B-rage-d1-v1,B-grief-d2-v1,rage,grief,sadness,sadness,false,7,0.1905,m,setb,within_set
B-rage-d1-v1,B-terror-d2-v1,rage,terror,fear,fear,false,7,0.1905,m,setb,within_set
B-rage-d1-v1,B-ecstasy-d2-v1,rage,ecstasy,happiness,happiness,false,7,0.1905,m,setb,within_set
B-rage-d1-v1,B-loathing-d2-v1,rage,loathing,fear,fear,false,7,0.1905,m,setb,within_set
B-rage-d1-v1,B-amazement-d2-v1,rage,amazement,fear,fear,false,7,0.1905,m,setb,within_set
B-rage-d1-v1,B-admiration-d2-v1,rage,admiration,anger,anger,true,7,0.1905,m,setb,within_set
B-rage-d1-v1,B-vigilance-d2-v1,rage,vigilance,anxiety,anxiety,false,7,0.1905,m,setb,within_set
B-grief-d1-v1,B-rage-d2-v1,grief,rage,anger,anger,false,7,0.1905,m,setb,within_set
B-grief-d1-v1,B-terror-d2-v1,grief,terror,fear,fear,false,7,0.1905,m,setb,within_set
B-grief-d1-v1,B-ecstasy-d2-v1,grief,ecstasy,happiness,happiness,false,7,0.1905,m,setb,within_set
B-grief-d1-v1,B-loathing-d2-v1,grief,loathing,fear,fear,false,7,0.1905,m,setb,within_set
B-grief-d1-v1,B-amazement-d2-v1,grief,amazement,fear,fear,false,7,0.1905,m,setb,within_set
B-grief-d1-v1,B-admiration-d2-v1,grief,admiration,anger,anger,false,7,0.1905,m,setb,within_set
B-grief-d1-v1,B-vigilance-d2-v1,grief,vigilance,anxiety,anxiety,false,7,0.1905,m,setb,within_set
B-terror-d1-v1,B-rage-d2-v1,terror,rage,anger,anger,false,7,0.1905,m,setb,within_set
B-terror-d1-v1,B-grief-d2-v1,terror,grief,sadness,sadness,false,7,0.1905,m,setb,within_set
B-terror-d1-v1,B-ecstasy-d2-v1,terror,ecstasy,happiness,happiness,false,7,0.1905,m,setb,within_set
B-terror-d1-v1,B-loathing-d2-v1,terror,loathing,fear,fear,true,7,0.1905,m,setb,within_set
B-terror-d1-v1,B-amazement-d2-v1,terror,amazement,fear,fear,true,7,0.1905,m,setb,within_set
B-terror-d1-v1,B-admiration-d2-v1,terror,admiration,anger,anger,false,7,0.1905,m,setb,within_set
B-terror-d1-v1,B-vigilance-d2-v1,terror,vigilance,anxiety,anxiety,true,7,0.1905,m,setb,within_set
B-ecstasy-d1-v1,B-rage-d2-v1,ecstasy,rage,anger,anger,false,7,0.1905,m,setb,within_set
B-ecstasy-d1-v1,B-grief-d2-v1,ecstasy,grief,sadness,sadness,false,7,0.1905,m,setb,within_set
B-ecstasy-d1-v1,B-terror-d2-v1,ecstasy,terror,fear,fear,false,7,0.1905,m,setb,within_set
B-ecstasy-d1-v1,B-loathing-d2-v1,ecstasy,loathing,fear,fear,false,7,0.1905,m,setb,within_set
B-ecstasy-d1-v1,B-amazement-d2-v1,ecstasy,amazement,fear,fear,false,7,0.1905,m,setb,within_set
B-ecstasy-d1-v1,B-admiration-d2-v1,ecstasy,admiration,anger,anger,false,7,0.1905,m,setb,within_set
B-ecstasy-d1-v1,B-vigilance-d2-v1,ecstasy,vigilance,anxiety,anxiety,false,7,0.1905,m,setb,within_set
B-loathing-d1-v1,B-rage-d2-v1,loathing,rage,anger,anger,false,7,0.1905,m,setb,within_set
B-loathing-d1-v1,B-grief-d2-v1,loathing,grief,sadness,sadness,false,7,0.1905,m,setb,within_set
B-loathing-d1-v1,B-terror-d2-v1,loathing,terror,fear,fear,false,7,0.1905,m,setb,within_set
B-loathing-d1-v1,B-ecstasy-d2-v1,loathing,ecstasy,happiness,happiness,false,7,0.1905,m,setb,within_set
B-loathing-d1-v1,B-amazement-d2-v1,loathing,amazement,fear,fear,false,7,0.1905,m,setb,within_set
B-loathing-d1-v1,B-admiration-d2-v1,loathing,admiration,anger,anger,false,7,0.1905,m,setb,within_set
B-loathing-d1-v1,B-vigilance-d2-v1,loathing,vigilance,anxiety,anxiety,false,7,0.1905,m,setb,within_set
B-amazement-d1-v1,B-rage-d2-v1,amazement,rage,anger,anger,false,7,0.1905,m,setb,within_set
