source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
A-rage-07,A-grief-02,rage,grief,sadness,sadness,false,2,0.1875,a,seta,within_set
A-rage-07,A-terror-02,rage,terror,fear,fear,false,2,0.1875,a,seta,within_set
A-rage-07,A-ecstasy-02,rage,ecstasy,joy,joy,false,2,0.1875,a,seta,within_set
A-rage-07,A-loathing-02,rage,loathing,disgust,disgust,false,2,0.1875,a,seta,within_set
A-rage-07,A-amazement-02,rage,amazement,surprise,surprise,false,2,0.1875,a,seta,within_set
A-rage-07,A-admiration-02,rage,admiration,joy,joy,false,2,0.1875,a,seta,within_set
A-rage-07,A-vigilance-02,rage,vigilance,fear,fear,false,2,0.1875,a,seta,within_set
A-grief-07,A-rage-02,grief,rage,anger,anger,false,2,0.1875,a,seta,within_set
A-grief-07,A-terror-02,grief,terror,fear,fear,false,2,0.1875,a,seta,within_set
A-grief-07,A-ecstasy-02,grief,ecstasy,joy,joy,false,2,0.1875,a,seta,within_set
A-grief-07,A-loathing-02,grief,loathing,disgust,disgust,false,2,0.1875,a,seta,within_set
A-grief-07,A-amazement-02,grief,amazement,surprise,surprise,false,2,0.1875,a,seta,within_set
A-grief-07,A-admiration-02,grief,admiration,joy,joy,false,2,0.1875,a,seta,within_set
A-grief-07,A-vigilance-02,grief,vigilance,fear,fear,false,2,0.1875,a,seta,within_set
A-terror-07,A-rage-02,terror,rage,anger,anger,false,2,0.1875,a,seta,within_set
A-terror-07,A-grief-02,terror,grief,sadness,sadness,false,2,0.1875,a,seta,within_set
A-terror-07,A-ecstasy-02,terror,ecstasy,joy,joy,false,2,0.1875,a,seta,within_set
A-terror-07,A-loathing-02,terror,loathing,disgust,disgust,false,2,0.1875,a,seta,within_set
A-terror-07,A-amazement-02,terror,amazement,surprise,surprise,false,2,0.1875,a,seta,within_set
A-terror-07,A-admiration-02,terror,admiration,joy,joy,false,2,0.1875,a,seta,within_set
A-terror-07,A-vigilance-02,terror,vigilance,fear,fear,true,2,0.1875,a,seta,within_set
A-ecstasy-07,A-rage-02,ecstasy,rage,anger,anger,false,2,0.1875,a,seta,within_set
A-ecstasy-07,A-grief-02,ecstasy,grief,sadness,sadness,false,2,0.1875,a,seta,within_set
A-ecstasy-07,A-terror-02,ecstasy,terror,fear,fear,false,2,0.1875,a,seta,within_set
A-ecstasy-07,A-loathing-02,ecstasy,loathing,disgust,disgust,false,2,0.1875,a,seta,within_set
A-ecstasy-07,A-amazement-02,ecstasy,amazement,surprise,surprise,false,2,0.1875,a,seta,within_set
A-ecstasy-07,A-admiration-02,ecstasy,admiration,joy,joy,true,2,0.1875,a,seta,within_set
A-ecstasy-07,A-vigilance-02,ecstasy,vigilance,fear,fear,false,2,0.1875,a,seta,within_set
A-loathing-07,A-rage-02,loathing,rage,anger,anger,false,2,0.1875,a,seta,within_set
A-loathing-07,A-grief-02,loathing,grief,sadness,sadness,false,2,0.1875,a,seta,within_set
A-loathing-07,A-terror-02,loathing,terror,fear,fear,false,2,0.1875,a,seta,within_set
