id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-admiration-01,admiration,A_standard,,157,156,llama8b_base,"['trust', 'love', 'joy', 'happiness', 'surprise']",false,:
A-admiration-02,admiration,A_standard,,187,186,llama8b_base,"['trust', 'Trust', 'relief', 'joy', 'surprise']",false,:
A-admiration-03,admiration,A_standard,,153,152,llama8b_base,"['trust', 'relief', 'Trust', 'hope', 'joy']",false,:
A-admiration-04,admiration,A_standard,,193,192,llama8b_base,"['trust', 'Trust', 'gratitude', 'joy', 'love']",false,:
A-admiration-05,admiration,A_standard,,140,139,llama8b_base,"['trust', 'relief', 'joy', 'gratitude', 'happiness']",false,:
A-admiration-06,admiration,A_standard,,176,175,llama8b_base,"['trust', 'relief', 'joy', 'surprise', 'Trust']",false,:
A-admiration-07,admiration,A_standard,,131,130,llama8b_base,"['trust', 'relief', 'joy', 'Trust', 'sadness']",false,:
A-admiration-08,admiration,A_standard,,155,154,llama8b_base,"['trust', 'Trust', 'confidence', 'relief', 'joy']",false,:
A-admiration-09,admiration,A_standard,,171,170,llama8b_base,"['anger', 'sadness', 'betrayal', 'shock', 'disappointment']",false,:
A-admiration-10,admiration,A_standard,,127,126,llama8b_base,"['trust', 'relief', 'love', 'calm', 'comfort']",false,:
A-amazement-01,amazement,A_standard,,156,155,llama8b_base,"['surprise', 'joy', 'surprised', 'Surprise', 'happiness']",true,:
A-amazement-02,amazement,A_standard,,122,121,llama8b_base,"['surprise', 'joy', 'happiness', 'Surprise', 'Joy']",true,:
A-amazement-03,amazement,A_standard,,131,130,llama8b_base,"['surprise', 'joy', 'Surprise', 'Joy', 'SUR']",true,:
A-amazement-04,amazement,A_standard,,132,131,llama8b_base,"['surprise', 'sadness', 'Surprise', 'shock', 'confusion']",true,:
A-amazement-05,amazement,A_standard,,141,140,llama8b_base,"['surprise', 'confusion', 'fear', 'disgust', 'shock']",true,:
A-amazement-06,amazement,A_standard,,122,121,llama8b_base,"['fear', 'surprise', 'confusion', 'anxiety', 'shock']",true,:
A-amazement-07,amazement,A_standard,,153,152,llama8b_base,"['surprise', 'joy', 'happiness', 'Surprise', 'confusion']",true,:
A-amazement-08,amazement,A_standard,,203,202,llama8b_base,"['joy', 'surprise', 'happiness', 'excitement', 'Surprise']",true,:
A-amazement-09,amazement,A_standard,,125,124,llama8b_base,"['surprise', 'Surprise', 'joy', 'excitement', 'confusion']",true,:
A-amazement-10,amazement,A_standard,,147,146,llama8b_base,"['surprise', 'fear', 'confusion', 'sadness', 'joy']",true,:
A-ecstasy-01,ecstasy,A_standard,,132,131,llama8b_base,"['joy', 'happiness', 'Joy', 'pride', 'sadness']",true,:
A-ecstasy-02,ecstasy,A_standard,,147,146,llama8b_base,"['joy', 'happiness', 'Joy', 'surprise', 'relief']",true,:
A-ecstasy-03,ecstasy,A_standard,,158,157,llama8b_base,"['joy', 'happiness', 'gratitude', 'relief', 'pride']",true,:
A-ecstasy-04,ecstasy,A_standard,,164,163,llama8b_base,"['joy', 'happiness', 'love', 'Joy', 'joyful']",true,:
A-ecstasy-05,ecstasy,A_standard,,155,154,llama8b_base,"['joy', 'pride', 'happiness', 'Joy', 'relief']",true,:
A-ecstasy-06,ecstasy,A_standard,,133,132,llama8b_base,"['joy', 'pride', 'happiness', 'Joy', 'awe']",true,:
A-ecstasy-07,ecstasy,A_standard,,165,164,llama8b_base,"['joy', 'happiness', 'Joy', 'pure', 'pride']",true,:
A-ecstasy-08,ecstasy,A_standard,,224,223,llama8b_base,"['joy', 'Joy', 'happiness', 'pride', 'surprise']",true,:
A-ecstasy-09,ecstasy,A_standard,,151,150,llama8b_base,"['delight', 'joy', 'awe', 'wonder', 'surprise']",true,:
A-ecstasy-10,ecstasy,A_standard,,129,128,llama8b_base,"['joy', 'happiness', 'Joy', 'love', 'excitement']",true,:
A-grief-01,grief,A_standard,,197,196,llama8b_base,"['sadness', 'depression', 'disgust', 'despair', 'shame']",true,:
A-grief-02,grief,A_standard,,128,127,llama8b_base,"['anger', 'sadness', 'frustration', 'fear', 'Ang']",true,:
A-grief-03,grief,A_standard,,152,151,llama8b_base,"['sadness', 'grief', 'sorrow', 'Sad', 'sad']",true,:
A-grief-04,grief,A_standard,,248,247,llama8b_base,"['sadness', 'fear', 'sad', 'anger', 'Sad']",true,:
A-grief-05,grief,A_standard,,254,253,llama8b_base,"['sadness', 'grief', 'Sad', 'sorrow', 'sad']",true,:
A-grief-06,grief,A_standard,,127,126,llama8b_base,"['sadness', 'love', 'sad', 'anger', 'fear']",true,:
A-grief-07,grief,A_standard,,170,169,llama8b_base,"['sadness', 'grief', 'Sad', 'sorrow', 'sad']",true,:
A-grief-08,grief,A_standard,,125,124,llama8b_base,"['sadness', 'grief', 'sorrow', 'Sad', 'sad']",true,:
A-grief-09,grief,A_standard,,160,159,llama8b_base,"['sadness', 'sad', 'nostalgia', 'Sad', 'regret']",true,:
A-grief-10,grief,A_standard,,157,156,llama8b_base,"['sadness', 'disappointment', 'confusion', 'anxiety', 'anger']",true,:
A-loathing-01,loathing,A_standard,,203,202,llama8b_base,"['disgust', 'Dis', 'anger', 'disgusted', 'sadness']",true,:
A-loathing-02,loathing,A_standard,,148,147,llama8b_base,"['disgust', 'anger', 'disappointment', 'frustration', 'sadness']",true,:
A-loathing-03,loathing,A_standard,,115,114,llama8b_base,"['anger', 'sadness', 'disgust', 'disappointment', 'Ang']",true,:
A-loathing-04,loathing,A_standard,,161,160,llama8b_base,"['disgust', 'anger', 'Dis', 'sadness', 'contempt']",true,:
A-loathing-05,loathing,A_standard,,221,220,llama8b_base,"['disgust', 'Dis', 'anxiety', 'disgusted', 'fear']",true,:
A-loathing-06,loathing,A_standard,,125,124,llama8b_base,"['disgust', 'Dis', 'anger', 'sadness', 'rep']",true,:
A-loathing-07,loathing,A_standard,,175,174,llama8b_base,"['anger', 'disgust', 'Dis', 'sadness', 'Ang']",true,:
A-loathing-08,loathing,A_standard,,128,127,llama8b_base,"['disgust', 'Dis', 'DIS', 'anger', 'disgusted']",true,:
A-loathing-09,loathing,A_standard,,121,120,llama8b_base,"['disgust', 'Dis', 'anger', 'sadness', 'fear']",true,:
A-loathing-10,loathing,A_standard,,196,195,llama8b_base,"['disgust', 'anger', 'sadness', 'disappointment', 'shame']",true,:
A-rage-01,rage,A_standard,,193,192,llama8b_base,"['anger', 'Ang', 'angry', 'sadness', 'frustration']",true,:
A-rage-02,rage,A_standard,,522,521,llama8b_base,"['anger', 'Ang', 'rage', 'angry', 'sadness']",true,:
A-rage-03,rage,A_standard,,156,155,llama8b_base,"['anger', 'sadness', 'Ang', 'frustration', 'rage']",true,:
A-rage-04,rage,A_standard,,161,160,llama8b_base,"['anger', 'sadness', 'Ang', 'angry', 'disgust']",true,:
A-rage-05,rage,A_standard,,132,131,llama8b_base,"['anger', 'disgust', 'contempt', 'sadness', 'rage']",true,:
A-rage-06,rage,A_standard,,229,228,llama8b_base,"['anger', 'fear', 'Ang', 'frustration', 'rage']",true,:
A-rage-07,rage,A_standard,,142,141,llama8b_base,"['anger', 'Ang', 'sadness', 'angry', 'rage']",true,:
A-rage-08,rage,A_standard,,257,256,llama8b_base,"['anger', 'AN', 'Ang', 'angry', 'I']",true,:
A-rage-09,rage,A_standard,,141,140,llama8b_base,"['anger', 'Ang', 'frustration', 'sadness', 'disappointment']",true,:
A-rage-10,rage,A_standard,,130,129,llama8b_base,"['anger', 'sadness', 'Ang', 'frustration', 'AN']",true,:
A-terror-01,terror,A_standard,,291,290,llama8b_base,"['fear', 'Fear', 'sadness', 'anger', '']",true,:
A-terror-02,terror,A_standard,,149,148,llama8b_base,"['fear', 'surprise', 'relief', 'Fear', 'confusion']",true,:
A-terror-03,terror,A_standard,,207,206,llama8b_base,"['fear', 'Fear', 'terror', 'anger', 'sadness']",true,:
A-terror-04,terror,A_standard,,167,166,llama8b_base,"['fear', 'relief', 'anxiety', 'Fear', 'surprise']",true,:
A-terror-05,terror,A_standard,,200,199,llama8b_base,"['anger', 'fear', 'sadness', 'anxiety', 'Ang']",true,:
A-terror-06,terror,A_standard,,152,151,llama8b_base,"['fear', 'anger', 'Fear', 'terror', 'anxiety']",true,:
A-terror-07,terror,A_standard,,182,181,llama8b_base,"['fear', 'anger', 'Fear', 'scared', 'fright']",true,:
A-terror-08,terror,A_standard,,252,251,llama8b_base,"['fear', 'Fear', 'anger', 'anxiety', 'disgust']",true,:
A-terror-09,terror,A_standard,,139,138,llama8b_base,"['fear', 'anxiety', 'Fear', 'panic', 'terror']",true,:
A-terror-10,terror,A_standard,,269,268,llama8b_base,"['fear', 'surprise', 'shock', 'Fear', 'fright']",true,:
A-vigilance-01,vigilance,A_standard,,135,134,llama8b_base,"['fear', 'anxiety', 'Fear', 'vigil', 'anxious']",true,:
A-vigilance-02,vigilance,A_standard,,139,138,llama8b_base,"['anxiety', 'fear', 'worry', 'anxious', 'dread']",true,:
A-vigilance-03,vigilance,A_standard,,147,146,llama8b_base,"['fear', 'anxiety', 'Fear', 'anxious', 'Anxiety']",true,:
A-vigilance-04,vigilance,A_standard,,142,141,llama8b_base,"['anxiety', 'fear', 'anticipation', 'excitement', 'nervous']",true,:
A-vigilance-05,vigilance,A_standard,,134,133,llama8b_base,"['anxiety', 'anticipation', 'excitement', 'nervous', 'fear']",true,:
