id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-admiration-01,admiration,A_standard,,157,156,llama8b_inst,"['surprise', 'relief', 'happiness', 'trust', 'love']",false,:
A-admiration-02,admiration,A_standard,,187,186,llama8b_inst,"['relief', 'trust', 'gratitude', 'surprise', 'Relief']",false,:
A-admiration-03,admiration,A_standard,,153,152,llama8b_inst,"['relief', 'trust', 'gratitude', 'hope', 'grateful']",false,:
A-admiration-04,admiration,A_standard,,193,192,llama8b_inst,"['gratitude', 'relief', 'trust', 'appreciation', 'grateful']",false,:
A-admiration-05,admiration,A_standard,,140,139,llama8b_inst,"['relief', 'gratitude', 'trust', 'Relief', 'grateful']",false,:
A-admiration-06,admiration,A_standard,,176,175,llama8b_inst,"['relief', 'trust', 'gratitude', 'Relief', 'appreciation']",false,:
A-admiration-07,admiration,A_standard,,131,130,llama8b_inst,"['relief', 'trust', 'gratitude', 'Relief', 'grateful']",false,:
A-admiration-08,admiration,A_standard,,155,154,llama8b_inst,"['trust', 'relief', 'gratitude', 'Trust', 'confidence']",false,:
A-admiration-09,admiration,A_standard,,171,170,llama8b_inst,"['shock', 'betrayal', 'anger', 'hurt', 'shame']",false,:
A-admiration-10,admiration,A_standard,,127,126,llama8b_inst,"['relief', 'gratitude', 'comfort', 'calm', 'trust']",false,:
A-amazement-01,amazement,A_standard,,156,155,llama8b_inst,"['gratitude', 'surprise', 'delight', 'happiness', 'appreciation']",true,:
A-amazement-02,amazement,A_standard,,122,121,llama8b_inst,"['surprise', 'happiness', 'delight', 'joy', 'relief']",true,:
A-amazement-03,amazement,A_standard,,131,130,llama8b_inst,"['surprise', 'joy', 'Surprise', 'SUR', 'both']",true,:
A-amazement-04,amazement,A_standard,,132,131,llama8b_inst,"['surprise', 'shock', 'confusion', 'disappointment', 'Surprise']",true,:
A-amazement-05,amazement,A_standard,,141,140,llama8b_inst,"['surprise', 'shock', 'embarrassment', 'disgust', 'amusement']",true,:
A-amazement-06,amazement,A_standard,,122,121,llama8b_inst,"['surprise', 'confusion', 'fear', 'anxiety', 'shock']",true,:
A-amazement-07,amazement,A_standard,,153,152,llama8b_inst,"['surprise', 'delight', 'confusion', 'happiness', 'shock']",true,:
A-amazement-08,amazement,A_standard,,203,202,llama8b_inst,"['happiness', 'surprise', 'excitement', 'joy', 'delight']",true,:
A-amazement-09,amazement,A_standard,,125,124,llama8b_inst,"['surprise', 'relief', 'shock', 'Surprise', 'mixed']",true,:
A-amazement-10,amazement,A_standard,,147,146,llama8b_inst,"['relief', 'surprise', 'disappointment', 'anxiety', 'embarrassment']",true,:
A-ecstasy-01,ecstasy,A_standard,,132,131,llama8b_inst,"['relief', 'joy', 'pride', 'happiness', 'gratitude']",true,:
A-ecstasy-02,ecstasy,A_standard,,147,146,llama8b_inst,"['relief', 'happiness', 'joy', 'el', 'excitement']",true,:
A-ecstasy-03,ecstasy,A_standard,,158,157,llama8b_inst,"['relief', 'gratitude', 'surprise', 'happiness', 'grateful']",true,:
A-ecstasy-04,ecstasy,A_standard,,164,163,llama8b_inst,"['joy', 'happiness', 'gratitude', 'nostalgia', 'a']",true,:
A-ecstasy-05,ecstasy,A_standard,,155,154,llama8b_inst,"['joy', 'happiness', 'a', 'Joy', 'multiple']",true,:
