source_id,target_id,source_emotion,target_emotion,patched_pred,success,layer,norm_depth,act_type,condition
A-rage-06,B-rage-d3-v4,rage,rage,fear,false,7,0.1905,a,crossset_same_emotion
A-grief-06,B-grief-d3-v4,grief,grief,sadness,true,7,0.1905,a,crossset_same_emotion
A-terror-06,B-terror-d3-v4,terror,terror,fear,true,7,0.1905,a,crossset_same_emotion
A-ecstasy-06,B-ecstasy-d3-v4,ecstasy,ecstasy,excitement,false,7,0.1905,a,crossset_same_emotion
A-loathing-06,B-loathing-d3-v4,loathing,loathing,anger,false,7,0.1905,a,crossset_same_emotion
A-amazement-06,B-amazement-d3-v4,amazement,amazement,surprise,true,7,0.1905,a,crossset_same_emotion
A-admiration-06,B-admiration-d3-v4,admiration,admiration,compassion,false,7,0.1905,a,crossset_same_emotion
A-vigilance-06,B-vigilance-d3-v4,vigilance,vigilance,fear,false,7,0.1905,a,crossset_same_emotion
A-rage-06,B-grief-d3-v3,rage,grief,sadness,false,7,0.1905,a,crossset_diff_emotion
A-rage-06,B-terror-d3-v3,rage,terror,fear,false,7,0.1905,a,crossset_diff_emotion
A-rage-06,B-ecstasy-d3-v3,rage,ecstasy,excitement,false,7,0.1905,a,crossset_diff_emotion
A-rage-06,B-loathing-d3-v3,rage,loathing,anger,true,7,0.1905,a,crossset_diff_emotion
A-rage-06,B-amazement-d3-v3,rage,amazement,relief,false,7,0.1905,a,crossset_diff_emotion
A-rage-06,B-admiration-d3-v3,rage,admiration,determination,false,7,0.1905,a,crossset_diff_emotion
A-rage-06,B-vigilance-d3-v3,rage,vigilance,fear,false,7,0.1905,a,crossset_diff_emotion
A-grief-06,B-rage-d3-v3,grief,rage,anger,false,7,0.1905,a,crossset_diff_emotion
A-grief-06,B-terror-d3-v3,grief,terror,fear,false,7,0.1905,a,crossset_diff_emotion
A-grief-06,B-ecstasy-d3-v3,grief,ecstasy,excitement,false,7,0.1905,a,crossset_diff_emotion
A-grief-06,B-loathing-d3-v3,grief,loathing,anger,false,7,0.1905,a,crossset_diff_emotion
A-grief-06,B-amazement-d3-v3,grief,amazement,relief,false,7,0.1905,a,crossset_diff_emotion
A-grief-06,B-admiration-d3-v3,grief,admiration,determination,false,7,0.1905,a,crossset_diff_emotion
A-grief-06,B-vigilance-d3-v3,grief,vigilance,fear,false,7,0.1905,a,crossset_diff_emotion
A-terror-06,B-rage-d3-v3,terror,rage,anger,false,7,0.1905,a,crossset_diff_emotion
A-terror-06,B-grief-d3-v3,terror,grief,sadness,false,7,0.1905,a,crossset_diff_emotion
A-terror-06,B-ecstasy-d3-v3,terror,ecstasy,excitement,false,7,0.1905,a,crossset_diff_emotion
A-rage-02,B-rage-d3-v1,rage,rage,anger,true,15,0.381,a,crossset_same_emotion
A-grief-02,B-grief-d3-v1,grief,grief,anger,false,15,0.381,a,crossset_same_emotion
A-terror-02,B-terror-d3-v1,terror,terror,fear,true,15,0.381,a,crossset_same_emotion
A-ecstasy-02,B-ecstasy-d3-v1,ecstasy,ecstasy,joy,true,15,0.381,a,crossset_same_emotion
A-loathing-02,B-loathing-d3-v1,loathing,loathing,anger,false,15,0.381,a,crossset_same_emotion
A-amazement-02,B-amazement-d3-v1,amazement,amazement,pride,false,15,0.381,a,crossset_same_emotion
A-admiration-02,B-admiration-d3-v1,admiration,admiration,pride,true,15,0.381,a,crossset_same_emotion
