id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str,matched_control_id
B-admiration-d1-v1,admiration,B_clinical,1,209,208,llama8b_base,"['awe', 'admiration', 'pride', 'envy', 'respect']",true,:,N-admiration-d1-c1
B-admiration-d1-v2,admiration,B_clinical,1,200,199,llama8b_base,"['pride', 'empathy', 'joy', 'relief', 'admiration']",true,:,N-admiration-d1-c2
B-admiration-d1-v3,admiration,B_clinical,1,222,221,llama8b_base,"['love', 'awe', 'admiration', 'pride', 'joy']",true,:,N-admiration-d1-c3
B-admiration-d1-v4,admiration,B_clinical,1,187,186,llama8b_base,"['awe', 'calm', 'admiration', 'pride', 'joy']",true,:,N-admiration-d1-c4
B-admiration-d2-v1,admiration,B_clinical,2,211,210,llama8b_base,"['guilt', 'empathy', 'compassion', 'shame', 'pride']",false,:,N-admiration-d2-c1
B-admiration-d2-v2,admiration,B_clinical,2,203,202,llama8b_base,"['sadness', 'compassion', 'love', 'empathy', 'grief']",false,:,N-admiration-d2-c2
B-admiration-d2-v3,admiration,B_clinical,2,222,221,llama8b_base,"['guilt', 'regret', 'shame', 'sadness', 'anger']",false,:,N-admiration-d2-c3
B-admiration-d2-v4,admiration,B_clinical,2,212,211,llama8b_base,"['pride', 'loyalty', 'compassion', 'sadness', 'love']",false,:,N-admiration-d2-c4
B-admiration-d3-v1,admiration,B_clinical,3,219,218,llama8b_base,"['pride', 'joy', 'admiration', 'determination', 'awe']",true,:,N-admiration-d3-c1
B-admiration-d3-v2,admiration,B_clinical,3,207,206,llama8b_base,"['relief', 'hope', 'pride', 'joy', 'happiness']",false,:,N-admiration-d3-c2
B-admiration-d3-v3,admiration,B_clinical,3,217,216,llama8b_base,"['determination', 'pride', 'hope', 'perseverance', 'joy']",false,:,N-admiration-d3-c3
B-admiration-d3-v4,admiration,B_clinical,3,234,233,llama8b_base,"['empathy', 'compassion', 'sadness', 'sympathy', 'hope']",false,:,N-admiration-d3-c4
B-amazement-d1-v1,amazement,B_clinical,1,181,180,llama8b_base,"['awe', 'fear', 'wonder', 'aston', 'am']",false,:,N-amazement-d1-c1
B-amazement-d1-v2,amazement,B_clinical,1,202,201,llama8b_base,"['awe', 'fear', 'wonder', 'surprise', 'am']",true,:,N-amazement-d1-c2
B-amazement-d1-v3,amazement,B_clinical,1,191,190,llama8b_base,"['awe', 'wonder', 'fear', 'am', 'aston']",false,:,N-amazement-d1-c3
B-amazement-d1-v4,amazement,B_clinical,1,197,196,llama8b_base,"['fear', 'terror', 'awe', 'horror', 'surprise']",true,:,N-amazement-d1-c4
B-amazement-d2-v1,amazement,B_clinical,2,202,201,llama8b_base,"['relief', 'fear', 'compassion', 'calm', 'empathy']",false,:,N-amazement-d2-c1
B-amazement-d2-v2,amazement,B_clinical,2,218,217,llama8b_base,"['awe', 'joy', 'surprise', 'admiration', 'am']",true,:,N-amazement-d2-c2
B-amazement-d2-v3,amazement,B_clinical,2,202,201,llama8b_base,"['compassion', 'gratitude', 'awe', 'love', 'surprise']",true,:,N-amazement-d2-c3
B-amazement-d2-v4,amazement,B_clinical,2,199,198,llama8b_base,"['relief', 'hope', 'surprise', 'joy', 'calm']",true,:,N-amazement-d2-c4
B-amazement-d3-v1,amazement,B_clinical,3,205,204,llama8b_base,"['surprise', 'joy', 'awe', 'pride', 'happiness']",true,:,N-amazement-d3-c1
B-amazement-d3-v2,amazement,B_clinical,3,217,216,llama8b_base,"['surprise', 'excitement', 'awe', 'aston', 'shock']",true,:,N-amazement-d3-c2
B-amazement-d3-v3,amazement,B_clinical,3,205,204,llama8b_base,"['surprise', 'relief', 'shock', 'hope', 'joy']",true,:,N-amazement-d3-c3
B-amazement-d3-v4,amazement,B_clinical,3,195,194,llama8b_base,"['surprise', 'awe', 'joy', 'excitement', 'shock']",true,:,N-amazement-d3-c4
B-ecstasy-d1-v1,ecstasy,B_clinical,1,195,194,llama8b_base,"['joy', 'happiness', 'surprise', 'excitement', 'shock']",true,:,N-ecstasy-d1-c1
B-ecstasy-d1-v2,ecstasy,B_clinical,1,187,186,llama8b_base,"['fear', 'sadness', 'shock', 'despair', 'anxiety']",false,:,N-ecstasy-d1-c2
B-ecstasy-d1-v3,ecstasy,B_clinical,1,200,199,llama8b_base,"['joy', 'excitement', 'happiness', 'pride', 'el']",true,:,N-ecstasy-d1-c3
B-ecstasy-d1-v4,ecstasy,B_clinical,1,177,176,llama8b_base,"['pride', 'joy', 'relief', 'happiness', 'surprise']",true,:,N-ecstasy-d1-c4
B-ecstasy-d2-v1,ecstasy,B_clinical,2,187,186,llama8b_base,"['joy', 'happiness', 'love', 'surprise', 'relief']",true,:,N-ecstasy-d2-c1
B-ecstasy-d2-v2,ecstasy,B_clinical,2,175,174,llama8b_base,"['joy', 'happiness', 'relief', 'excitement', 'hope']",true,:,N-ecstasy-d2-c2
B-ecstasy-d2-v3,ecstasy,B_clinical,2,186,185,llama8b_base,"['relief', 'joy', 'surprise', 'love', 'happiness']",true,:,N-ecstasy-d2-c3
B-ecstasy-d2-v4,ecstasy,B_clinical,2,173,172,llama8b_base,"['happiness', 'joy', 'surprise', 'love', 'friendship']",true,:,N-ecstasy-d2-c4
B-ecstasy-d3-v1,ecstasy,B_clinical,3,181,180,llama8b_base,"['joy', 'excitement', 'surprise', 'happiness', 'el']",true,:,N-ecstasy-d3-c1
B-ecstasy-d3-v2,ecstasy,B_clinical,3,177,176,llama8b_base,"['awe', 'wonder', 'joy', 'am', 'surprise']",true,:,N-ecstasy-d3-c2
B-ecstasy-d3-v3,ecstasy,B_clinical,3,190,189,llama8b_base,"['surprise', 'excitement', 'shock', 'awe', 'confusion']",false,:,N-ecstasy-d3-c3
B-ecstasy-d3-v4,ecstasy,B_clinical,3,201,200,llama8b_base,"['excitement', 'surprise', 'curiosity', 'anticipation', 'awe']",false,:,N-ecstasy-d3-c4
B-grief-d1-v1,grief,B_clinical,1,155,154,llama8b_base,"['sadness', 'grief', 'sorrow', 'despair', 'anger']",true,:,N-grief-d1-c1
B-grief-d1-v2,grief,B_clinical,1,142,141,llama8b_base,"['sadness', 'grief', 'sorrow', 'despair', 'depression']",true,:,N-grief-d1-c2
