id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
B-admiration-d1-v1,admiration,surprise,surprise,false,0,a,zero
B-admiration-d1-v2,admiration,joy,joy,false,0,a,zero
B-admiration-d1-v3,admiration,joy,joy,false,0,a,zero
B-admiration-d1-v4,admiration,joy,joy,false,0,a,zero
B-admiration-d2-v1,admiration,sadness,sadness,false,0,a,zero
B-admiration-d2-v2,admiration,sadness,sadness,false,0,a,zero
B-admiration-d2-v3,admiration,anger,anger,false,0,a,zero
B-admiration-d2-v4,admiration,sadness,sadness,false,0,a,zero
B-admiration-d3-v1,admiration,joy,joy,false,0,a,zero
B-admiration-d3-v2,admiration,joy,joy,false,0,a,zero
B-admiration-d3-v3,admiration,joy,joy,false,0,a,zero
B-admiration-d3-v4,admiration,joy,joy,false,0,a,zero
B-amazement-d1-v1,amazement,surprise,surprise,false,0,a,zero
B-amazement-d1-v2,amazement,fear,surprise,true,0,a,zero
B-amazement-d1-v3,amazement,joy,surprise,true,0,a,zero
B-amazement-d1-v4,amazement,fear,fear,false,0,a,zero
B-amazement-d2-v1,amazement,sadness,joy,true,0,a,zero
B-amazement-d2-v2,amazement,joy,joy,false,0,a,zero
B-amazement-d2-v3,amazement,sadness,sadness,false,0,a,zero
B-amazement-d2-v4,amazement,joy,joy,false,0,a,zero
B-amazement-d3-v1,amazement,joy,joy,false,0,a,zero
B-amazement-d3-v2,amazement,surprise,surprise,false,0,a,zero
B-amazement-d3-v3,amazement,surprise,surprise,false,0,a,zero
B-amazement-d3-v4,amazement,surprise,surprise,false,0,a,zero
B-ecstasy-d1-v1,ecstasy,sadness,sadness,false,0,a,zero
B-ecstasy-d1-v2,ecstasy,joy,surprise,true,0,a,zero
B-ecstasy-d1-v3,ecstasy,joy,surprise,true,0,a,zero
B-ecstasy-d1-v4,ecstasy,joy,joy,false,0,a,zero
B-ecstasy-d2-v1,ecstasy,joy,joy,false,0,a,zero
B-ecstasy-d2-v2,ecstasy,joy,joy,false,0,a,zero
B-ecstasy-d2-v3,ecstasy,sadness,sadness,false,0,a,zero
B-ecstasy-d2-v4,ecstasy,surprise,surprise,false,0,a,zero
B-ecstasy-d3-v1,ecstasy,joy,joy,false,0,a,zero
B-ecstasy-d3-v2,ecstasy,joy,joy,false,0,a,zero
B-ecstasy-d3-v3,ecstasy,confusion,confusion,false,0,a,zero
B-ecstasy-d3-v4,ecstasy,curiosity,curiosity,false,0,a,zero
B-grief-d1-v1,grief,sadness,sadness,false,0,a,zero
B-grief-d1-v2,grief,sadness,confusion,true,0,a,zero
B-grief-d1-v3,grief,sadness,sadness,false,0,a,zero
B-grief-d1-v4,grief,sadness,sadness,false,0,a,zero
B-grief-d2-v1,grief,joy,surprise,true,0,a,zero
B-grief-d2-v2,grief,sadness,surprise,true,0,a,zero
B-grief-d2-v3,grief,sadness,sadness,false,0,a,zero
B-grief-d2-v4,grief,sadness,sadness,false,0,a,zero
B-grief-d3-v1,grief,surprise,surprise,false,0,a,zero
B-grief-d3-v2,grief,sadness,sadness,false,0,a,zero
B-grief-d3-v3,grief,sadness,sadness,false,0,a,zero
B-grief-d3-v4,grief,sadness,sadness,false,0,a,zero
B-loathing-d1-v1,loathing,anger,surprise,true,0,a,zero
B-loathing-d1-v2,loathing,surprise,surprise,false,0,a,zero
B-loathing-d1-v3,loathing,anger,surprise,true,0,a,zero
B-loathing-d1-v4,loathing,sadness,joy,true,0,a,zero
B-loathing-d2-v1,loathing,fear,fear,false,0,a,zero
B-loathing-d2-v2,loathing,confusion,confusion,false,0,a,zero
B-loathing-d2-v3,loathing,fear,fear,false,0,a,zero
B-loathing-d2-v4,loathing,fear,fear,false,0,a,zero
B-loathing-d3-v1,loathing,joy,joy,false,0,a,zero
B-loathing-d3-v2,loathing,anger,anger,false,0,a,zero
B-loathing-d3-v3,loathing,anger,anger,false,0,a,zero
B-loathing-d3-v4,loathing,sadness,sadness,false,0,a,zero
B-rage-d1-v1,rage,sadness,anger,true,0,a,zero
B-rage-d1-v2,rage,joy,surprise,true,0,a,zero
B-rage-d1-v3,rage,anger,anger,false,0,a,zero
B-rage-d1-v4,rage,anger,anger,false,0,a,zero
B-rage-d2-v1,rage,sadness,sadness,false,0,a,zero
B-rage-d2-v2,rage,anger,anger,false,0,a,zero
