source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
B-rage-d1-v1,B-grief-d2-v1,rage,grief,grief,grief,false,7,0.1905,a,setb,within_set
B-rage-d1-v1,B-terror-d2-v1,rage,terror,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-rage-d1-v1,B-ecstasy-d2-v1,rage,ecstasy,anticipation,anticipation,false,7,0.1905,a,setb,within_set
B-rage-d1-v1,B-loathing-d2-v1,rage,loathing,disgust,disgust,false,7,0.1905,a,setb,within_set
B-rage-d1-v1,B-amazement-d2-v1,rage,amazement,relief,relief,false,7,0.1905,a,setb,within_set
B-rage-d1-v1,B-admiration-d2-v1,rage,admiration,"","",false,7,0.1905,a,setb,within_set
B-rage-d1-v1,B-vigilance-d2-v1,rage,vigilance,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-grief-d1-v1,B-rage-d2-v1,grief,rage,anger,anger,false,7,0.1905,a,setb,within_set
B-grief-d1-v1,B-terror-d2-v1,grief,terror,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-grief-d1-v1,B-ecstasy-d2-v1,grief,ecstasy,anticipation,anticipation,false,7,0.1905,a,setb,within_set
B-grief-d1-v1,B-loathing-d2-v1,grief,loathing,disgust,disgust,false,7,0.1905,a,setb,within_set
B-grief-d1-v1,B-amazement-d2-v1,grief,amazement,relief,relief,false,7,0.1905,a,setb,within_set
B-grief-d1-v1,B-admiration-d2-v1,grief,admiration,"","",false,7,0.1905,a,setb,within_set
B-grief-d1-v1,B-vigilance-d2-v1,grief,vigilance,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-terror-d1-v1,B-rage-d2-v1,terror,rage,anger,anger,false,7,0.1905,a,setb,within_set
B-terror-d1-v1,B-grief-d2-v1,terror,grief,grief,grief,false,7,0.1905,a,setb,within_set
B-terror-d1-v1,B-ecstasy-d2-v1,terror,ecstasy,anticipation,anticipation,false,7,0.1905,a,setb,within_set
B-terror-d1-v1,B-loathing-d2-v1,terror,loathing,disgust,disgust,false,7,0.1905,a,setb,within_set
B-terror-d1-v1,B-amazement-d2-v1,terror,amazement,relief,relief,false,7,0.1905,a,setb,within_set
B-terror-d1-v1,B-admiration-d2-v1,terror,admiration,"","",false,7,0.1905,a,setb,within_set
B-terror-d1-v1,B-vigilance-d2-v1,terror,vigilance,anxiety,anxiety,true,7,0.1905,a,setb,within_set
B-ecstasy-d1-v1,B-rage-d2-v1,ecstasy,rage,anger,anger,false,7,0.1905,a,setb,within_set
B-ecstasy-d1-v1,B-grief-d2-v1,ecstasy,grief,grief,grief,false,7,0.1905,a,setb,within_set
B-ecstasy-d1-v1,B-terror-d2-v1,ecstasy,terror,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-ecstasy-d1-v1,B-loathing-d2-v1,ecstasy,loathing,disgust,disgust,false,7,0.1905,a,setb,within_set
B-ecstasy-d1-v1,B-amazement-d2-v1,ecstasy,amazement,relief,relief,false,7,0.1905,a,setb,within_set
B-ecstasy-d1-v1,B-admiration-d2-v1,ecstasy,admiration,"","",false,7,0.1905,a,setb,within_set
B-ecstasy-d1-v1,B-vigilance-d2-v1,ecstasy,vigilance,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-loathing-d1-v1,B-rage-d2-v1,loathing,rage,anger,anger,false,7,0.1905,a,setb,within_set
B-loathing-d1-v1,B-grief-d2-v1,loathing,grief,grief,grief,false,7,0.1905,a,setb,within_set
B-loathing-d1-v1,B-terror-d2-v1,loathing,terror,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-loathing-d1-v1,B-ecstasy-d2-v1,loathing,ecstasy,anticipation,anticipation,false,7,0.1905,a,setb,within_set
B-loathing-d1-v1,B-amazement-d2-v1,loathing,amazement,relief,relief,false,7,0.1905,a,setb,within_set
B-loathing-d1-v1,B-admiration-d2-v1,loathing,admiration,"","",false,7,0.1905,a,setb,within_set
B-loathing-d1-v1,B-vigilance-d2-v1,loathing,vigilance,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-amazement-d1-v1,B-rage-d2-v1,amazement,rage,anger,anger,false,7,0.1905,a,setb,within_set
B-amazement-d1-v1,B-grief-d2-v1,amazement,grief,grief,grief,false,7,0.1905,a,setb,within_set
B-amazement-d1-v1,B-terror-d2-v1,amazement,terror,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-amazement-d1-v1,B-ecstasy-d2-v1,amazement,ecstasy,anticipation,anticipation,false,7,0.1905,a,setb,within_set
B-amazement-d1-v1,B-loathing-d2-v1,amazement,loathing,disgust,disgust,false,7,0.1905,a,setb,within_set
B-amazement-d1-v1,B-admiration-d2-v1,amazement,admiration,"","",false,7,0.1905,a,setb,within_set
B-amazement-d1-v1,B-vigilance-d2-v1,amazement,vigilance,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-admiration-d1-v1,B-rage-d2-v1,admiration,rage,anger,anger,false,7,0.1905,a,setb,within_set
B-admiration-d1-v1,B-grief-d2-v1,admiration,grief,grief,grief,false,7,0.1905,a,setb,within_set
B-admiration-d1-v1,B-terror-d2-v1,admiration,terror,anxiety,anxiety,false,7,0.1905,a,setb,within_set
B-admiration-d1-v1,B-ecstasy-d2-v1,admiration,ecstasy,anticipation,anticipation,false,7,0.1905,a,setb,within_set
B-admiration-d1-v1,B-loathing-d2-v1,admiration,loathing,disgust,disgust,false,7,0.1905,a,setb,within_set
