id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str
A-admiration-01,admiration,A_standard,,163,162,gemma9b_base,"['love', 'happiness', 'trust', 'joy', 'surprise']",false,:
A-admiration-02,admiration,A_standard,,191,190,gemma9b_base,"['trust', 'Trust', 'joy', 'relief', 'happiness']",false,:
A-admiration-03,admiration,A_standard,,157,156,gemma9b_base,"['trust', 'joy', 'Trust', 'happiness', 'relief']",false,:
A-admiration-04,admiration,A_standard,,202,201,gemma9b_base,"['trust', 'Trust', 'joy', 'gratitude', 'compassion']",false,:
A-admiration-05,admiration,A_standard,,142,141,gemma9b_base,"['trust', 'joy', 'happiness', 'gratitude', 'Trust']",false,:
A-admiration-06,admiration,A_standard,,179,178,gemma9b_base,"['trust', 'relief', 'Trust', 'happiness', 'joy']",false,:
A-admiration-07,admiration,A_standard,,134,133,gemma9b_base,"['trust', 'relief', 'Trust', 'joy', 'happiness']",false,:
A-admiration-08,admiration,A_standard,,158,157,gemma9b_base,"['trust', 'Trust', 'joy', 'confidence', 'happiness']",false,:
A-admiration-09,admiration,A_standard,,174,173,gemma9b_base,"['anger', 'betrayal', 'hurt', 'sadness', 'shock']",false,:
A-admiration-10,admiration,A_standard,,131,130,gemma9b_base,"['trust', 'love', 'comfort', 'security', 'confidence']",false,:
A-amazement-01,amazement,A_standard,,162,161,gemma9b_base,"['surprise', 'joy', 'happiness', 'surprised', 'Surprise']",true,:
A-amazement-02,amazement,A_standard,,127,126,gemma9b_base,"['surprise', 'joy', 'happiness', 'Surprise', 'Joy']",true,:
A-amazement-03,amazement,A_standard,,133,132,gemma9b_base,"['surprise', 'joy', 'Surprise', 'happiness', 'Joy']",true,:
A-amazement-04,amazement,A_standard,,139,138,gemma9b_base,"['surprise', 'shock', 'Surprise', 'sadness', 'surprised']",true,:
A-amazement-05,amazement,A_standard,,146,145,gemma9b_base,"['surprise', 'fear', 'disgust', 'shock', 'anger']",true,:
A-amazement-06,amazement,A_standard,,125,124,gemma9b_base,"['fear', 'confusion', 'surprise', 'shock', 'Fear']",true,:
A-amazement-07,amazement,A_standard,,158,157,gemma9b_base,"['surprise', 'happiness', 'joy', 'excitement', 'surprised']",true,:
