id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str,matched_control_id
B-admiration-d1-v1,admiration,B_clinical,1,211,210,gemma9b_base,"['admiration', 'awe', 'frustration', 'envy', 'pride']",true,:,N-admiration-d1-c1
B-admiration-d1-v2,admiration,B_clinical,1,206,205,gemma9b_base,"['pride', 'joy', 'respect', 'admiration', 'happiness']",true,:,N-admiration-d1-c2
B-admiration-d1-v3,admiration,B_clinical,1,229,228,gemma9b_base,"['respect', 'admiration', 'pride', 'love', 'joy']",true,:,N-admiration-d1-c3
B-admiration-d1-v4,admiration,B_clinical,1,192,191,gemma9b_base,"['admiration', 'awe', 'pride', 'respect', 'amazement']",true,:,N-admiration-d1-c4
B-admiration-d2-v1,admiration,B_clinical,2,213,212,gemma9b_base,"['anger', 'guilt', 'pride', 'compassion', 'sadness']",false,:,N-admiration-d2-c1
B-admiration-d2-v2,admiration,B_clinical,2,209,208,gemma9b_base,"['sadness', 'love', 'empathy', 'compassion', 'sorrow']",false,:,N-admiration-d2-c2
B-admiration-d2-v3,admiration,B_clinical,2,230,229,gemma9b_base,"['guilt', 'fear', 'regret', 'shame', 'remorse']",false,:,N-admiration-d2-c3
B-admiration-d2-v4,admiration,B_clinical,2,216,215,gemma9b_base,"['pride', 'happiness', 'joy', 'contentment', 'satisfaction']",false,:,N-admiration-d2-c4
B-admiration-d3-v1,admiration,B_clinical,3,224,223,gemma9b_base,"['pride', 'determination', 'satisfaction', 'joy', 'happiness']",false,:,N-admiration-d3-c1
B-admiration-d3-v2,admiration,B_clinical,3,211,210,gemma9b_base,"['determination', 'perseverance', 'hope', 'persistence', 'joy']",false,:,N-admiration-d3-c2
B-admiration-d3-v3,admiration,B_clinical,3,221,220,gemma9b_base,"['determination', 'perseverance', 'pride', 'hope', 'joy']",false,:,N-admiration-d3-c3
B-admiration-d3-v4,admiration,B_clinical,3,238,237,gemma9b_base,"['compassion', 'sadness', 'empathy', 'admiration', 'hope']",true,:,N-admiration-d3-c4
B-amazement-d1-v1,amazement,B_clinical,1,184,183,gemma9b_base,"['fear', 'awe', 'wonder', 'amazement', 'curiosity']",false,:,N-amazement-d1-c1
B-amazement-d1-v2,amazement,B_clinical,1,206,205,gemma9b_base,"['fear', 'awe', 'wonder', 'terror', 'Fear']",false,:,N-amazement-d1-c2
B-amazement-d1-v3,amazement,B_clinical,1,195,194,gemma9b_base,"['awe', 'fear', 'wonder', 'amazement', 'Fear']",false,:,N-amazement-d1-c3
B-amazement-d1-v4,amazement,B_clinical,1,199,198,gemma9b_base,"['fear', 'Fear', 'terror', 'anxiety', 'horror']",false,:,N-amazement-d1-c4
B-amazement-d2-v1,amazement,B_clinical,2,207,206,gemma9b_base,"['fear', 'relief', 'pride', 'bravery', 'heroism']",false,:,N-amazement-d2-c1
B-amazement-d2-v2,amazement,B_clinical,2,220,219,gemma9b_base,"['awe', 'admiration', 'pride', 'amazement', 'inspiration']",false,:,N-amazement-d2-c2
B-amazement-d2-v3,amazement,B_clinical,2,208,207,gemma9b_base,"['relief', 'fear', 'pride', 'joy', 'admiration']",false,:,N-amazement-d2-c3
B-amazement-d2-v4,amazement,B_clinical,2,203,202,gemma9b_base,"['relief', 'fear', 'hope', 'joy', 'happiness']",false,:,N-amazement-d2-c4
B-amazement-d3-v1,amazement,B_clinical,3,210,209,gemma9b_base,"['pride', 'joy', 'happiness', 'awe', 'surprise']",true,:,N-amazement-d3-c1
B-amazement-d3-v2,amazement,B_clinical,3,223,222,gemma9b_base,"['awe', 'excitement', 'surprise', 'wonder', 'amazement']",true,:,N-amazement-d3-c2
B-amazement-d3-v3,amazement,B_clinical,3,209,208,gemma9b_base,"['relief', 'joy', 'hope', 'fear', 'surprise']",true,:,N-amazement-d3-c3
B-amazement-d3-v4,amazement,B_clinical,3,200,199,gemma9b_base,"['surprise', 'awe', 'pride', 'joy', 'fear']",true,:,N-amazement-d3-c4
B-ecstasy-d1-v1,ecstasy,B_clinical,1,202,201,gemma9b_base,"['joy', 'happiness', 'excitement', 'relief', 'el']",true,:,N-ecstasy-d1-c1
B-ecstasy-d1-v2,ecstasy,B_clinical,1,192,191,gemma9b_base,"['fear', 'sadness', 'joy', 'happiness', 'anxiety']",true,:,N-ecstasy-d1-c2
B-ecstasy-d1-v3,ecstasy,B_clinical,1,206,205,gemma9b_base,"['pride', 'joy', 'happiness', 'excitement', 'relief']",true,:,N-ecstasy-d1-c3
B-ecstasy-d1-v4,ecstasy,B_clinical,1,182,181,gemma9b_base,"['pride', 'joy', 'happiness', 'satisfaction', 'relief']",true,:,N-ecstasy-d1-c4
B-ecstasy-d2-v1,ecstasy,B_clinical,2,193,192,gemma9b_base,"['happiness', 'joy', 'fear', 'excitement', 'love']",true,:,N-ecstasy-d2-c1
