source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
B-rage-d3-v1,B-grief-d1-v2,rage,grief,sadness,sadness,false,2,0.1875,m,setb,within_set
B-rage-d3-v1,B-terror-d1-v2,rage,terror,confusion,confusion,false,2,0.1875,m,setb,within_set
B-rage-d3-v1,B-ecstasy-d1-v2,rage,ecstasy,joy,joy,false,2,0.1875,m,setb,within_set
B-rage-d3-v1,B-loathing-d1-v2,rage,loathing,surprise,surprise,false,2,0.1875,m,setb,within_set
B-rage-d3-v1,B-amazement-d1-v2,rage,amazement,fear,fear,false,2,0.1875,m,setb,within_set
B-rage-d3-v1,B-admiration-d1-v2,rage,admiration,joy,joy,false,2,0.1875,m,setb,within_set
B-rage-d3-v1,B-vigilance-d1-v2,rage,vigilance,fear,fear,false,2,0.1875,m,setb,within_set
B-grief-d3-v1,B-rage-d1-v2,grief,rage,joy,joy,false,2,0.1875,m,setb,within_set
B-grief-d3-v1,B-terror-d1-v2,grief,terror,confusion,confusion,false,2,0.1875,m,setb,within_set
B-grief-d3-v1,B-ecstasy-d1-v2,grief,ecstasy,joy,joy,false,2,0.1875,m,setb,within_set
B-grief-d3-v1,B-loathing-d1-v2,grief,loathing,surprise,surprise,false,2,0.1875,m,setb,within_set
B-grief-d3-v1,B-amazement-d1-v2,grief,amazement,fear,fear,false,2,0.1875,m,setb,within_set
B-grief-d3-v1,B-admiration-d1-v2,grief,admiration,joy,joy,false,2,0.1875,m,setb,within_set
B-grief-d3-v1,B-vigilance-d1-v2,grief,vigilance,fear,fear,false,2,0.1875,m,setb,within_set
B-terror-d3-v1,B-rage-d1-v2,terror,rage,joy,joy,false,2,0.1875,m,setb,within_set
B-terror-d3-v1,B-grief-d1-v2,terror,grief,sadness,sadness,false,2,0.1875,m,setb,within_set
B-terror-d3-v1,B-ecstasy-d1-v2,terror,ecstasy,joy,joy,false,2,0.1875,m,setb,within_set
B-terror-d3-v1,B-loathing-d1-v2,terror,loathing,surprise,surprise,false,2,0.1875,m,setb,within_set
B-terror-d3-v1,B-amazement-d1-v2,terror,amazement,fear,fear,true,2,0.1875,m,setb,within_set
B-terror-d3-v1,B-admiration-d1-v2,terror,admiration,joy,joy,false,2,0.1875,m,setb,within_set
B-terror-d3-v1,B-vigilance-d1-v2,terror,vigilance,fear,fear,true,2,0.1875,m,setb,within_set
B-ecstasy-d3-v1,B-rage-d1-v2,ecstasy,rage,joy,joy,true,2,0.1875,m,setb,within_set
B-ecstasy-d3-v1,B-grief-d1-v2,ecstasy,grief,sadness,sadness,false,2,0.1875,m,setb,within_set
B-ecstasy-d3-v1,B-terror-d1-v2,ecstasy,terror,confusion,confusion,false,2,0.1875,m,setb,within_set
B-ecstasy-d3-v1,B-loathing-d1-v2,ecstasy,loathing,surprise,surprise,false,2,0.1875,m,setb,within_set
B-ecstasy-d3-v1,B-amazement-d1-v2,ecstasy,amazement,fear,fear,false,2,0.1875,m,setb,within_set
B-ecstasy-d3-v1,B-admiration-d1-v2,ecstasy,admiration,joy,joy,true,2,0.1875,m,setb,within_set
B-ecstasy-d3-v1,B-vigilance-d1-v2,ecstasy,vigilance,fear,fear,false,2,0.1875,m,setb,within_set
B-loathing-d3-v1,B-rage-d1-v2,loathing,rage,joy,joy,false,2,0.1875,m,setb,within_set
B-loathing-d3-v1,B-grief-d1-v2,loathing,grief,sadness,sadness,false,2,0.1875,m,setb,within_set
B-loathing-d3-v1,B-terror-d1-v2,loathing,terror,confusion,confusion,false,2,0.1875,m,setb,within_set
B-loathing-d3-v1,B-ecstasy-d1-v2,loathing,ecstasy,joy,joy,false,2,0.1875,m,setb,within_set
B-loathing-d3-v1,B-amazement-d1-v2,loathing,amazement,fear,fear,false,2,0.1875,m,setb,within_set
B-loathing-d3-v1,B-admiration-d1-v2,loathing,admiration,joy,joy,false,2,0.1875,m,setb,within_set
B-loathing-d3-v1,B-vigilance-d1-v2,loathing,vigilance,fear,fear,false,2,0.1875,m,setb,within_set
B-amazement-d3-v1,B-rage-d1-v2,amazement,rage,joy,joy,false,2,0.1875,m,setb,within_set
B-amazement-d3-v1,B-grief-d1-v2,amazement,grief,sadness,sadness,false,2,0.1875,m,setb,within_set
B-amazement-d3-v1,B-terror-d1-v2,amazement,terror,confusion,confusion,false,2,0.1875,m,setb,within_set
B-amazement-d3-v1,B-ecstasy-d1-v2,amazement,ecstasy,joy,joy,false,2,0.1875,m,setb,within_set
B-amazement-d3-v1,B-loathing-d1-v2,amazement,loathing,surprise,surprise,true,2,0.1875,m,setb,within_set
B-amazement-d3-v1,B-admiration-d1-v2,amazement,admiration,joy,joy,false,2,0.1875,m,setb,within_set
B-amazement-d3-v1,B-vigilance-d1-v2,amazement,vigilance,fear,fear,false,2,0.1875,m,setb,within_set
B-admiration-d3-v1,B-rage-d1-v2,admiration,rage,joy,joy,false,2,0.1875,m,setb,within_set
B-admiration-d3-v1,B-grief-d1-v2,admiration,grief,sadness,sadness,false,2,0.1875,m,setb,within_set
B-admiration-d3-v1,B-terror-d1-v2,admiration,terror,confusion,confusion,false,2,0.1875,m,setb,within_set
B-admiration-d3-v1,B-ecstasy-d1-v2,admiration,ecstasy,joy,joy,false,2,0.1875,m,setb,within_set
B-admiration-d3-v1,B-loathing-d1-v2,admiration,loathing,surprise,surprise,false,2,0.1875,m,setb,within_set
B-admiration-d3-v1,B-amazement-d1-v2,admiration,amazement,fear,fear,false,2,0.1875,m,setb,within_set
B-admiration-d3-v1,B-vigilance-d1-v2,admiration,vigilance,fear,fear,false,2,0.1875,m,setb,within_set
B-vigilance-d3-v1,B-rage-d1-v2,vigilance,rage,joy,joy,false,2,0.1875,m,setb,within_set
B-vigilance-d3-v1,B-grief-d1-v2,vigilance,grief,sadness,sadness,false,2,0.1875,m,setb,within_set
B-vigilance-d3-v1,B-terror-d1-v2,vigilance,terror,confusion,confusion,false,2,0.1875,m,setb,within_set
B-vigilance-d3-v1,B-ecstasy-d1-v2,vigilance,ecstasy,joy,sadness,false,2,0.1875,m,setb,within_set
B-vigilance-d3-v1,B-loathing-d1-v2,vigilance,loathing,surprise,surprise,false,2,0.1875,m,setb,within_set
B-vigilance-d3-v1,B-amazement-d1-v2,vigilance,amazement,fear,fear,false,2,0.1875,m,setb,within_set
B-vigilance-d3-v1,B-admiration-d1-v2,vigilance,admiration,joy,joy,false,2,0.1875,m,setb,within_set
B-rage-d1-v2,B-grief-d3-v1,rage,grief,surprise,sadness,false,5,0.375,m,setb,within_set
B-rage-d1-v2,B-terror-d3-v1,rage,terror,fear,fear,false,5,0.375,m,setb,within_set
B-rage-d1-v2,B-ecstasy-d3-v1,rage,ecstasy,joy,joy,false,5,0.375,m,setb,within_set
B-rage-d1-v2,B-loathing-d3-v1,rage,loathing,joy,joy,false,5,0.375,m,setb,within_set
B-rage-d1-v2,B-amazement-d3-v1,rage,amazement,joy,joy,false,5,0.375,m,setb,within_set
B-rage-d1-v2,B-admiration-d3-v1,rage,admiration,joy,joy,false,5,0.375,m,setb,within_set
B-rage-d1-v2,B-vigilance-d3-v1,rage,vigilance,joy,joy,false,5,0.375,m,setb,within_set
B-grief-d1-v2,B-rage-d3-v1,grief,rage,sadness,sadness,true,5,0.375,m,setb,within_set
B-grief-d1-v2,B-terror-d3-v1,grief,terror,fear,fear,false,5,0.375,m,setb,within_set
