id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str,matched_control_id
B-admiration-d1-v1,admiration,B_clinical,1,211,210,gemma9b_inst,"['awe', 'admiration', 'frustration', '', '**']",true,:,N-admiration-d1-c1
B-admiration-d1-v2,admiration,B_clinical,1,206,205,gemma9b_inst,"['pride', '', '**', 'gratitude', 'A']",false,:,N-admiration-d1-c2
B-admiration-d1-v3,admiration,B_clinical,1,229,228,gemma9b_inst,"['admiration', 'respect', '', 'Respect', '**']",true,:,N-admiration-d1-c3
B-admiration-d1-v4,admiration,B_clinical,1,192,191,gemma9b_inst,"['awe', 'admiration', '', '**', 'respect']",true,:,N-admiration-d1-c4
B-admiration-d2-v1,admiration,B_clinical,2,213,212,gemma9b_inst,"['moral', '', '**', '', 'a']",false,:,N-admiration-d2-c1
B-admiration-d2-v2,admiration,B_clinical,2,209,208,gemma9b_inst,"['sadness', '', 'likely', 'sorrow', 'bittersweet']",false,:,N-admiration-d2-c2
B-admiration-d2-v3,admiration,B_clinical,2,230,229,gemma9b_inst,"['', 'guilt', '**', 'moral', 'conflict']",false,:,N-admiration-d2-c3
B-admiration-d2-v4,admiration,B_clinical,2,216,215,gemma9b_inst,"['contentment', '', 'Content', 'fulfillment', 'content']",false,:,N-admiration-d2-c4
B-admiration-d3-v1,admiration,B_clinical,3,224,223,gemma9b_inst,"['pride', '', '**', 'Pride', 'determination']",false,:,N-admiration-d3-c1
B-admiration-d3-v2,admiration,B_clinical,3,211,210,gemma9b_inst,"['perseverance', 'relief', 'Perseverance', 'Relief', '']",false,:,N-admiration-d3-c2
B-admiration-d3-v3,admiration,B_clinical,3,221,220,gemma9b_inst,"['determination', 'perseverance', 'resilience', 'Determination', 'pride']",false,:,N-admiration-d3-c3
B-admiration-d3-v4,admiration,B_clinical,3,238,237,gemma9b_inst,"['', 'admiration', 'empathy', '**', 'A']",true,:,N-admiration-d3-c4
B-amazement-d1-v1,amazement,B_clinical,1,184,183,gemma9b_inst,"['awe', 'A', 'wonder', '', '**']",false,:,N-amazement-d1-c1
B-amazement-d1-v2,amazement,B_clinical,1,206,205,gemma9b_inst,"['awe', 'A', '', '**', 'wonder']",false,:,N-amazement-d1-c2
B-amazement-d1-v3,amazement,B_clinical,1,195,194,gemma9b_inst,"['awe', '', 'A', 'wonder', '**']",false,:,N-amazement-d1-c3
B-amazement-d1-v4,amazement,B_clinical,1,199,198,gemma9b_inst,"['fear', 'Fear', 'dread', '**', '']",false,:,N-amazement-d1-c4
B-amazement-d2-v1,amazement,B_clinical,2,207,206,gemma9b_inst,"['relief', 'fear', 'Relief', '', 'awe']",false,:,N-amazement-d2-c1
