id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,top5_predictions,correct,final_token_str,matched_control_id
B-admiration-d1-v1,admiration,B_clinical,1,209,208,llama1b_inst,"['pride', 'curiosity', 'satisfaction', 'appreciation', 'admiration']",true,:,N-admiration-d1-c1
B-admiration-d1-v2,admiration,B_clinical,1,200,199,llama1b_inst,"['empathy', 'understanding', 'compassion', 'recognition', 'respect']",true,:,N-admiration-d1-c2
B-admiration-d1-v3,admiration,B_clinical,1,222,221,llama1b_inst,"['nostalgia', 'pride', 'empathy', 'love', 'admiration']",true,:,N-admiration-d1-c3
B-admiration-d1-v4,admiration,B_clinical,1,187,186,llama1b_inst,"['calm', 'respect', 'awe', 'satisfaction', 'fascination']",true,:,N-admiration-d1-c4
B-admiration-d2-v1,admiration,B_clinical,2,211,210,llama1b_inst,"['guilt', 'regret', 'empathy', 'sympathy', 'anger']",false,:,N-admiration-d2-c1
B-admiration-d2-v2,admiration,B_clinical,2,203,202,llama1b_inst,"['sadness', 'nostalgia', 'empathy', 'grief', 'love']",true,:,N-admiration-d2-c2
B-admiration-d2-v3,admiration,B_clinical,2,222,221,llama1b_inst,"['guilt', 'anger', 'satisfaction', 'disappointment', 'regret']",false,:,N-admiration-d2-c3
B-admiration-d2-v4,admiration,B_clinical,2,212,211,llama1b_inst,"['regret', 'disappointment', 'frustration', 'sadness', 'indifference']",false,:,N-admiration-d2-c4
B-admiration-d3-v1,admiration,B_clinical,3,219,218,llama1b_inst,"['pride', 'gratitude', 'satisfaction', 'joy', 'relief']",true,:,N-admiration-d3-c1
B-admiration-d3-v2,admiration,B_clinical,3,207,206,llama1b_inst,"['disappointment', 'sadness', 'regret', 'hope', 'happiness']",false,:,N-admiration-d3-c2
B-admiration-d3-v3,admiration,B_clinical,3,217,216,llama1b_inst,"['disappointment', 'frustration', 'pride', 'determination', 'relief']",true,:,N-admiration-d3-c3
B-admiration-d3-v4,admiration,B_clinical,3,234,233,llama1b_inst,"['curiosity', 'empathy', 'concern', 'sadness', 'compassion']",false,:,N-admiration-d3-c4
B-amazement-d1-v1,amazement,B_clinical,1,181,180,llama1b_inst,"['awe', 'wonder', 'fear', 'confusion', 'surprise']",true,:,N-amazement-d1-c1
B-amazement-d1-v2,amazement,B_clinical,1,202,201,llama1b_inst,"['surprise', 'awe', 'fear', 'wonder', 'sadness']",true,:,N-amazement-d1-c2
B-amazement-d1-v3,amazement,B_clinical,1,191,190,llama1b_inst,"['wonder', 'awe', 'curiosity', 'confusion', 'surprise']",true,:,N-amazement-d1-c3
B-amazement-d1-v4,amazement,B_clinical,1,197,196,llama1b_inst,"['relief', 'calm', 'awe', 'surprise', 'fear']",true,:,N-amazement-d1-c4
B-amazement-d2-v1,amazement,B_clinical,2,202,201,llama1b_inst,"['relief', 'fear', 'empathy', 'sadness', 'concern']",false,:,N-amazement-d2-c1
B-amazement-d2-v2,amazement,B_clinical,2,218,217,llama1b_inst,"['awe', 'appreciation', 'wonder', 'nostalgia', 'admiration']",true,:,N-amazement-d2-c2
B-amazement-d2-v3,amazement,B_clinical,2,202,201,llama1b_inst,"['relief', 'grief', 'fear', 'sadness', 'shock']",true,:,N-amazement-d2-c3
B-amazement-d2-v4,amazement,B_clinical,2,199,198,llama1b_inst,"['relief', 'sadness', 'joy', 'guilt', 'love']",false,:,N-amazement-d2-c4
B-amazement-d3-v1,amazement,B_clinical,3,205,204,llama1b_inst,"['understanding', 'curiosity', 'satisfaction', 'frustration', 'nostalgia']",false,:,N-amazement-d3-c1
B-amazement-d3-v2,amazement,B_clinical,3,217,216,llama1b_inst,"['curiosity', 'surprise', 'excitement', 'confusion', 'wonder']",true,:,N-amazement-d3-c2
B-amazement-d3-v3,amazement,B_clinical,3,205,204,llama1b_inst,"['confusion', 'surprise', 'frustration', 'disappointment', 'regret']",true,:,N-amazement-d3-c3
B-amazement-d3-v4,amazement,B_clinical,3,195,194,llama1b_inst,"['polit', 'polite', 'curiosity', 'respect', 'gratitude']",false,:,N-amazement-d3-c4
B-ecstasy-d1-v1,ecstasy,B_clinical,1,195,194,llama1b_inst,"['grief', 'sadness', 'shock', 'confusion', 'sorrow']",false,:,N-ecstasy-d1-c1
B-ecstasy-d1-v2,ecstasy,B_clinical,1,187,186,llama1b_inst,"['sadness', 'grief', 'confusion', 'curiosity', 'regret']",false,:,N-ecstasy-d1-c2
B-ecstasy-d1-v3,ecstasy,B_clinical,1,200,199,llama1b_inst,"['frustration', 'relief', 'sadness', 'confusion', 'fear']",false,:,N-ecstasy-d1-c3
B-ecstasy-d1-v4,ecstasy,B_clinical,1,177,176,llama1b_inst,"['pride', 'regret', 'relief', 'sadness', 'gratitude']",false,:,N-ecstasy-d1-c4
B-ecstasy-d2-v1,ecstasy,B_clinical,2,187,186,llama1b_inst,"['nostalgia', 'sadness', 'joy', 'love', 'grief']",true,:,N-ecstasy-d2-c1
B-ecstasy-d2-v2,ecstasy,B_clinical,2,175,174,llama1b_inst,"['anxiety', 'relief', 'sadness', 'fear', 'concern']",false,:,N-ecstasy-d2-c2
B-ecstasy-d2-v3,ecstasy,B_clinical,2,186,185,llama1b_inst,"['nostalgia', 'sadness', 'regret', 'melanch', 'grief']",false,:,N-ecstasy-d2-c3
B-ecstasy-d2-v4,ecstasy,B_clinical,2,173,172,llama1b_inst,"['curiosity', 'surprise', 'loneliness', 'happiness', 'empathy']",true,:,N-ecstasy-d2-c4
B-ecstasy-d3-v1,ecstasy,B_clinical,3,181,180,llama1b_inst,"['surprise', 'joy', 'amusement', 'excitement', 'am']",true,:,N-ecstasy-d3-c1
B-ecstasy-d3-v2,ecstasy,B_clinical,3,177,176,llama1b_inst,"['wonder', 'awe', 'excitement', 'curiosity', 'fear']",false,:,N-ecstasy-d3-c2
B-ecstasy-d3-v3,ecstasy,B_clinical,3,190,189,llama1b_inst,"['confusion', 'curiosity', 'surprise', 'uncertainty', 'skepticism']",false,:,N-ecstasy-d3-c3
B-ecstasy-d3-v4,ecstasy,B_clinical,3,201,200,llama1b_inst,"['curiosity', 'surprise', 'excitement', 'nostalgia', 'sadness']",false,:,N-ecstasy-d3-c4
B-grief-d1-v1,grief,B_clinical,1,155,154,llama1b_inst,"['nostalgia', 'grief', 'sadness', 'melanch', 'sorrow']",true,:,N-grief-d1-c1
B-grief-d1-v2,grief,B_clinical,1,142,141,llama1b_inst,"['indifference', 'boredom', 'confusion', 'regret', 'ap']",false,:,N-grief-d1-c2
B-grief-d1-v3,grief,B_clinical,1,159,158,llama1b_inst,"['sadness', 'grief', 'melanch', 'loneliness', 'nostalgia']",true,:,N-grief-d1-c3
B-grief-d1-v4,grief,B_clinical,1,162,161,llama1b_inst,"['grief', 'sadness', 'relief', 'regret', 'anxiety']",true,:,N-grief-d1-c4
B-grief-d2-v1,grief,B_clinical,2,166,165,llama1b_inst,"['sadness', 'grief', 'nostalgia', 'melanch', 'sorrow']",true,:,N-grief-d2-c1
B-grief-d2-v2,grief,B_clinical,2,170,169,llama1b_inst,"['nostalgia', 'relief', 'curiosity', 'anxiety', 'sadness']",true,:,N-grief-d2-c2
B-grief-d2-v3,grief,B_clinical,2,159,158,llama1b_inst,"['nostalgia', 'sadness', 'melanch', 'none', 'relief']",true,:,N-grief-d2-c3
B-grief-d2-v4,grief,B_clinical,2,170,169,llama1b_inst,"['nostalgia', 'sadness', 'regret', 'relief', 'disappointment']",true,:,N-grief-d2-c4
B-grief-d3-v1,grief,B_clinical,3,165,164,llama1b_inst,"['sadness', 'nostalgia', 'surprise', 'calm', 'grief']",true,:,N-grief-d3-c1
B-grief-d3-v2,grief,B_clinical,3,159,158,llama1b_inst,"['sadness', 'guilt', 'regret', 'grief', 'sorrow']",true,:,N-grief-d3-c2
B-grief-d3-v3,grief,B_clinical,3,161,160,llama1b_inst,"['nostalgia', 'sadness', 'regret', 'empathy', 'melanch']",true,:,N-grief-d3-c3
B-grief-d3-v4,grief,B_clinical,3,161,160,llama1b_inst,"['sadness', 'nostalgia', 'grief', 'melanch', 'sorrow']",true,:,N-grief-d3-c4
B-loathing-d1-v1,loathing,B_clinical,1,167,166,llama1b_inst,"['satisfaction', 'gratitude', 'none', 'greed', 'guilt']",false,:,N-loathing-d1-c1
B-loathing-d1-v2,loathing,B_clinical,1,179,178,llama1b_inst,"['relief', 'satisfaction', 'surprise', 'curiosity', 'concern']",false,:,N-loathing-d1-c2
B-loathing-d1-v3,loathing,B_clinical,1,183,182,llama1b_inst,"['surprise', 'satisfaction', 'anger', 'confusion', 'none']",false,:,N-loathing-d1-c3
B-loathing-d1-v4,loathing,B_clinical,1,181,180,llama1b_inst,"['pride', 'respect', 'admiration', 'satisfaction', 'gratitude']",false,:,N-loathing-d1-c4
B-loathing-d2-v1,loathing,B_clinical,2,172,171,llama1b_inst,"['fear', 'anxiety', 'une', 'surprise', 'disgust']",true,:,N-loathing-d2-c1
B-loathing-d2-v2,loathing,B_clinical,2,197,196,llama1b_inst,"['confusion', 'curiosity', 'disgust', 'guilt', 'surprise']",true,:,N-loathing-d2-c2
B-loathing-d2-v3,loathing,B_clinical,2,215,214,llama1b_inst,"['concern', 'anxiety', 'fear', 'guilt', 'worry']",false,:,N-loathing-d2-c3
B-loathing-d2-v4,loathing,B_clinical,2,194,193,llama1b_inst,"['guilt', 'fear', 'disgust', 'anxiety', 'sadness']",true,:,N-loathing-d2-c4
B-loathing-d3-v1,loathing,B_clinical,3,173,172,llama1b_inst,"['anger', 'guilt', 'shock', 'confusion', 'sadness']",false,:,N-loathing-d3-c1
B-loathing-d3-v2,loathing,B_clinical,3,167,166,llama1b_inst,"['anger', 'satisfaction', 'frustration', 'disappointment', 'relief']",false,:,N-loathing-d3-c2
B-loathing-d3-v3,loathing,B_clinical,3,181,180,llama1b_inst,"['anger', 'satisfaction', 'none', 'frustration', 'disappointment']",false,:,N-loathing-d3-c3
B-loathing-d3-v4,loathing,B_clinical,3,188,187,llama1b_inst,"['anger', 'none', 'justice', 'guilt', 'satisfaction']",false,:,N-loathing-d3-c4
B-rage-d1-v1,rage,B_clinical,1,148,147,llama1b_inst,"['anger', 'guilt', 'regret', 'sadness', 'grief']",true,:,N-rage-d1-c1
B-rage-d1-v2,rage,B_clinical,1,165,164,llama1b_inst,"['satisfaction', 'pride', 'surprise', 'curiosity', 'excitement']",false,:,N-rage-d1-c2
B-rage-d1-v3,rage,B_clinical,1,165,164,llama1b_inst,"['anger', 'worry', 'guilt', 'frustration', 'relief']",true,:,N-rage-d1-c3
B-rage-d1-v4,rage,B_clinical,1,167,166,llama1b_inst,"['guilt', 'anger', 'regret', 'relief', 'disappointment']",true,:,N-rage-d1-c4
B-rage-d2-v1,rage,B_clinical,2,156,155,llama1b_inst,"['relief', 'none', 'neutrality', 'disappointment', 'satisfaction']",false,:,N-rage-d2-c1
B-rage-d2-v2,rage,B_clinical,2,163,162,llama1b_inst,"['anger', 'frustration', 'regret', 'none', 'disappointment']",true,:,N-rage-d2-c2
B-rage-d2-v3,rage,B_clinical,2,168,167,llama1b_inst,"['frustration', 'anger', 'disappointment', 'anxiety', 'surprise']",true,:,N-rage-d2-c3
B-rage-d2-v4,rage,B_clinical,2,164,163,llama1b_inst,"['concern', 'surprise', 'curiosity', 'relief', 'confusion']",false,:,N-rage-d2-c4
B-rage-d3-v1,rage,B_clinical,3,165,164,llama1b_inst,"['guilt', 'anger', 'shock', 'sadness', 'regret']",true,:,N-rage-d3-c1
B-rage-d3-v2,rage,B_clinical,3,151,150,llama1b_inst,"['fear', 'anger', 'anxiety', 'frustration', 'guilt']",true,:,N-rage-d3-c2
B-rage-d3-v3,rage,B_clinical,3,161,160,llama1b_inst,"['indifference', 'satisfaction', 'pride', 'none', 'disappointment']",false,:,N-rage-d3-c3
B-rage-d3-v4,rage,B_clinical,3,177,176,llama1b_inst,"['anger', 'frustration', 'guilt', 'confusion', 'curiosity']",true,:,N-rage-d3-c4
B-terror-d1-v1,terror,B_clinical,1,165,164,llama1b_inst,"['surprise', 'fear', 'curiosity', 'anxiety', 'confusion']",true,:,N-terror-d1-c1
B-terror-d1-v2,terror,B_clinical,1,172,171,llama1b_inst,"['confusion', 'curiosity', 'frustration', 'indifference', 'surprise']",false,:,N-terror-d1-c2
B-terror-d1-v3,terror,B_clinical,1,170,169,llama1b_inst,"['fear', 'confusion', 'surprise', 'anxiety', 'calm']",true,:,N-terror-d1-c3
B-terror-d1-v4,terror,B_clinical,1,171,170,llama1b_inst,"['fear', 'anxiety', 'frustration', 'excitement', 'surprise']",true,:,N-terror-d1-c4
B-terror-d2-v1,terror,B_clinical,2,181,180,llama1b_inst,"['sadness', 'concern', 'surprise', 'anxiety', 'confusion']",true,:,N-terror-d2-c1
B-terror-d2-v2,terror,B_clinical,2,178,177,llama1b_inst,"['anxiety', 'surprise', 'confusion', 'fear', 'concern']",true,:,N-terror-d2-c2
B-terror-d2-v3,terror,B_clinical,2,187,186,llama1b_inst,"['anxiety', 'fear', 'sadness', 'concern', 'worry']",true,:,N-terror-d2-c3
B-terror-d2-v4,terror,B_clinical,2,184,183,llama1b_inst,"['fear', 'anxiety', 'confusion', 'surprise', 'concern']",true,:,N-terror-d2-c4
B-terror-d3-v1,terror,B_clinical,3,194,193,llama1b_inst,"['fear', 'surprise', 'curiosity', 'guilt', 'shock']",true,:,N-terror-d3-c1
B-terror-d3-v2,terror,B_clinical,3,168,167,llama1b_inst,"['fear', 'relief', 'anxiety', 'concern', 'anger']",true,:,N-terror-d3-c2
B-terror-d3-v3,terror,B_clinical,3,194,193,llama1b_inst,"['fear', 'confusion', 'curiosity', 'surprise', 'anxiety']",true,:,N-terror-d3-c3
B-terror-d3-v4,terror,B_clinical,3,189,188,llama1b_inst,"['curiosity', 'confusion', 'anxiety', 'fear', 'surprise']",true,:,N-terror-d3-c4
B-vigilance-d1-v1,vigilance,B_clinical,1,208,207,llama1b_inst,"['surprise', 'joy', 'relief', 'happiness', 'curiosity']",false,:,N-vigilance-d1-c1
B-vigilance-d1-v2,vigilance,B_clinical,1,209,208,llama1b_inst,"['fear', 'surprise', 'anxiety', 'concern', 'relief']",true,:,N-vigilance-d1-c2
B-vigilance-d1-v3,vigilance,B_clinical,1,202,201,llama1b_inst,"['anxiety', 'fear', 'worry', 'concern', 'sadness']",true,:,N-vigilance-d1-c3
B-vigilance-d1-v4,vigilance,B_clinical,1,191,190,llama1b_inst,"['relief', 'surprise', 'concern', 'confusion', 'frustration']",false,:,N-vigilance-d1-c4
B-vigilance-d2-v1,vigilance,B_clinical,2,224,223,llama1b_inst,"['anxiety', 'excitement', 'concern', 'surprise', 'fear']",true,:,N-vigilance-d2-c1
B-vigilance-d2-v2,vigilance,B_clinical,2,206,205,llama1b_inst,"['anticipation', 'anxiety', 'calm', 'frustration', 'curiosity']",true,:,N-vigilance-d2-c2
B-vigilance-d2-v3,vigilance,B_clinical,2,201,200,llama1b_inst,"['excitement', 'anxiety', 'surprise', 'none', 'anticipation']",true,:,N-vigilance-d2-c3
B-vigilance-d2-v4,vigilance,B_clinical,2,211,210,llama1b_inst,"['indifference', 'calm', 'curiosity', 'confusion', 'boredom']",false,:,N-vigilance-d2-c4
B-vigilance-d3-v1,vigilance,B_clinical,3,228,227,llama1b_inst,"['calm', 'anxiety', 'frustration', 'curiosity', 'none']",true,:,N-vigilance-d3-c1
B-vigilance-d3-v2,vigilance,B_clinical,3,208,207,llama1b_inst,"['anxiety', 'fear', 'concern', 'frustration', 'excitement']",true,:,N-vigilance-d3-c2
B-vigilance-d3-v3,vigilance,B_clinical,3,223,222,llama1b_inst,"['fear', 'anxiety', 'surprise', 'confusion', 'worry']",true,:,N-vigilance-d3-c3
B-vigilance-d3-v4,vigilance,B_clinical,3,220,219,llama1b_inst,"['curiosity', 'surprise', 'anxiety', 'fear', 'concern']",true,:,N-vigilance-d3-c4
N-admiration-d1-c1,neutral,neutral,1,187,186,llama1b_inst,"['pride', 'satisfaction', 'none', 'confidence', 'excitement']",false,:,B-admiration-d1-v1
N-admiration-d1-c2,neutral,neutral,1,174,173,llama1b_inst,"['satisfaction', 'none', 'respect', 'neutrality', 'calm']",false,:,B-admiration-d1-v2
N-admiration-d1-c3,neutral,neutral,1,185,184,llama1b_inst,"['respect', 'pride', 'satisfaction', 'appreciation', 'gratitude']",false,:,B-admiration-d1-v3
N-admiration-d1-c4,neutral,neutral,1,182,181,llama1b_inst,"['none', 'satisfaction', 'relief', 'indifference', 'respect']",false,:,B-admiration-d1-v4
N-admiration-d2-c1,neutral,neutral,2,180,179,llama1b_inst,"['satisfaction', 'none', 'relief', 'confidence', 'pride']",false,:,B-admiration-d2-v1
N-admiration-d2-c2,neutral,neutral,2,181,180,llama1b_inst,"['none', 'relief', 'satisfaction', 'joy', 'pride']",false,:,B-admiration-d2-v2
N-admiration-d2-c3,neutral,neutral,2,190,189,llama1b_inst,"['satisfaction', 'none', 'relief', 'excitement', 'neutral']",false,:,B-admiration-d2-v3
N-admiration-d2-c4,neutral,neutral,2,184,183,llama1b_inst,"['none', 'indifference', 'empathy', 'gratitude', 'sadness']",false,:,B-admiration-d2-v4
N-admiration-d3-c1,neutral,neutral,3,180,179,llama1b_inst,"['gratitude', 'relief', 'satisfaction', 'appreciation', 'happiness']",false,:,B-admiration-d3-v1
N-admiration-d3-c2,neutral,neutral,3,180,179,llama1b_inst,"['none', 'excitement', 'surprise', 'interest', 'happiness']",false,:,B-admiration-d3-v2
N-admiration-d3-c3,neutral,neutral,3,196,195,llama1b_inst,"['pride', 'excitement', 'relief', 'satisfaction', 'happiness']",false,:,B-admiration-d3-v3
N-admiration-d3-c4,neutral,neutral,3,193,192,llama1b_inst,"['relief', 'happiness', 'sadness', 'joy', 'concern']",false,:,B-admiration-d3-v4
N-amazement-d1-c1,neutral,neutral,1,186,185,llama1b_inst,"['relief', 'calm', 'none', 'curiosity', 'excitement']",false,:,B-amazement-d1-v1
N-amazement-d1-c2,neutral,neutral,1,186,185,llama1b_inst,"['relief', 'excitement', 'joy', 'none', 'surprise']",false,:,B-amazement-d1-v2
N-amazement-d1-c3,neutral,neutral,1,190,189,llama1b_inst,"['excitement', 'none', 'curiosity', 'relief', 'joy']",false,:,B-amazement-d1-v3
N-amazement-d1-c4,neutral,neutral,1,196,195,llama1b_inst,"['none', 'relief', 'indifference', 'surprise', 'joy']",false,:,B-amazement-d1-v4
N-amazement-d2-c1,neutral,neutral,2,181,180,llama1b_inst,"['relief', 'none', 'excitement', 'calm', 'satisfaction']",false,:,B-amazement-d2-v1
N-amazement-d2-c2,neutral,neutral,2,182,181,llama1b_inst,"['appreciation', 'none', 'excitement', 'admiration', 'pride']",false,:,B-amazement-d2-v2
N-amazement-d2-c3,neutral,neutral,2,197,196,llama1b_inst,"['relief', 'joy', 'happiness', 'none', 'excitement']",false,:,B-amazement-d2-v3
N-amazement-d2-c4,neutral,neutral,2,194,193,llama1b_inst,"['relief', 'happiness', 'curiosity', 'surprise', 'sadness']",false,:,B-amazement-d2-v4
N-amazement-d3-c1,neutral,neutral,3,186,185,llama1b_inst,"['support', 'empathy', 'pride', 'curiosity', 'interest']",false,:,B-amazement-d3-v1
N-amazement-d3-c2,neutral,neutral,3,179,178,llama1b_inst,"['satisfaction', 'excitement', 'relief', 'curiosity', 'interest']",false,:,B-amazement-d3-v2
N-amazement-d3-c3,neutral,neutral,3,180,179,llama1b_inst,"['none', 'relief', 'satisfaction', 'confidence', 'calm']",false,:,B-amazement-d3-v3
N-amazement-d3-c4,neutral,neutral,3,178,177,llama1b_inst,"['curiosity', 'interest', 'excitement', 'appreciation', 'satisfaction']",false,:,B-amazement-d3-v4
N-ecstasy-d1-c1,neutral,neutral,1,182,181,llama1b_inst,"['relief', 'excitement', 'joy', 'none', 'surprise']",false,:,B-ecstasy-d1-v1
N-ecstasy-d1-c2,neutral,neutral,1,156,155,llama1b_inst,"['excitement', 'pride', 'relief', 'anxiety', 'satisfaction']",false,:,B-ecstasy-d1-v2
N-ecstasy-d1-c3,neutral,neutral,1,178,177,llama1b_inst,"['excitement', 'relief', 'joy', 'satisfaction', 'pride']",false,:,B-ecstasy-d1-v3
N-ecstasy-d1-c4,neutral,neutral,1,167,166,llama1b_inst,"['curiosity', 'surprise', 'excitement', 'none', 'relief']",false,:,B-ecstasy-d1-v4
N-ecstasy-d2-c1,neutral,neutral,2,174,173,llama1b_inst,"['relief', 'joy', 'surprise', 'happiness', 'excitement']",false,:,B-ecstasy-d2-v1
N-ecstasy-d2-c2,neutral,neutral,2,163,162,llama1b_inst,"['relief', 'none', 'satisfaction', 'neutrality', 'happiness']",false,:,B-ecstasy-d2-v2
N-ecstasy-d2-c3,neutral,neutral,2,171,170,llama1b_inst,"['relief', 'none', 'indifference', 'curiosity', 'happiness']",false,:,B-ecstasy-d2-v3
N-ecstasy-d2-c4,neutral,neutral,2,175,174,llama1b_inst,"['boredom', 'indifference', 'none', 'sadness', 'curiosity']",false,:,B-ecstasy-d2-v4
N-ecstasy-d3-c1,neutral,neutral,3,164,163,llama1b_inst,"['satisfaction', 'excitement', 'relief', 'pride', 'anticipation']",false,:,B-ecstasy-d3-v1
N-ecstasy-d3-c2,neutral,neutral,3,165,164,llama1b_inst,"['excitement', 'relief', 'joy', 'pride', 'calm']",false,:,B-ecstasy-d3-v2
