id,emotion,stimulus_set,domain,n_tokens_prompt,colon_token_idx,model_id,prompt_type,top5_predictions,correct,final_token_str,matched_control_id
B-admiration-d1-v1,admiration,B_clinical,1,171,170,llama1b_inst,zero_shot,"['The', 'None', '', 'I', 'In']",false,:,N-admiration-d1-c1
B-admiration-d1-v2,admiration,B_clinical,1,162,161,llama1b_inst,zero_shot,"['The', 'Emp', 'Ang', 'Respect', 'Em']",false,:,N-admiration-d1-c2
B-admiration-d1-v3,admiration,B_clinical,1,184,183,llama1b_inst,zero_shot,"['The', 'Confidence', 'She', 'Cur', 'Sad']",false,:,N-admiration-d1-c3
B-admiration-d1-v4,admiration,B_clinical,1,149,148,llama1b_inst,zero_shot,"['The', '', 'Cur', 'Precision', 'Cal']",false,:,N-admiration-d1-c4
B-admiration-d2-v1,admiration,B_clinical,2,173,172,llama1b_inst,zero_shot,"['The', 'He', 'Em', '', 'This']",false,:,N-admiration-d2-c1
B-admiration-d2-v2,admiration,B_clinical,2,165,164,llama1b_inst,zero_shot,"['The', '', 'Sad', 'She', 'In']",false,:,N-admiration-d2-c2
B-admiration-d2-v3,admiration,B_clinical,2,184,183,llama1b_inst,zero_shot,"['The', 'Ang', 'Fear', 'F', 'None']",false,:,N-admiration-d2-c3
B-admiration-d2-v4,admiration,B_clinical,2,174,173,llama1b_inst,zero_shot,"['The', 'None', 'Sad', 'F', 'Res']",false,:,N-admiration-d2-c4
B-admiration-d3-v1,admiration,B_clinical,3,181,180,llama1b_inst,zero_shot,"['The', 'She', 'Pride', 'None', '']",false,:,N-admiration-d3-c1
B-admiration-d3-v2,admiration,B_clinical,3,169,168,llama1b_inst,zero_shot,"['The', 'None', 'He', 'Ang', '']",false,:,N-admiration-d3-c2
B-admiration-d3-v3,admiration,B_clinical,3,179,178,llama1b_inst,zero_shot,"['The', 'None', 'She', 'F', 'Sad']",false,:,N-admiration-d3-c3
B-admiration-d3-v4,admiration,B_clinical,3,196,195,llama1b_inst,zero_shot,"['The', 'Cur', 'Sad', 'Emp', 'Fear']",false,:,N-admiration-d3-c4
B-amazement-d1-v1,amazement,B_clinical,1,143,142,llama1b_inst,zero_shot,"['The', '', 'None', 'She', 'Cur']",false,:,N-amazement-d1-c1
B-amazement-d1-v2,amazement,B_clinical,1,164,163,llama1b_inst,zero_shot,"['The', 'Fear', '', 'Cur', 'Surprise']",true,:,N-amazement-d1-c2
B-amazement-d1-v3,amazement,B_clinical,1,153,152,llama1b_inst,zero_shot,"['The', '', 'She', 'Cur', 'None']",false,:,N-amazement-d1-c3
B-amazement-d1-v4,amazement,B_clinical,1,159,158,llama1b_inst,zero_shot,"['The', 'Fear', '', 'None', 'Ang']",false,:,N-amazement-d1-c4
B-amazement-d2-v1,amazement,B_clinical,2,164,163,llama1b_inst,zero_shot,"['The', '', 'None', 'Sad', '']",false,:,N-amazement-d2-c1
B-amazement-d2-v2,amazement,B_clinical,2,180,179,llama1b_inst,zero_shot,"['The', 'None', '', 'Sad', 'I']",false,:,N-amazement-d2-c2
B-amazement-d2-v3,amazement,B_clinical,2,164,163,llama1b_inst,zero_shot,"['The', 'Panic', 'Fear', '', 'Ang']",false,:,N-amazement-d2-c3
B-amazement-d2-v4,amazement,B_clinical,2,161,160,llama1b_inst,zero_shot,"['The', '', 'Cur', 'She', 'None']",false,:,N-amazement-d2-c4
B-amazement-d3-v1,amazement,B_clinical,3,167,166,llama1b_inst,zero_shot,"['The', 'He', '', 'Cur', '']",false,:,N-amazement-d3-c1
B-amazement-d3-v2,amazement,B_clinical,3,179,178,llama1b_inst,zero_shot,"['The', 'Cur', 'In', '', '']",false,:,N-amazement-d3-c2
B-amazement-d3-v3,amazement,B_clinical,3,167,166,llama1b_inst,zero_shot,"['The', 'Ang', 'F', 'Emp', 'Cur']",false,:,N-amazement-d3-c3
B-amazement-d3-v4,amazement,B_clinical,3,157,156,llama1b_inst,zero_shot,"['The', '', 'She', 'In', '']",false,:,N-amazement-d3-c4
B-ecstasy-d1-v1,ecstasy,B_clinical,1,157,156,llama1b_inst,zero_shot,"['The', '', 'None', 'She', '']",false,:,N-ecstasy-d1-c1
B-ecstasy-d1-v2,ecstasy,B_clinical,1,149,148,llama1b_inst,zero_shot,"['The', 'He', 'Ang', 'Fear', 'F']",false,:,N-ecstasy-d1-c2
B-ecstasy-d1-v3,ecstasy,B_clinical,1,162,161,llama1b_inst,zero_shot,"['The', 'She', 'Fear', 'Ang', '']",false,:,N-ecstasy-d1-c3
B-ecstasy-d1-v4,ecstasy,B_clinical,1,139,138,llama1b_inst,zero_shot,"['The', 'He', 'Ang', 'Fear', 'None']",false,:,N-ecstasy-d1-c4
B-ecstasy-d2-v1,ecstasy,B_clinical,2,149,148,llama1b_inst,zero_shot,"['The', 'Fear', 'Sad', '', 'She']",false,:,N-ecstasy-d2-c1
B-ecstasy-d2-v2,ecstasy,B_clinical,2,137,136,llama1b_inst,zero_shot,"['The', 'Cur', 'She', 'F', 'None']",false,:,N-ecstasy-d2-c2
B-ecstasy-d2-v3,ecstasy,B_clinical,2,148,147,llama1b_inst,zero_shot,"['The', '', 'None', 'Sad', '']",false,:,N-ecstasy-d2-c3
B-ecstasy-d2-v4,ecstasy,B_clinical,2,135,134,llama1b_inst,zero_shot,"['The', 'She', '', 'Cur', 'F']",false,:,N-ecstasy-d2-c4
B-ecstasy-d3-v1,ecstasy,B_clinical,3,143,142,llama1b_inst,zero_shot,"['The', '', '', 'Cur', 'He']",false,:,N-ecstasy-d3-c1
B-ecstasy-d3-v2,ecstasy,B_clinical,3,139,138,llama1b_inst,zero_shot,"['The', 'Cur', '', 'She', 'Fear']",false,:,N-ecstasy-d3-c2
B-ecstasy-d3-v3,ecstasy,B_clinical,3,152,151,llama1b_inst,zero_shot,"['The', 'Cur', '', 'Ang', 'She']",false,:,N-ecstasy-d3-c3
B-ecstasy-d3-v4,ecstasy,B_clinical,3,163,162,llama1b_inst,zero_shot,"['The', 'Cur', 'Exc', '', 'Ang']",false,:,N-ecstasy-d3-c4
B-grief-d1-v1,grief,B_clinical,1,117,116,llama1b_inst,zero_shot,"['The', 'F', 'She', 'Cur', 'Sad']",false,:,N-grief-d1-c1
B-grief-d1-v2,grief,B_clinical,1,104,103,llama1b_inst,zero_shot,"['The', 'None', '', 'F', 'Cur']",false,:,N-grief-d1-c2
B-grief-d1-v3,grief,B_clinical,1,121,120,llama1b_inst,zero_shot,"['The', '', 'He', 'His', 'F']",false,:,N-grief-d1-c3
B-grief-d1-v4,grief,B_clinical,1,124,123,llama1b_inst,zero_shot,"['The', 'She', 'Cur', 'F', '']",false,:,N-grief-d1-c4
B-grief-d2-v1,grief,B_clinical,2,128,127,llama1b_inst,zero_shot,"['The', 'Cur', '', 'She', 'I']",false,:,N-grief-d2-c1
B-grief-d2-v2,grief,B_clinical,2,132,131,llama1b_inst,zero_shot,"['The', '', '', 'None', 'I']",false,:,N-grief-d2-c2
B-grief-d2-v3,grief,B_clinical,2,121,120,llama1b_inst,zero_shot,"['The', '', 'None', 'There', 'Sad']",false,:,N-grief-d2-c3
B-grief-d2-v4,grief,B_clinical,2,132,131,llama1b_inst,zero_shot,"['Cur', 'The', '', 'She', 'F']",false,:,N-grief-d2-c4
B-grief-d3-v1,grief,B_clinical,3,127,126,llama1b_inst,zero_shot,"['The', 'Cur', '', 'He', 'I']",false,:,N-grief-d3-c1
B-grief-d3-v2,grief,B_clinical,3,121,120,llama1b_inst,zero_shot,"['The', 'Sad', '', 'sadness', 'She']",true,:,N-grief-d3-c2
B-grief-d3-v3,grief,B_clinical,3,123,122,llama1b_inst,zero_shot,"['The', '', 'Cur', 'Ang', 'Sad']",false,:,N-grief-d3-c3
B-grief-d3-v4,grief,B_clinical,3,123,122,llama1b_inst,zero_shot,"['The', 'Cur', 'She', 'F', '']",false,:,N-grief-d3-c4
B-loathing-d1-v1,loathing,B_clinical,1,129,128,llama1b_inst,zero_shot,"['The', 'None', '', 'Em', 'There']",false,:,N-loathing-d1-c1
B-loathing-d1-v2,loathing,B_clinical,1,141,140,llama1b_inst,zero_shot,"['The', 'None', '', '', 'This']",false,:,N-loathing-d1-c2
B-loathing-d1-v3,loathing,B_clinical,1,145,144,llama1b_inst,zero_shot,"['The', '', 'None', 'Ang', '']",false,:,N-loathing-d1-c3
B-loathing-d1-v4,loathing,B_clinical,1,143,142,llama1b_inst,zero_shot,"['She', 'The', 'Cur', 'None', '']",false,:,N-loathing-d1-c4
B-loathing-d2-v1,loathing,B_clinical,2,134,133,llama1b_inst,zero_shot,"['The', 'Fear', 'F', '', 'Cur']",false,:,N-loathing-d2-c1
B-loathing-d2-v2,loathing,B_clinical,2,159,158,llama1b_inst,zero_shot,"['The', 'He', '', 'Cur', '']",false,:,N-loathing-d2-c2
B-loathing-d2-v3,loathing,B_clinical,2,177,176,llama1b_inst,zero_shot,"['The', 'Cur', 'Ang', '', 'Fear']",false,:,N-loathing-d2-c3
B-loathing-d2-v4,loathing,B_clinical,2,156,155,llama1b_inst,zero_shot,"['The', '', 'F', 'She', 'Cur']",false,:,N-loathing-d2-c4
B-loathing-d3-v1,loathing,B_clinical,3,135,134,llama1b_inst,zero_shot,"['The', 'Trust', 'Ang', 'Je', 'F']",false,:,N-loathing-d3-c1
B-loathing-d3-v2,loathing,B_clinical,3,129,128,llama1b_inst,zero_shot,"['The', 'Ang', '', 'F', 'Fear']",false,:,N-loathing-d3-c2
B-loathing-d3-v3,loathing,B_clinical,3,143,142,llama1b_inst,zero_shot,"['The', 'Ang', 'None', '', 'Gre']",false,:,N-loathing-d3-c3
B-loathing-d3-v4,loathing,B_clinical,3,150,149,llama1b_inst,zero_shot,"['The', 'Ang', 'None', '', '']",false,:,N-loathing-d3-c4
B-rage-d1-v1,rage,B_clinical,1,110,109,llama1b_inst,zero_shot,"['The', 'Ang', 'He', 'F', 'Sad']",false,:,N-rage-d1-c1
B-rage-d1-v2,rage,B_clinical,1,127,126,llama1b_inst,zero_shot,"['The', 'She', 'None', 'Cur', '']",false,:,N-rage-d1-c2
B-rage-d1-v3,rage,B_clinical,1,127,126,llama1b_inst,zero_shot,"['The', 'Ang', 'She', 'F', 'Sad']",false,:,N-rage-d1-c3
B-rage-d1-v4,rage,B_clinical,1,129,128,llama1b_inst,zero_shot,"['The', 'Ang', 'None', 'He', 'F']",false,:,N-rage-d1-c4
B-rage-d2-v1,rage,B_clinical,2,118,117,llama1b_inst,zero_shot,"['The', 'None', '', 'Ang', 'F']",false,:,N-rage-d2-c1
B-rage-d2-v2,rage,B_clinical,2,125,124,llama1b_inst,zero_shot,"['The', 'Ang', 'F', 'None', 'She']",false,:,N-rage-d2-c2
B-rage-d2-v3,rage,B_clinical,2,130,129,llama1b_inst,zero_shot,"['The', 'Ang', 'F', '', 'None']",false,:,N-rage-d2-c3
B-rage-d2-v4,rage,B_clinical,2,126,125,llama1b_inst,zero_shot,"['The', 'She', 'Ang', 'F', 'Sad']",false,:,N-rage-d2-c4
B-rage-d3-v1,rage,B_clinical,3,127,126,llama1b_inst,zero_shot,"['The', 'Cur', 'Ang', '', 'F']",false,:,N-rage-d3-c1
B-rage-d3-v2,rage,B_clinical,3,113,112,llama1b_inst,zero_shot,"['The', 'Ang', 'Fear', 'F', 'She']",false,:,N-rage-d3-c2
B-rage-d3-v3,rage,B_clinical,3,123,122,llama1b_inst,zero_shot,"['The', 'None', 'He', 'Ang', 'F']",false,:,N-rage-d3-c3
B-rage-d3-v4,rage,B_clinical,3,139,138,llama1b_inst,zero_shot,"['The', 'Ang', 'Cur', 'F', 'She']",false,:,N-rage-d3-c4
B-terror-d1-v1,terror,B_clinical,1,127,126,llama1b_inst,zero_shot,"['The', 'She', '', 'Fear', '']",true,:,N-terror-d1-c1
B-terror-d1-v2,terror,B_clinical,1,134,133,llama1b_inst,zero_shot,"['The', 'She', 'Cur', 'Ang', 'F']",false,:,N-terror-d1-c2
B-terror-d1-v3,terror,B_clinical,1,132,131,llama1b_inst,zero_shot,"['The', '', 'Cur', 'He', 'None']",false,:,N-terror-d1-c3
B-terror-d1-v4,terror,B_clinical,1,133,132,llama1b_inst,zero_shot,"['Fear', 'The', 'F', 'She', 'Ang']",true,:,N-terror-d1-c4
B-terror-d2-v1,terror,B_clinical,2,143,142,llama1b_inst,zero_shot,"['The', '', '', 'She', 'Ang']",false,:,N-terror-d2-c1
B-terror-d2-v2,terror,B_clinical,2,140,139,llama1b_inst,zero_shot,"['The', '', 'F', 'Cur', 'He']",false,:,N-terror-d2-c2
B-terror-d2-v3,terror,B_clinical,2,149,148,llama1b_inst,zero_shot,"['The', '', 'None', 'She', '']",false,:,N-terror-d2-c3
B-terror-d2-v4,terror,B_clinical,2,146,145,llama1b_inst,zero_shot,"['The', 'Fear', '', 'Sad', 'F']",true,:,N-terror-d2-c4
B-terror-d3-v1,terror,B_clinical,3,156,155,llama1b_inst,zero_shot,"['The', 'Fear', 'F', 'She', 'Cur']",true,:,N-terror-d3-c1
B-terror-d3-v2,terror,B_clinical,3,130,129,llama1b_inst,zero_shot,"['The', 'None', 'He', 'I', '']",false,:,N-terror-d3-c2
B-terror-d3-v3,terror,B_clinical,3,156,155,llama1b_inst,zero_shot,"['The', 'F', 'Fear', 'She', '']",true,:,N-terror-d3-c3
B-terror-d3-v4,terror,B_clinical,3,151,150,llama1b_inst,zero_shot,"['The', '', '', 'None', 'She']",false,:,N-terror-d3-c4
B-vigilance-d1-v1,vigilance,B_clinical,1,170,169,llama1b_inst,zero_shot,"['The', 'Cur', 'She', 'None', '']",false,:,N-vigilance-d1-c1
B-vigilance-d1-v2,vigilance,B_clinical,1,171,170,llama1b_inst,zero_shot,"['The', 'None', 'Fear', 'He', 'Ang']",false,:,N-vigilance-d1-c2
B-vigilance-d1-v3,vigilance,B_clinical,1,164,163,llama1b_inst,zero_shot,"['The', 'None', '', 'F', 'Fear']",false,:,N-vigilance-d1-c3
B-vigilance-d1-v4,vigilance,B_clinical,1,153,152,llama1b_inst,zero_shot,"['The', 'F', '', 'Fear', 'None']",false,:,N-vigilance-d1-c4
B-vigilance-d2-v1,vigilance,B_clinical,2,186,185,llama1b_inst,zero_shot,"['The', 'She', '', '', 'F']",false,:,N-vigilance-d2-c1
B-vigilance-d2-v2,vigilance,B_clinical,2,168,167,llama1b_inst,zero_shot,"['The', 'Ang', 'F', '', 'Em']",false,:,N-vigilance-d2-c2
B-vigilance-d2-v3,vigilance,B_clinical,2,163,162,llama1b_inst,zero_shot,"['The', 'Fear', 'None', 'F', 'She']",false,:,N-vigilance-d2-c3
B-vigilance-d2-v4,vigilance,B_clinical,2,173,172,llama1b_inst,zero_shot,"['The', 'Ang', 'F', 'He', 'Fear']",false,:,N-vigilance-d2-c4
B-vigilance-d3-v1,vigilance,B_clinical,3,190,189,llama1b_inst,zero_shot,"['The', 'Fear', 'None', 'She', 'Cur']",false,:,N-vigilance-d3-c1
B-vigilance-d3-v2,vigilance,B_clinical,3,170,169,llama1b_inst,zero_shot,"['The', 'None', 'She', 'Fear', '']",false,:,N-vigilance-d3-c2
B-vigilance-d3-v3,vigilance,B_clinical,3,185,184,llama1b_inst,zero_shot,"['The', 'She', 'Fear', '', 'F']",false,:,N-vigilance-d3-c3
