id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
B-admiration-d1-v1,admiration,admiration,admiration,false,0,a,zero
B-admiration-d1-v2,admiration,pride,pride,false,0,a,zero
B-admiration-d1-v3,admiration,respect,pride,true,0,a,zero
B-admiration-d1-v4,admiration,admiration,admiration,false,0,a,zero
B-admiration-d2-v1,admiration,anger,anger,false,0,a,zero
B-admiration-d2-v2,admiration,sadness,sadness,false,0,a,zero
B-admiration-d2-v3,admiration,guilt,guilt,false,0,a,zero
B-admiration-d2-v4,admiration,pride,pride,false,0,a,zero
B-admiration-d3-v1,admiration,pride,pride,false,0,a,zero
B-admiration-d3-v2,admiration,determination,determination,false,0,a,zero
B-admiration-d3-v3,admiration,determination,determination,false,0,a,zero
B-admiration-d3-v4,admiration,compassion,compassion,false,0,a,zero
B-amazement-d1-v1,amazement,fear,fear,false,0,a,zero
B-amazement-d1-v2,amazement,fear,fear,false,0,a,zero
B-amazement-d1-v3,amazement,fear,fear,false,0,a,zero
B-amazement-d1-v4,amazement,fear,fear,false,0,a,zero
B-amazement-d2-v1,amazement,fear,fear,false,0,a,zero
B-amazement-d2-v2,amazement,awe,awe,false,0,a,zero
B-amazement-d2-v3,amazement,relief,relief,false,0,a,zero
B-amazement-d2-v4,amazement,relief,relief,false,0,a,zero
B-amazement-d3-v1,amazement,pride,pride,false,0,a,zero
B-amazement-d3-v2,amazement,excitement,awe,true,0,a,zero
B-amazement-d3-v3,amazement,relief,relief,false,0,a,zero
B-amazement-d3-v4,amazement,surprise,surprise,false,0,a,zero
B-ecstasy-d1-v1,ecstasy,joy,joy,false,0,a,zero
B-ecstasy-d1-v2,ecstasy,fear,fear,false,0,a,zero
B-ecstasy-d1-v3,ecstasy,pride,pride,false,0,a,zero
B-ecstasy-d1-v4,ecstasy,pride,pride,false,0,a,zero
B-ecstasy-d2-v1,ecstasy,happiness,happiness,false,0,a,zero
B-ecstasy-d2-v2,ecstasy,happiness,happiness,false,0,a,zero
B-ecstasy-d2-v3,ecstasy,sadness,sadness,false,0,a,zero
B-ecstasy-d2-v4,ecstasy,happiness,happiness,false,0,a,zero
B-ecstasy-d3-v1,ecstasy,joy,joy,false,0,a,zero
B-ecstasy-d3-v2,ecstasy,wonder,wonder,false,0,a,zero
B-ecstasy-d3-v3,ecstasy,excitement,excitement,false,0,a,zero
B-ecstasy-d3-v4,ecstasy,excitement,excitement,false,0,a,zero
B-grief-d1-v1,grief,sadness,sadness,false,0,a,zero
B-grief-d1-v2,grief,sadness,sadness,false,0,a,zero
B-grief-d1-v3,grief,sadness,sadness,false,0,a,zero
B-grief-d1-v4,grief,sadness,sadness,false,0,a,zero
B-grief-d2-v1,grief,sadness,sadness,false,0,a,zero
B-grief-d2-v2,grief,sadness,sadness,false,0,a,zero
B-grief-d2-v3,grief,sadness,sadness,false,0,a,zero
B-grief-d2-v4,grief,sadness,sadness,false,0,a,zero
B-grief-d3-v1,grief,anger,anger,false,0,a,zero
B-grief-d3-v2,grief,sadness,sadness,false,0,a,zero
B-grief-d3-v3,grief,sadness,sadness,false,0,a,zero
B-grief-d3-v4,grief,sadness,sadness,false,0,a,zero
B-loathing-d1-v1,loathing,anger,anger,false,0,a,zero
B-loathing-d1-v2,loathing,anger,anger,false,0,a,zero
B-loathing-d1-v3,loathing,anger,anger,false,0,a,zero
B-loathing-d1-v4,loathing,anger,anger,false,0,a,zero
B-loathing-d2-v1,loathing,fear,fear,false,0,a,zero
B-loathing-d2-v2,loathing,disgust,disgust,false,0,a,zero
B-loathing-d2-v3,loathing,fear,fear,false,0,a,zero
B-loathing-d2-v4,loathing,disgust,disgust,false,0,a,zero
B-loathing-d3-v1,loathing,anger,anger,false,0,a,zero
B-loathing-d3-v2,loathing,anger,anger,false,0,a,zero
B-loathing-d3-v3,loathing,anger,anger,false,0,a,zero
B-loathing-d3-v4,loathing,anger,anger,false,0,a,zero
B-rage-d1-v1,rage,anger,anger,false,0,a,zero
B-rage-d1-v2,rage,anger,anger,false,0,a,zero
B-rage-d1-v3,rage,anger,anger,false,0,a,zero
B-rage-d1-v4,rage,anger,anger,false,0,a,zero
B-rage-d2-v1,rage,anger,anger,false,0,a,zero
B-rage-d2-v2,rage,anger,anger,false,0,a,zero
B-rage-d2-v3,rage,anger,anger,false,0,a,zero
B-rage-d2-v4,rage,anger,anger,false,0,a,zero
B-rage-d3-v1,rage,anger,anger,false,0,a,zero
B-rage-d3-v2,rage,fear,fear,false,0,a,zero
B-rage-d3-v3,rage,anger,anger,false,0,a,zero
B-rage-d3-v4,rage,fear,fear,false,0,a,zero
B-terror-d1-v1,terror,fear,fear,false,0,a,zero
B-terror-d1-v2,terror,fear,fear,false,0,a,zero
B-terror-d1-v3,terror,fear,fear,false,0,a,zero
