source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
B-rage-d1-v2,B-grief-d3-v1,rage,grief,fear,fear,false,5,0.1875,h,setb,within_set
B-rage-d1-v2,B-terror-d3-v1,rage,terror,fear,fear,false,5,0.1875,h,setb,within_set
B-rage-d1-v2,B-ecstasy-d3-v1,rage,ecstasy,joy,joy,false,5,0.1875,h,setb,within_set
B-rage-d1-v2,B-loathing-d3-v1,rage,loathing,anger,anger,true,5,0.1875,h,setb,within_set
B-rage-d1-v2,B-amazement-d3-v1,rage,amazement,surprise,surprise,false,5,0.1875,h,setb,within_set
B-rage-d1-v2,B-admiration-d3-v1,rage,admiration,pride,pride,false,5,0.1875,h,setb,within_set
B-rage-d1-v2,B-vigilance-d3-v1,rage,vigilance,anticipation,anticipation,false,5,0.1875,h,setb,within_set
B-grief-d1-v2,B-rage-d3-v1,grief,rage,anger,anger,false,5,0.1875,h,setb,within_set
B-grief-d1-v2,B-terror-d3-v1,grief,terror,fear,fear,false,5,0.1875,h,setb,within_set
B-grief-d1-v2,B-ecstasy-d3-v1,grief,ecstasy,joy,joy,false,5,0.1875,h,setb,within_set
B-grief-d1-v2,B-loathing-d3-v1,grief,loathing,anger,anger,false,5,0.1875,h,setb,within_set
B-grief-d1-v2,B-amazement-d3-v1,grief,amazement,surprise,surprise,false,5,0.1875,h,setb,within_set
B-grief-d1-v2,B-admiration-d3-v1,grief,admiration,pride,pride,false,5,0.1875,h,setb,within_set
B-grief-d1-v2,B-vigilance-d3-v1,grief,vigilance,anticipation,anticipation,false,5,0.1875,h,setb,within_set
B-terror-d1-v2,B-rage-d3-v1,terror,rage,anger,anger,false,5,0.1875,h,setb,within_set
B-terror-d1-v2,B-grief-d3-v1,terror,grief,fear,fear,true,5,0.1875,h,setb,within_set
B-terror-d1-v2,B-ecstasy-d3-v1,terror,ecstasy,joy,joy,false,5,0.1875,h,setb,within_set
B-terror-d1-v2,B-loathing-d3-v1,terror,loathing,anger,anger,false,5,0.1875,h,setb,within_set
B-terror-d1-v2,B-amazement-d3-v1,terror,amazement,surprise,surprise,false,5,0.1875,h,setb,within_set
B-terror-d1-v2,B-admiration-d3-v1,terror,admiration,pride,pride,false,5,0.1875,h,setb,within_set
B-terror-d1-v2,B-vigilance-d3-v1,terror,vigilance,anticipation,anticipation,false,5,0.1875,h,setb,within_set
B-ecstasy-d1-v2,B-rage-d3-v1,ecstasy,rage,anger,anger,false,5,0.1875,h,setb,within_set
B-ecstasy-d1-v2,B-grief-d3-v1,ecstasy,grief,fear,fear,false,5,0.1875,h,setb,within_set
B-ecstasy-d1-v2,B-terror-d3-v1,ecstasy,terror,fear,fear,false,5,0.1875,h,setb,within_set
B-ecstasy-d1-v2,B-loathing-d3-v1,ecstasy,loathing,anger,anger,false,5,0.1875,h,setb,within_set
B-ecstasy-d1-v2,B-amazement-d3-v1,ecstasy,amazement,surprise,surprise,false,5,0.1875,h,setb,within_set
B-ecstasy-d1-v2,B-admiration-d3-v1,ecstasy,admiration,pride,pride,false,5,0.1875,h,setb,within_set
B-ecstasy-d1-v2,B-vigilance-d3-v1,ecstasy,vigilance,anticipation,anticipation,false,5,0.1875,h,setb,within_set
B-loathing-d1-v2,B-rage-d3-v1,loathing,rage,anger,anger,false,5,0.1875,h,setb,within_set
B-loathing-d1-v2,B-grief-d3-v1,loathing,grief,fear,fear,false,5,0.1875,h,setb,within_set
B-loathing-d1-v2,B-terror-d3-v1,loathing,terror,fear,fear,false,5,0.1875,h,setb,within_set
B-loathing-d1-v2,B-ecstasy-d3-v1,loathing,ecstasy,joy,joy,false,5,0.1875,h,setb,within_set
B-loathing-d1-v2,B-amazement-d3-v1,loathing,amazement,surprise,surprise,false,5,0.1875,h,setb,within_set
B-loathing-d1-v2,B-admiration-d3-v1,loathing,admiration,pride,pride,false,5,0.1875,h,setb,within_set
B-loathing-d1-v2,B-vigilance-d3-v1,loathing,vigilance,anticipation,anticipation,false,5,0.1875,h,setb,within_set
B-amazement-d1-v2,B-rage-d3-v1,amazement,rage,anger,anger,false,5,0.1875,h,setb,within_set
B-amazement-d1-v2,B-grief-d3-v1,amazement,grief,fear,anger,false,5,0.1875,h,setb,within_set
B-amazement-d1-v2,B-terror-d3-v1,amazement,terror,fear,fear,false,5,0.1875,h,setb,within_set
B-amazement-d1-v2,B-ecstasy-d3-v1,amazement,ecstasy,joy,joy,false,5,0.1875,h,setb,within_set
B-amazement-d1-v2,B-loathing-d3-v1,amazement,loathing,anger,anger,false,5,0.1875,h,setb,within_set
B-amazement-d1-v2,B-admiration-d3-v1,amazement,admiration,pride,pride,false,5,0.1875,h,setb,within_set
B-amazement-d1-v2,B-vigilance-d3-v1,amazement,vigilance,anticipation,anticipation,false,5,0.1875,h,setb,within_set
B-admiration-d1-v2,B-rage-d3-v1,admiration,rage,anger,anger,false,5,0.1875,h,setb,within_set
B-admiration-d1-v2,B-grief-d3-v1,admiration,grief,fear,fear,false,5,0.1875,h,setb,within_set
B-admiration-d1-v2,B-terror-d3-v1,admiration,terror,fear,fear,false,5,0.1875,h,setb,within_set
