source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
A-rage-10,A-grief-06,rage,grief,sadness,sadness,false,3,0.25,h,seta,within_set
A-rage-10,A-terror-06,rage,terror,fear,fear,false,3,0.25,h,seta,within_set
A-rage-10,A-ecstasy-06,rage,ecstasy,joy,joy,false,3,0.25,h,seta,within_set
A-rage-10,A-loathing-06,rage,loathing,disgust,disgust,false,3,0.25,h,seta,within_set
A-rage-10,A-amazement-06,rage,amazement,fear,fear,false,3,0.25,h,seta,within_set
A-rage-10,A-admiration-06,rage,admiration,trust,trust,false,3,0.25,h,seta,within_set
A-rage-10,A-vigilance-06,rage,vigilance,fear,anxiety,false,3,0.25,h,seta,within_set
A-grief-10,A-rage-06,grief,rage,anger,anger,false,3,0.25,h,seta,within_set
A-grief-10,A-terror-06,grief,terror,fear,fear,false,3,0.25,h,seta,within_set
A-grief-10,A-ecstasy-06,grief,ecstasy,joy,joy,false,3,0.25,h,seta,within_set
A-grief-10,A-loathing-06,grief,loathing,disgust,disgust,false,3,0.25,h,seta,within_set
A-grief-10,A-amazement-06,grief,amazement,fear,fear,false,3,0.25,h,seta,within_set
A-grief-10,A-admiration-06,grief,admiration,trust,trust,false,3,0.25,h,seta,within_set
A-grief-10,A-vigilance-06,grief,vigilance,fear,fear,false,3,0.25,h,seta,within_set
A-terror-10,A-rage-06,terror,rage,anger,anger,false,3,0.25,h,seta,within_set
A-terror-10,A-grief-06,terror,grief,sadness,sadness,false,3,0.25,h,seta,within_set
A-terror-10,A-ecstasy-06,terror,ecstasy,joy,joy,false,3,0.25,h,seta,within_set
A-terror-10,A-loathing-06,terror,loathing,disgust,disgust,false,3,0.25,h,seta,within_set
A-terror-10,A-amazement-06,terror,amazement,fear,fear,true,3,0.25,h,seta,within_set
A-terror-10,A-admiration-06,terror,admiration,trust,trust,false,3,0.25,h,seta,within_set
A-terror-10,A-vigilance-06,terror,vigilance,fear,anxiety,true,3,0.25,h,seta,within_set
A-ecstasy-10,A-rage-06,ecstasy,rage,anger,anger,false,3,0.25,h,seta,within_set
A-ecstasy-10,A-grief-06,ecstasy,grief,sadness,sadness,false,3,0.25,h,seta,within_set
A-ecstasy-10,A-terror-06,ecstasy,terror,fear,fear,false,3,0.25,h,seta,within_set
A-ecstasy-10,A-loathing-06,ecstasy,loathing,disgust,disgust,false,3,0.25,h,seta,within_set
A-ecstasy-10,A-amazement-06,ecstasy,amazement,fear,fear,false,3,0.25,h,seta,within_set
A-ecstasy-10,A-admiration-06,ecstasy,admiration,trust,relief,false,3,0.25,h,seta,within_set
A-ecstasy-10,A-vigilance-06,ecstasy,vigilance,fear,fear,false,3,0.25,h,seta,within_set
A-loathing-10,A-rage-06,loathing,rage,anger,anger,false,3,0.25,h,seta,within_set
A-loathing-10,A-grief-06,loathing,grief,sadness,sadness,false,3,0.25,h,seta,within_set
A-loathing-10,A-terror-06,loathing,terror,fear,fear,false,3,0.25,h,seta,within_set
A-loathing-10,A-ecstasy-06,loathing,ecstasy,joy,joy,false,3,0.25,h,seta,within_set
A-loathing-10,A-amazement-06,loathing,amazement,fear,fear,false,3,0.25,h,seta,within_set
A-loathing-10,A-admiration-06,loathing,admiration,trust,trust,false,3,0.25,h,seta,within_set
A-loathing-10,A-vigilance-06,loathing,vigilance,fear,fear,false,3,0.25,h,seta,within_set
A-amazement-10,A-rage-06,amazement,rage,anger,anger,false,3,0.25,h,seta,within_set
A-amazement-10,A-grief-06,amazement,grief,sadness,sadness,false,3,0.25,h,seta,within_set
A-amazement-10,A-terror-06,amazement,terror,fear,fear,false,3,0.25,h,seta,within_set
A-amazement-10,A-ecstasy-06,amazement,ecstasy,joy,joy,false,3,0.25,h,seta,within_set
A-amazement-10,A-loathing-06,amazement,loathing,disgust,disgust,false,3,0.25,h,seta,within_set
A-amazement-10,A-admiration-06,amazement,admiration,trust,trust,false,3,0.25,h,seta,within_set
A-amazement-10,A-vigilance-06,amazement,vigilance,fear,anxiety,false,3,0.25,h,seta,within_set
A-admiration-10,A-rage-06,admiration,rage,anger,anger,false,3,0.25,h,seta,within_set
A-admiration-10,A-grief-06,admiration,grief,sadness,sadness,false,3,0.25,h,seta,within_set
A-admiration-10,A-terror-06,admiration,terror,fear,fear,false,3,0.25,h,seta,within_set
A-admiration-10,A-ecstasy-06,admiration,ecstasy,joy,joy,false,3,0.25,h,seta,within_set
A-admiration-10,A-loathing-06,admiration,loathing,disgust,disgust,false,3,0.25,h,seta,within_set
A-admiration-10,A-amazement-06,admiration,amazement,fear,fear,false,3,0.25,h,seta,within_set
A-admiration-10,A-vigilance-06,admiration,vigilance,fear,fear,false,3,0.25,h,seta,within_set
A-vigilance-10,A-rage-06,vigilance,rage,anger,anger,false,3,0.25,h,seta,within_set
A-vigilance-10,A-grief-06,vigilance,grief,sadness,sadness,false,3,0.25,h,seta,within_set
A-vigilance-10,A-terror-06,vigilance,terror,fear,fear,false,3,0.25,h,seta,within_set
A-vigilance-10,A-ecstasy-06,vigilance,ecstasy,joy,joy,false,3,0.25,h,seta,within_set
A-vigilance-10,A-loathing-06,vigilance,loathing,disgust,disgust,false,3,0.25,h,seta,within_set
A-vigilance-10,A-amazement-06,vigilance,amazement,fear,fear,false,3,0.25,h,seta,within_set
A-vigilance-10,A-admiration-06,vigilance,admiration,trust,relief,false,3,0.25,h,seta,within_set
A-rage-01,A-grief-04,rage,grief,sadness,sadness,false,7,0.5,h,seta,within_set
A-rage-01,A-terror-04,rage,terror,fear,fear,false,7,0.5,h,seta,within_set
A-rage-01,A-ecstasy-04,rage,ecstasy,joy,joy,false,7,0.5,h,seta,within_set
A-rage-01,A-loathing-04,rage,loathing,disgust,disgust,false,7,0.5,h,seta,within_set
A-rage-01,A-amazement-04,rage,amazement,surprise,surprise,false,7,0.5,h,seta,within_set
A-rage-01,A-admiration-04,rage,admiration,trust,trust,false,7,0.5,h,seta,within_set
A-rage-01,A-vigilance-04,rage,vigilance,fear,anxiety,false,7,0.5,h,seta,within_set
A-grief-01,A-rage-04,grief,rage,anger,anger,false,7,0.5,h,seta,within_set
A-grief-01,A-terror-04,grief,terror,fear,fear,false,7,0.5,h,seta,within_set
A-grief-01,A-ecstasy-04,grief,ecstasy,joy,joy,false,7,0.5,h,seta,within_set
A-grief-01,A-loathing-04,grief,loathing,disgust,disgust,false,7,0.5,h,seta,within_set
A-grief-01,A-amazement-04,grief,amazement,surprise,surprise,false,7,0.5,h,seta,within_set
A-grief-01,A-admiration-04,grief,admiration,trust,trust,false,7,0.5,h,seta,within_set
A-grief-01,A-vigilance-04,grief,vigilance,fear,anxiety,false,7,0.5,h,seta,within_set
A-terror-01,A-rage-04,terror,rage,anger,anger,false,7,0.5,h,seta,within_set
A-terror-01,A-grief-04,terror,grief,sadness,sadness,false,7,0.5,h,seta,within_set
A-terror-01,A-ecstasy-04,terror,ecstasy,joy,joy,false,7,0.5,h,seta,within_set
A-terror-01,A-loathing-04,terror,loathing,disgust,anger,false,7,0.5,h,seta,within_set
A-terror-01,A-amazement-04,terror,amazement,surprise,surprise,false,7,0.5,h,seta,within_set
A-terror-01,A-admiration-04,terror,admiration,trust,trust,false,7,0.5,h,seta,within_set
A-terror-01,A-vigilance-04,terror,vigilance,fear,anxiety,true,7,0.5,h,seta,within_set
A-ecstasy-01,A-rage-04,ecstasy,rage,anger,anger,false,7,0.5,h,seta,within_set
A-ecstasy-01,A-grief-04,ecstasy,grief,sadness,sadness,false,7,0.5,h,seta,within_set
A-ecstasy-01,A-terror-04,ecstasy,terror,fear,fear,false,7,0.5,h,seta,within_set
A-ecstasy-01,A-loathing-04,ecstasy,loathing,disgust,anger,false,7,0.5,h,seta,within_set
A-ecstasy-01,A-amazement-04,ecstasy,amazement,surprise,surprise,false,7,0.5,h,seta,within_set
A-ecstasy-01,A-admiration-04,ecstasy,admiration,trust,trust,false,7,0.5,h,seta,within_set
A-ecstasy-01,A-vigilance-04,ecstasy,vigilance,fear,fear,false,7,0.5,h,seta,within_set
A-loathing-01,A-rage-04,loathing,rage,anger,anger,false,7,0.5,h,seta,within_set
A-loathing-01,A-grief-04,loathing,grief,sadness,sadness,false,7,0.5,h,seta,within_set
A-loathing-01,A-terror-04,loathing,terror,fear,fear,false,7,0.5,h,seta,within_set
A-loathing-01,A-ecstasy-04,loathing,ecstasy,joy,joy,false,7,0.5,h,seta,within_set
A-loathing-01,A-amazement-04,loathing,amazement,surprise,surprise,false,7,0.5,h,seta,within_set
A-loathing-01,A-admiration-04,loathing,admiration,trust,trust,false,7,0.5,h,seta,within_set
A-loathing-01,A-vigilance-04,loathing,vigilance,fear,anxiety,false,7,0.5,h,seta,within_set
A-amazement-01,A-rage-04,amazement,rage,anger,anger,false,7,0.5,h,seta,within_set
A-amazement-01,A-grief-04,amazement,grief,sadness,sadness,false,7,0.5,h,seta,within_set
A-amazement-01,A-terror-04,amazement,terror,fear,fear,false,7,0.5,h,seta,within_set
A-amazement-01,A-ecstasy-04,amazement,ecstasy,joy,joy,false,7,0.5,h,seta,within_set
A-amazement-01,A-loathing-04,amazement,loathing,disgust,disgust,false,7,0.5,h,seta,within_set
A-amazement-01,A-admiration-04,amazement,admiration,trust,trust,false,7,0.5,h,seta,within_set
A-amazement-01,A-vigilance-04,amazement,vigilance,fear,fear,false,7,0.5,h,seta,within_set
A-admiration-01,A-rage-04,admiration,rage,anger,anger,false,7,0.5,h,seta,within_set
A-admiration-01,A-grief-04,admiration,grief,sadness,sadness,false,7,0.5,h,seta,within_set
A-admiration-01,A-terror-04,admiration,terror,fear,fear,false,7,0.5,h,seta,within_set
A-admiration-01,A-ecstasy-04,admiration,ecstasy,joy,joy,false,7,0.5,h,seta,within_set
A-admiration-01,A-loathing-04,admiration,loathing,disgust,disgust,false,7,0.5,h,seta,within_set
A-admiration-01,A-amazement-04,admiration,amazement,surprise,surprise,false,7,0.5,h,seta,within_set
A-admiration-01,A-vigilance-04,admiration,vigilance,fear,fear,false,7,0.5,h,seta,within_set
A-vigilance-01,A-rage-04,vigilance,rage,anger,anger,false,7,0.5,h,seta,within_set
A-vigilance-01,A-grief-04,vigilance,grief,sadness,sadness,false,7,0.5,h,seta,within_set
A-vigilance-01,A-terror-04,vigilance,terror,fear,fear,false,7,0.5,h,seta,within_set
A-vigilance-01,A-ecstasy-04,vigilance,ecstasy,joy,joy,false,7,0.5,h,seta,within_set
A-vigilance-01,A-loathing-04,vigilance,loathing,disgust,anger,false,7,0.5,h,seta,within_set
A-vigilance-01,A-amazement-04,vigilance,amazement,surprise,surprise,false,7,0.5,h,seta,within_set
A-vigilance-01,A-admiration-04,vigilance,admiration,trust,trust,false,7,0.5,h,seta,within_set
A-rage-04,A-grief-10,rage,grief,sadness,sadness,false,9,0.625,h,seta,within_set
A-rage-04,A-terror-10,rage,terror,fear,anger,true,9,0.625,h,seta,within_set
A-rage-04,A-ecstasy-10,rage,ecstasy,joy,joy,false,9,0.625,h,seta,within_set
A-rage-04,A-loathing-10,rage,loathing,disgust,disgust,false,9,0.625,h,seta,within_set
A-rage-04,A-amazement-10,rage,amazement,disappointment,anger,true,9,0.625,h,seta,within_set
A-rage-04,A-admiration-10,rage,admiration,fear,fear,false,9,0.625,h,seta,within_set
A-rage-04,A-vigilance-10,rage,vigilance,anxiety,anxiety,false,9,0.625,h,seta,within_set
A-grief-04,A-rage-10,grief,rage,anger,sadness,true,9,0.625,h,seta,within_set
A-grief-04,A-terror-10,grief,terror,fear,fear,false,9,0.625,h,seta,within_set
A-grief-04,A-ecstasy-10,grief,ecstasy,joy,sadness,true,9,0.625,h,seta,within_set
A-grief-04,A-loathing-10,grief,loathing,disgust,sadness,true,9,0.625,h,seta,within_set
A-grief-04,A-amazement-10,grief,amazement,disappointment,sadness,true,9,0.625,h,seta,within_set
A-grief-04,A-admiration-10,grief,admiration,fear,sadness,true,9,0.625,h,seta,within_set
A-grief-04,A-vigilance-10,grief,vigilance,anxiety,anxiety,false,9,0.625,h,seta,within_set
A-terror-04,A-rage-10,terror,rage,anger,fear,true,9,0.625,h,seta,within_set
A-terror-04,A-grief-10,terror,grief,sadness,fear,true,9,0.625,h,seta,within_set
A-terror-04,A-ecstasy-10,terror,ecstasy,joy,relief,false,9,0.625,h,seta,within_set
A-terror-04,A-loathing-10,terror,loathing,disgust,fear,true,9,0.625,h,seta,within_set
A-terror-04,A-amazement-10,terror,amazement,disappointment,fear,true,9,0.625,h,seta,within_set
A-terror-04,A-admiration-10,terror,admiration,fear,fear,true,9,0.625,h,seta,within_set
A-terror-04,A-vigilance-10,terror,vigilance,anxiety,fear,true,9,0.625,h,seta,within_set
A-ecstasy-04,A-rage-10,ecstasy,rage,anger,joy,true,9,0.625,h,seta,within_set
A-ecstasy-04,A-grief-10,ecstasy,grief,sadness,joy,true,9,0.625,h,seta,within_set
A-ecstasy-04,A-terror-10,ecstasy,terror,fear,fear,false,9,0.625,h,seta,within_set
A-ecstasy-04,A-loathing-10,ecstasy,loathing,disgust,joy,true,9,0.625,h,seta,within_set
A-ecstasy-04,A-amazement-10,ecstasy,amazement,disappointment,joy,true,9,0.625,h,seta,within_set
A-ecstasy-04,A-admiration-10,ecstasy,admiration,fear,joy,true,9,0.625,h,seta,within_set
A-ecstasy-04,A-vigilance-10,ecstasy,vigilance,anxiety,joy,true,9,0.625,h,seta,within_set
A-loathing-04,A-rage-10,loathing,rage,anger,anger,false,9,0.625,h,seta,within_set
A-loathing-04,A-grief-10,loathing,grief,sadness,sadness,false,9,0.625,h,seta,within_set
A-loathing-04,A-terror-10,loathing,terror,fear,anger,false,9,0.625,h,seta,within_set
A-loathing-04,A-ecstasy-10,loathing,ecstasy,joy,joy,false,9,0.625,h,seta,within_set
A-loathing-04,A-amazement-10,loathing,amazement,disappointment,anger,false,9,0.625,h,seta,within_set
A-loathing-04,A-admiration-10,loathing,admiration,fear,fear,false,9,0.625,h,seta,within_set
A-loathing-04,A-vigilance-10,loathing,vigilance,anxiety,anxiety,false,9,0.625,h,seta,within_set
A-amazement-04,A-rage-10,amazement,rage,anger,surprise,true,9,0.625,h,seta,within_set
A-amazement-04,A-grief-10,amazement,grief,sadness,surprise,true,9,0.625,h,seta,within_set
A-amazement-04,A-terror-10,amazement,terror,fear,surprise,true,9,0.625,h,seta,within_set
A-amazement-04,A-ecstasy-10,amazement,ecstasy,joy,surprise,true,9,0.625,h,seta,within_set
A-amazement-04,A-loathing-10,amazement,loathing,disgust,disgust,false,9,0.625,h,seta,within_set
A-amazement-04,A-admiration-10,amazement,admiration,fear,surprise,true,9,0.625,h,seta,within_set
A-amazement-04,A-vigilance-10,amazement,vigilance,anxiety,anxiety,false,9,0.625,h,seta,within_set
A-admiration-04,A-rage-10,admiration,rage,anger,joy,false,9,0.625,h,seta,within_set
A-admiration-04,A-grief-10,admiration,grief,sadness,joy,false,9,0.625,h,seta,within_set
A-admiration-04,A-terror-10,admiration,terror,fear,fear,false,9,0.625,h,seta,within_set
A-admiration-04,A-ecstasy-10,admiration,ecstasy,joy,joy,false,9,0.625,h,seta,within_set
A-admiration-04,A-loathing-10,admiration,loathing,disgust,joy,false,9,0.625,h,seta,within_set
A-admiration-04,A-amazement-10,admiration,amazement,disappointment,relief,false,9,0.625,h,seta,within_set
A-admiration-04,A-vigilance-10,admiration,vigilance,anxiety,anxiety,false,9,0.625,h,seta,within_set
A-vigilance-04,A-rage-10,vigilance,rage,anger,fear,false,9,0.625,h,seta,within_set
A-vigilance-04,A-grief-10,vigilance,grief,sadness,anxiety,true,9,0.625,h,seta,within_set
A-vigilance-04,A-terror-10,vigilance,terror,fear,fear,false,9,0.625,h,seta,within_set
A-vigilance-04,A-ecstasy-10,vigilance,ecstasy,joy,excitement,false,9,0.625,h,seta,within_set
A-vigilance-04,A-loathing-10,vigilance,loathing,disgust,disgust,false,9,0.625,h,seta,within_set
A-vigilance-04,A-amazement-10,vigilance,amazement,disappointment,anxiety,true,9,0.625,h,seta,within_set
A-vigilance-04,A-admiration-10,vigilance,admiration,fear,fear,false,9,0.625,h,seta,within_set
A-rage-10,A-grief-07,rage,grief,sadness,sadness,false,10,0.6875,h,seta,within_set
A-rage-10,A-terror-07,rage,terror,fear,fear,false,10,0.6875,h,seta,within_set
A-rage-10,A-ecstasy-07,rage,ecstasy,joy,relief,false,10,0.6875,h,seta,within_set
A-rage-10,A-loathing-07,rage,loathing,anger,anger,true,10,0.6875,h,seta,within_set
A-rage-10,A-amazement-07,rage,amazement,surprise,surprise,false,10,0.6875,h,seta,within_set
A-rage-10,A-admiration-07,rage,admiration,relief,relief,false,10,0.6875,h,seta,within_set
A-rage-10,A-vigilance-07,rage,vigilance,anxiety,anxiety,false,10,0.6875,h,seta,within_set
A-grief-10,A-rage-07,grief,rage,anger,sadness,true,10,0.6875,h,seta,within_set
A-grief-10,A-terror-07,grief,terror,fear,fear,false,10,0.6875,h,seta,within_set
