id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
B-admiration-d1-v1,admiration,pride,pride,false,0,m,zero
B-admiration-d1-v2,admiration,empathy,empathy,false,0,m,zero
B-admiration-d1-v3,admiration,nostalgia,nostalgia,false,0,m,zero
B-admiration-d1-v4,admiration,calm,calm,false,0,m,zero
B-admiration-d2-v1,admiration,guilt,guilt,false,0,m,zero
B-admiration-d2-v2,admiration,sadness,sadness,false,0,m,zero
B-admiration-d2-v3,admiration,guilt,anger,true,0,m,zero
B-admiration-d2-v4,admiration,regret,regret,false,0,m,zero
B-admiration-d3-v1,admiration,pride,pride,false,0,m,zero
B-admiration-d3-v2,admiration,disappointment,disappointment,false,0,m,zero
B-admiration-d3-v3,admiration,disappointment,disappointment,false,0,m,zero
B-admiration-d3-v4,admiration,curiosity,curiosity,false,0,m,zero
B-amazement-d1-v1,amazement,awe,awe,false,0,m,zero
B-amazement-d1-v2,amazement,surprise,surprise,false,0,m,zero
B-amazement-d1-v3,amazement,wonder,wonder,false,0,m,zero
B-amazement-d1-v4,amazement,relief,calm,true,0,m,zero
B-amazement-d2-v1,amazement,relief,relief,false,0,m,zero
B-amazement-d2-v2,amazement,awe,awe,false,0,m,zero
B-amazement-d2-v3,amazement,relief,relief,false,0,m,zero
B-amazement-d2-v4,amazement,relief,relief,false,0,m,zero
B-amazement-d3-v1,amazement,understanding,understanding,false,0,m,zero
B-amazement-d3-v2,amazement,curiosity,curiosity,false,0,m,zero
B-amazement-d3-v3,amazement,confusion,surprise,true,0,m,zero
B-amazement-d3-v4,amazement,polit,polite,true,0,m,zero
B-ecstasy-d1-v1,ecstasy,grief,grief,false,0,m,zero
B-ecstasy-d1-v2,ecstasy,sadness,sadness,false,0,m,zero
B-ecstasy-d1-v3,ecstasy,frustration,frustration,false,0,m,zero
B-ecstasy-d1-v4,ecstasy,pride,pride,false,0,m,zero
B-ecstasy-d2-v1,ecstasy,nostalgia,nostalgia,false,0,m,zero
B-ecstasy-d2-v2,ecstasy,anxiety,anxiety,false,0,m,zero
B-ecstasy-d2-v3,ecstasy,nostalgia,nostalgia,false,0,m,zero
B-ecstasy-d2-v4,ecstasy,curiosity,surprise,true,0,m,zero
B-ecstasy-d3-v1,ecstasy,surprise,surprise,false,0,m,zero
B-ecstasy-d3-v2,ecstasy,wonder,wonder,false,0,m,zero
B-ecstasy-d3-v3,ecstasy,confusion,confusion,false,0,m,zero
B-ecstasy-d3-v4,ecstasy,curiosity,curiosity,false,0,m,zero
B-grief-d1-v1,grief,nostalgia,nostalgia,false,0,m,zero
B-grief-d1-v2,grief,indifference,indifference,false,0,m,zero
B-grief-d1-v3,grief,sadness,sadness,false,0,m,zero
B-grief-d1-v4,grief,grief,grief,false,0,m,zero
B-grief-d2-v1,grief,sadness,sadness,false,0,m,zero
B-grief-d2-v2,grief,nostalgia,nostalgia,false,0,m,zero
B-grief-d2-v3,grief,nostalgia,nostalgia,false,0,m,zero
B-grief-d2-v4,grief,nostalgia,nostalgia,false,0,m,zero
B-grief-d3-v1,grief,sadness,sadness,false,0,m,zero
B-grief-d3-v2,grief,sadness,sadness,false,0,m,zero
B-grief-d3-v3,grief,nostalgia,nostalgia,false,0,m,zero
B-grief-d3-v4,grief,sadness,sadness,false,0,m,zero
B-loathing-d1-v1,loathing,satisfaction,none,true,0,m,zero
B-loathing-d1-v2,loathing,relief,curiosity,true,0,m,zero
B-loathing-d1-v3,loathing,surprise,surprise,false,0,m,zero
B-loathing-d1-v4,loathing,pride,pride,false,0,m,zero
B-loathing-d2-v1,loathing,fear,fear,false,0,m,zero
B-loathing-d2-v2,loathing,confusion,confusion,false,0,m,zero
B-loathing-d2-v3,loathing,concern,concern,false,0,m,zero
B-loathing-d2-v4,loathing,guilt,guilt,false,0,m,zero
B-loathing-d3-v1,loathing,anger,anger,false,0,m,zero
B-loathing-d3-v2,loathing,anger,anger,false,0,m,zero
B-loathing-d3-v3,loathing,anger,none,true,0,m,zero
B-loathing-d3-v4,loathing,anger,anger,false,0,m,zero
B-rage-d1-v1,rage,anger,anger,false,0,m,zero
B-rage-d1-v2,rage,satisfaction,satisfaction,false,0,m,zero
B-rage-d1-v3,rage,anger,worry,true,0,m,zero
B-rage-d1-v4,rage,guilt,anger,true,0,m,zero
B-rage-d2-v1,rage,relief,relief,false,0,m,zero
B-rage-d2-v2,rage,anger,anger,false,0,m,zero
B-rage-d2-v3,rage,frustration,frustration,false,0,m,zero
B-rage-d2-v4,rage,concern,concern,false,0,m,zero
B-rage-d3-v1,rage,guilt,guilt,false,0,m,zero
B-rage-d3-v2,rage,fear,fear,false,0,m,zero
B-rage-d3-v3,rage,indifference,indifference,false,0,m,zero
B-rage-d3-v4,rage,anger,anger,false,0,m,zero
B-terror-d1-v1,terror,surprise,surprise,false,0,m,zero
B-terror-d1-v2,terror,confusion,confusion,false,0,m,zero
B-terror-d1-v3,terror,fear,fear,false,0,m,zero
B-terror-d1-v4,terror,fear,fear,false,0,m,zero
B-terror-d2-v1,terror,sadness,surprise,true,0,m,zero
B-terror-d2-v2,terror,anxiety,surprise,true,0,m,zero
B-terror-d2-v3,terror,anxiety,anxiety,false,0,m,zero
B-terror-d2-v4,terror,fear,fear,false,0,m,zero
B-terror-d3-v1,terror,fear,fear,false,0,m,zero
B-terror-d3-v2,terror,fear,fear,false,0,m,zero
B-terror-d3-v3,terror,fear,fear,false,0,m,zero
B-terror-d3-v4,terror,curiosity,curiosity,false,0,m,zero
B-vigilance-d1-v1,vigilance,surprise,surprise,false,0,m,zero
B-vigilance-d1-v2,vigilance,fear,surprise,true,0,m,zero
B-vigilance-d1-v3,vigilance,anxiety,anxiety,false,0,m,zero
B-vigilance-d1-v4,vigilance,relief,relief,false,0,m,zero
B-vigilance-d2-v1,vigilance,anxiety,anxiety,false,0,m,zero
B-vigilance-d2-v2,vigilance,anticipation,anticipation,false,0,m,zero
B-vigilance-d2-v3,vigilance,excitement,none,true,0,m,zero
B-vigilance-d2-v4,vigilance,indifference,indifference,false,0,m,zero
B-vigilance-d3-v1,vigilance,calm,none,true,0,m,zero
B-vigilance-d3-v2,vigilance,anxiety,anxiety,false,0,m,zero
B-vigilance-d3-v3,vigilance,fear,surprise,true,0,m,zero
B-vigilance-d3-v4,vigilance,curiosity,curiosity,false,0,m,zero
B-admiration-d1-v1,admiration,pride,curiosity,true,1,m,zero
B-admiration-d1-v2,admiration,empathy,empathy,false,1,m,zero
B-admiration-d1-v3,admiration,nostalgia,nostalgia,false,1,m,zero
B-admiration-d1-v4,admiration,calm,calm,false,1,m,zero
B-admiration-d2-v1,admiration,guilt,empathy,true,1,m,zero
B-admiration-d2-v2,admiration,sadness,nostalgia,true,1,m,zero
B-admiration-d2-v3,admiration,guilt,anger,true,1,m,zero
B-admiration-d2-v4,admiration,regret,regret,false,1,m,zero
B-admiration-d3-v1,admiration,pride,pride,false,1,m,zero
B-admiration-d3-v2,admiration,disappointment,happiness,true,1,m,zero
B-admiration-d3-v3,admiration,disappointment,pride,true,1,m,zero
