source_id,target_id,source_emotion,target_emotion,original_pred,patched_pred,success,layer,norm_depth,act_type,stimulus_set,condition
A-rage-10,A-grief-06,rage,grief,sadness,sadness,false,3,0.25,a,seta,within_set
A-rage-10,A-terror-06,rage,terror,fear,fear,false,3,0.25,a,seta,within_set
A-rage-10,A-ecstasy-06,rage,ecstasy,joy,joy,false,3,0.25,a,seta,within_set
A-rage-10,A-loathing-06,rage,loathing,disgust,disgust,false,3,0.25,a,seta,within_set
A-rage-10,A-amazement-06,rage,amazement,fear,fear,false,3,0.25,a,seta,within_set
A-rage-10,A-admiration-06,rage,admiration,trust,trust,false,3,0.25,a,seta,within_set
A-rage-10,A-vigilance-06,rage,vigilance,fear,fear,false,3,0.25,a,seta,within_set
A-grief-10,A-rage-06,grief,rage,anger,anger,false,3,0.25,a,seta,within_set
A-grief-10,A-terror-06,grief,terror,fear,fear,false,3,0.25,a,seta,within_set
A-grief-10,A-ecstasy-06,grief,ecstasy,joy,joy,false,3,0.25,a,seta,within_set
A-grief-10,A-loathing-06,grief,loathing,disgust,disgust,false,3,0.25,a,seta,within_set
A-grief-10,A-amazement-06,grief,amazement,fear,fear,false,3,0.25,a,seta,within_set
A-grief-10,A-admiration-06,grief,admiration,trust,trust,false,3,0.25,a,seta,within_set
A-grief-10,A-vigilance-06,grief,vigilance,fear,fear,false,3,0.25,a,seta,within_set
A-terror-10,A-rage-06,terror,rage,anger,anger,false,3,0.25,a,seta,within_set
A-terror-10,A-grief-06,terror,grief,sadness,sadness,false,3,0.25,a,seta,within_set
A-terror-10,A-ecstasy-06,terror,ecstasy,joy,joy,false,3,0.25,a,seta,within_set
A-terror-10,A-loathing-06,terror,loathing,disgust,disgust,false,3,0.25,a,seta,within_set
A-terror-10,A-amazement-06,terror,amazement,fear,fear,true,3,0.25,a,seta,within_set
A-terror-10,A-admiration-06,terror,admiration,trust,trust,false,3,0.25,a,seta,within_set
A-terror-10,A-vigilance-06,terror,vigilance,fear,fear,true,3,0.25,a,seta,within_set
