id,emotion,original_pred,ko_pred,changed,layer,act_type,knockout_type
B-admiration-d1-v1,admiration,admiration,admiration,false,0,m,random
B-admiration-d1-v2,admiration,empathy,empathy,false,0,m,random
B-admiration-d1-v3,admiration,admiration,admiration,false,0,m,random
B-admiration-d1-v4,admiration,admiration,admiration,false,0,m,random
B-admiration-d2-v1,admiration,guilt,guilt,false,0,m,random
B-admiration-d2-v2,admiration,compassion,compassion,false,0,m,random
B-admiration-d2-v3,admiration,guilt,guilt,false,0,m,random
B-admiration-d2-v4,admiration,dedication,dedication,false,0,m,random
B-admiration-d3-v1,admiration,pride,pride,false,0,m,random
B-admiration-d3-v2,admiration,relief,relief,false,0,m,random
B-admiration-d3-v3,admiration,determination,determination,false,0,m,random
B-admiration-d3-v4,admiration,empathy,empathy,false,0,m,random
B-amazement-d1-v1,amazement,awe,awe,false,0,m,random
B-amazement-d1-v2,amazement,awe,awe,false,0,m,random
B-amazement-d1-v3,amazement,awe,awe,false,0,m,random
B-amazement-d1-v4,amazement,awe,awe,false,0,m,random
B-amazement-d2-v1,amazement,relief,relief,false,0,m,random
B-amazement-d2-v2,amazement,awe,awe,false,0,m,random
B-amazement-d2-v3,amazement,relief,relief,false,0,m,random
B-amazement-d2-v4,amazement,relief,relief,false,0,m,random
B-amazement-d3-v1,amazement,surprise,surprise,false,0,m,random
B-amazement-d3-v2,amazement,excitement,excitement,false,0,m,random
B-amazement-d3-v3,amazement,relief,relief,false,0,m,random
B-amazement-d3-v4,amazement,surprise,surprise,false,0,m,random
B-ecstasy-d1-v1,ecstasy,relief,relief,false,0,m,random
B-ecstasy-d1-v2,ecstasy,despair,despair,false,0,m,random
B-ecstasy-d1-v3,ecstasy,el,el,false,0,m,random
B-ecstasy-d1-v4,ecstasy,pride,pride,false,0,m,random
B-ecstasy-d2-v1,ecstasy,a,relief,true,0,m,random
B-ecstasy-d2-v2,ecstasy,relief,relief,false,0,m,random
B-ecstasy-d2-v3,ecstasy,nostalgia,nostalgia,false,0,m,random
B-ecstasy-d2-v4,ecstasy,happiness,happiness,false,0,m,random
B-ecstasy-d3-v1,ecstasy,excitement,excitement,false,0,m,random
B-ecstasy-d3-v2,ecstasy,wonder,wonder,false,0,m,random
B-ecstasy-d3-v3,ecstasy,excitement,excitement,false,0,m,random
B-ecstasy-d3-v4,ecstasy,excitement,excitement,false,0,m,random
B-grief-d1-v1,grief,grief,grief,false,0,m,random
B-grief-d1-v2,grief,grief,grief,false,0,m,random
B-grief-d1-v3,grief,grief,grief,false,0,m,random
B-grief-d1-v4,grief,grief,grief,false,0,m,random
B-grief-d2-v1,grief,despair,despair,false,0,m,random
B-grief-d2-v2,grief,nostalgia,melanch,true,0,m,random
B-grief-d2-v3,grief,melanch,melanch,false,0,m,random
B-grief-d2-v4,grief,nostalgia,nostalgia,false,0,m,random
B-grief-d3-v1,grief,anxiety,anxiety,false,0,m,random
B-grief-d3-v2,grief,grief,grief,false,0,m,random
B-grief-d3-v3,grief,melanch,sadness,true,0,m,random
B-grief-d3-v4,grief,longing,longing,false,0,m,random
B-loathing-d1-v1,loathing,disgust,disgust,false,0,m,random
B-loathing-d1-v2,loathing,outrage,outrage,false,0,m,random
B-loathing-d1-v3,loathing,outrage,outrage,false,0,m,random
B-loathing-d1-v4,loathing,anger,anger,false,0,m,random
